Index,Stimulus to total investigation DEG [%],Total investigation time DEG [%],Discrimination Index DEG
240514_side_18_V2.1_Urinright_V_Experiment,15.270935960591133,1.1502719854941068,-0.6945812807881774
240514_side_6_V2.1_Urinright_I_Experiment,50.627434011250536,6.54748413417951,0.012548680225010819
240514_side_79_V2.1_Urinright_I_Experiment,94.85371871695453,8.037737987307343,0.8970743743390905
240514_side_80_V2.1_Urinright_V_Experiment,69.61932650073206,3.8701269265639167,0.3923865300146413
240514_side_82_V2.1_Urinright_I_Experiment,86.41523251556207,7.737420670897552,0.7283046503112413
240514_side_83_V2.1_Urinright_V_Experiment,77.43813682678311,5.8391885766092475,0.5487627365356623
240516_side_18_V2.2_Urinleft_I_Experiment,18.556701030927837,1.099274705349048,-0.6288659793814433
240516_side_6_V2.2_Urinleft_V_Experiment,76.66486193827828,10.465775158658206,0.5332972387655658
240516_side_79_V2.2_Urinleft_V_Experiment,90.14962593516209,4.544424297370806,0.8029925187032418
240516_side_80_V2.2_Urinleft_I_Experiment,81.92041522491348,3.2751586582048957,0.6384083044982699
240516_side_82_V2.2_Urinleft_V_Experiment,82.22297756628144,8.335222121486854,0.6444595513256288
240516_side_83_V2.2_Urinleft_I_Experiment,97.35099337748345,3.4224841341795105,0.9470198675496688
240610_side_63_V2.3_Urinright_I_Experiment,22.657580919931856,1.6630779691749773,-0.5468483816013628
240610_side_64_V2.3_Urinright_V_Experiment,89.11055694098089,10.224954669084315,0.7822111388196176
240610_side_65_V2.3_Urinright_I_Experiment,60.35398230088496,3.2014959202175883,0.20707964601769913
240610_side_66_V2.3_Urinright_V_Experiment,59.09090909090909,0.7479601087941976,0.18181818181818182
240610_side_67_V2.3_Urinright_I_Experiment,56.22317596566524,0.660131459655485,0.12446351931330472
240610_side_68_V2.3_Urinright_V_Experiment,67.31601731601732,1.3089301903898458,0.3463203463203463
240612_side_63_V2.4_Urinleft_V_Experiment,56.25,1.042611060743427,0.125
240612_side_64_V2.4_Urinleft_I_Experiment,90.62642889803384,6.19616953762466,0.8125285779606767
240612_side_65_V2.4_Urinleft_V_Experiment,67.34279918864098,1.3967588395285584,0.34685598377281945
240612_side_66_V2.4_Urinleft_I_Experiment,58.0078125,1.4505893019038985,0.16015625
240612_side_67_V2.4_Urinleft_V_Experiment,77.96143250688705,1.0284451495920217,0.559228650137741
240612_side_68_V2.4_Urinleft_I_Experiment,43.103448275862064,1.64324569356301,-0.13793103448275862
240624_side_69_V2.5_Urinleft_I_Experiment,51.69491525423729,0.6686310063463282,0.03389830508474576
240624_side_70_V2.5_Urinleft_V_Experiment,37.14609286523216,2.5016999093381687,-0.2570781426953567
240624_side_71_V2.5_Urinleft_I_Experiment,89.62795941375423,5.026065276518586,0.7925591882750845
240624_side_72_V2.5_Urinleft_V_Experiment,81.38461538461539,1.8415684496826834,0.6276923076923077
240624_side_73_V2.5_Urinleft_V_Experiment,81.60535117056857,3.388485947416138,0.6321070234113713
240624_side_74_V2.5_Urinleft_I_Experiment,87.7511961722488,5.921350861287398,0.755023923444976
240627_side_69_V2.6_Urinright_V_Experiment,29.094076655052266,1.6262466001813236,-0.4181184668989547
240627_side_70_V2.6_Urinright_I_Experiment,73.54988399071925,1.2211015412511332,0.4709976798143852
240627_side_71_V2.6_Urinright_V_Experiment,31.639650872817953,9.088848594741613,-0.3672069825436409
240627_side_72_V2.6_Urinright_V_Experiment,52.50716332378224,7.910244786944697,0.050143266475644696
240627_side_73_V2.6_Urinright_I_Experiment,87.98076923076923,4.71441523118767,0.7596153846153846
240627_side_74_V2.6_Urinright_V_Experiment,75.8909853249476,1.3514279238440616,0.5178197064989518
