Index,Stimulus to total investigation DEG [%],Total investigation time DEG [%],Discrimination Index DEG
240514_side_18_V2.1_Urinright_V_Habituation,12.397540983606557,2.7651858567543064,-0.7520491803278688
240514_side_6_V2.1_Urinright_I_Habituation,29.629629629629626,1.8359020852221213,-0.4074074074074074
240514_side_79_V2.1_Urinright_I_Habituation,20.776255707762555,1.2409338168631006,-0.5844748858447488
240514_side_80_V2.1_Urinright_V_Habituation,20.774647887323944,3.218495013599275,-0.5845070422535211
240514_side_82_V2.1_Urinright_I_Habituation,55.79268292682927,0.929283771532185,0.11585365853658537
240514_side_83_V2.1_Urinright_V_Habituation,74.50657894736842,1.7225747960108795,0.4901315789473684
240516_side_18_V2.2_Urinleft_I_Habituation,61.44814090019569,1.4477561196736175,0.22896281800391388
240516_side_6_V2.2_Urinleft_V_Habituation,41.7910447761194,3.98628739800544,-0.16417910447761194
240516_side_79_V2.2_Urinleft_V_Habituation,57.8443113772455,2.365707162284678,0.1568862275449102
240516_side_80_V2.2_Urinleft_I_Habituation,13.894324853228962,1.4477561196736175,-0.7221135029354208
240516_side_82_V2.2_Urinleft_V_Habituation,75.55803571428571,5.077062556663645,0.5111607142857143
240516_side_83_V2.2_Urinleft_I_Habituation,34.345794392523366,1.2126019945602902,-0.3130841121495327
240610_side_63_V2.3_Urinright_I_Habituation,46.06164383561644,1.654578422484134,-0.07876712328767123
240610_side_64_V2.3_Urinright_V_Habituation,67.11749788672866,3.351654578422484,0.3423499577345731
240610_side_65_V2.3_Urinright_I_Habituation,16.370106761565836,0.7961242067089755,-0.6725978647686833
240610_side_66_V2.3_Urinright_V_Habituation,71.56862745098039,0.2889845874886673,0.43137254901960786
240610_side_67_V2.3_Urinright_I_Habituation,73.45890410958904,1.654578422484134,0.4691780821917808
240610_side_68_V2.3_Urinright_V_Habituation,28.617363344051448,0.881119673617407,-0.42765273311897106
240612_side_63_V2.4_Urinleft_V_Habituation,31.63265306122449,0.2776518585675431,-0.3673469387755102
240612_side_64_V2.4_Urinleft_I_Habituation,67.99140708915145,2.637692656391659,0.359828141783029
240612_side_65_V2.4_Urinleft_V_Habituation,15.277777777777779,0.40797824116047143,-0.6944444444444444
240612_side_66_V2.4_Urinleft_I_Habituation,55.294117647058826,0.24082048957388938,0.10588235294117647
240612_side_67_V2.4_Urinleft_V_Habituation,60.15625,0.7252946509519492,0.203125
240612_side_68_V2.4_Urinleft_I_Habituation,15.988372093023257,0.9746146872166819,-0.6802325581395349
240624_side_69_V2.5_Urinleft_I_Habituation,44.230769230769226,1.1786038077969174,-0.11538461538461539
240624_side_70_V2.5_Urinleft_V_Habituation,31.661891117478508,1.9775611967361741,-0.3667621776504298
240624_side_71_V2.5_Urinleft_I_Habituation,67.93002915451895,0.9717815049864007,0.358600583090379
240624_side_72_V2.5_Urinleft_I_Habituation,75.21663778162912,1.634746146872167,0.5043327556325823
240624_side_73_V2.5_Urinleft_V_Habituation,78.94736842105263,0.4844741613780598,0.5789473684210527
240624_side_74_V2.5_Urinleft_I_Habituation,66.20498614958449,1.0227787851314598,0.32409972299168976
240627_side_69_V2.6_Urinright_V_Habituation,44.36619718309859,0.8046237533998187,-0.11267605633802817
240627_side_70_V2.6_Urinright_I_Habituation,41.02564102564102,2.320376246600181,-0.1794871794871795
240627_side_71_V2.6_Urinright_V_Habituation,34.97164461247637,1.4987533998186764,-0.3005671077504726
240627_side_72_V2.6_Urinright_V_Habituation,37.95918367346939,2.7765185856754306,-0.24081632653061225
240627_side_73_V2.6_Urinright_I_Habituation,42.60700389105058,1.4562556663644606,-0.14785992217898833
240627_side_74_V2.6_Urinright_V_Habituation,14.888888888888888,1.2749320036264733,-0.7022222222222222
