,snout_x,snout_y,snout_likelihood,leftpetridish_x,leftpetridish_y,leftpetridish_likelihood,rightpetridish_x,rightpetridish_y,rightpetridish_likelihood,centroid_x,centroid_y,centroid_likelihood,topleft_x,topleft_y,topleft_likelihood,topright_x,topright_y,topright_likelihood
4888,1603.1400146484375,269.9211730957031,0.9996693134307861,656.4956665039062,621.9107055664062,0.9985440969467163,1433.42236328125,610.3192749023438,0.9907171130180359,1516.1531982421875,393.88140869140625,0.9990154504776001,381.4881896972656,228.9436492919922,0.9977661371231079,1686.385986328125,261.3275451660156,0.998981773853302
4889,1582.270263671875,257.7197265625,0.9989845156669617,656.4889526367188,621.9326782226562,0.9985840320587158,1433.398193359375,610.6287841796875,0.9922357201576233,1518.0330810546875,396.10223388671875,0.9936957955360413,381.78607177734375,228.838623046875,0.9974193572998047,1686.1759033203125,261.2038879394531,0.9991350769996643
4890,1566.3543701171875,253.4226531982422,0.9991616010665894,656.353759765625,621.8729858398438,0.9985816478729248,1433.984619140625,610.2974853515625,0.9897303581237793,1515.836669921875,397.25054931640625,0.9963098168373108,381.86236572265625,229.0516815185547,0.9971582889556885,1686.5762939453125,260.8643493652344,0.9990941286087036
4891,1557.162109375,252.63917541503906,0.999556839466095,656.3334350585938,621.765380859375,0.9984400868415833,1434.4744873046875,610.016357421875,0.9891369342803955,1516.496337890625,399.0411376953125,0.9954183101654053,382.82415771484375,229.2761993408203,0.996606707572937,1687.9578857421875,261.7446594238281,0.9983721375465393
4892,1538.114990234375,250.17300415039062,0.9993035793304443,656.52392578125,621.9067993164062,0.9984405636787415,1434.3826904296875,609.717041015625,0.9882404804229736,1514.5311279296875,398.16412353515625,0.9965852499008179,382.08453369140625,229.8540802001953,0.9965903759002686,1687.955078125,261.96075439453125,0.9984028935432434
4893,1526.11669921875,248.49203491210938,0.9982430934906006,656.4342041015625,621.8717651367188,0.998475968837738,1435.0477294921875,609.7665405273438,0.9882889986038208,1511.34033203125,397.4193420410156,0.9933701753616333,382.20556640625,229.89761352539062,0.9966778755187988,1687.5596923828125,262.24078369140625,0.9984512329101562
4894,1510.121826171875,245.85243225097656,0.999019980430603,656.1041870117188,621.9688110351562,0.9984591007232666,1435.352783203125,609.6924438476562,0.9884718656539917,1511.7725830078125,395.07025146484375,0.9869853854179382,382.1481018066406,230.07725524902344,0.9957393407821655,1687.4599609375,261.7506408691406,0.9986135959625244
4895,1502.9105224609375,244.03927612304688,0.9965866804122925,656.0964965820312,621.6279907226562,0.9984444975852966,1435.5980224609375,610.0973510742188,0.9881375432014465,1510.9775390625,393.56500244140625,0.9971177577972412,382.4165344238281,229.57440185546875,0.9966433048248291,1687.64453125,262.4212341308594,0.9983024597167969
4896,1505.9947509765625,243.31442260742188,0.9978234767913818,656.3323974609375,621.553955078125,0.9985015392303467,1435.697998046875,610.264404296875,0.9886104464530945,1508.794677734375,389.1594543457031,0.9988508224487305,380.7387390136719,230.18038940429688,0.9967967867851257,1687.11083984375,261.7091369628906,0.99874347448349
4897,1500.1036376953125,234.08096313476562,0.9940487146377563,656.352783203125,621.9338989257812,0.9983918070793152,1435.0860595703125,610.14990234375,0.988781750202179,1505.0458984375,389.4053649902344,0.998538613319397,380.6575012207031,230.1001434326172,0.9970139265060425,1687.4066162109375,261.7435302734375,0.9988632202148438
