Index,Stimulus investigation DLC [%],Stimulus investigation DEG [%],Stimulus investigation Asoid [%],Control investigation DLC [%],Control investigation DEG [%],Control investigation Asoid [%],Stimulus to total investigation DLC [%],Stimulus to total investigation DEG [%],Stimulus to total investigation Asoid [%],Total investigation time DLC [%],Total investigation time DEG [%],Total investigation time Asoid [%],Discrimination Index DLC,Discrimination Index DEG,Discrimination Index Asoid,Stimulus investigation events DEG,Stimulus investigation average bout length DEG,Stimulus investigation SD bout length DEG,Stimulus investigation SEM bout length DEG,Water investigation events DEG,Water investigation average bout length DEG,Water investigation SD bout length DEG,Water investigation SEM bout length DEG,Stimulus investigation events DLC,Stimulus investigation average bout length DLC,Stimulus investigation SD bout length DLC,Stimulus investigation SEM bout length DLC,Water investigation events DLC,Water investigation average bout length DLC,Water investigation SD bout length DLC,Water investigation SEM bout length DLC,Stimulus investigation events Asoid,Stimulus investigation average bout length Asoid,Stimulus investigation SD bout length Asoid,Stimulus investigation SEM bout length Asoid,Water investigation events Asoid,Water investigation average bout length Asoid,Water investigation SD bout length Asoid,Water investigation SEM bout length Asoid,Median speed [km/h],Distance per minute [m],Immobile time [%],At cage edge [%]
240220_top_104_V1_Habituation_Urinright,1.8160698096101542,1.5185856754306437,5.184723481414324,6.485154125113328,2.8105167724388034,5.184723481414324,21.87713310580205,35.07853403141361,32.52212389380531,8.753585086042065,4.329102447869447,7.683590208522212,-0.562457337883959,-0.29842931937172773,-0.3495575221238938,18.0,29.77777777777778,29.83593481920665,7.032397277900284,26.0,38.15384615384615,27.02101746077273,5.299257511908135,42.0,15.261904761904763,17.208987334061213,2.6554043951008546,131.0,17.47328244274809,22.413021024627216,1.9582347391245931,33.0,26.727272727272727,23.193847146485755,4.0375305438549915,48.0,38.125,32.26329513186707,4.656805532331949,0.1250319896094014,3.6673915765405125,42.205269277672215,56.470988213961924
240220_top_105_V1_Habituation_Urinright,2.1588848594741616,1.1559383499546692,2.915344514959202,1.8953989120580235,1.4307570262919311,2.915344514959202,53.24947589098532,44.687842278203725,47.792998477929984,4.3488831484576815,2.5866953762466003,5.584202175883953,0.0649895178197065,-0.10624315443592552,-0.0441400304414003,12.0,34.0,23.112373702885176,6.671967589485992,9.0,56.111111111111114,33.50538928457795,11.168463094859318,46.0,16.565217391304348,19.230360456450736,2.8353619632628773,54.0,12.38888888888889,17.035386773294093,2.3182225091960054,27.0,34.888888888888886,24.72671139497237,4.758657826687161,27.0,38.111111111111114,33.898415362706324,6.523753078253414,0.22062810835687396,5.409256393208364,24.269803386748496,63.50577969174977
240220_top_117_V1_Habituation_Urinright,2.9323436083408887,2.3373753399818673,6.349161378059836,5.830689029918404,3.887126019945603,6.349161378059836,33.462657613967025,37.55120619025944,41.822429906542055,9.258261494252872,6.224501359927471,10.91341795104261,-0.33074684772065954,-0.2489758761948111,-0.16355140186915887,23.0,35.869565217391305,46.37721261354947,9.670317313714644,27.0,50.81481481481482,36.62600698225767,7.048678330182526,113.0,9.15929203539823,10.764994834184794,1.0126855288559258,93.0,22.129032258064516,31.27515537321139,3.243082536720892,35.0,46.02857142857143,43.83155304135146,7.408884708851367,45.0,49.8,42.659113914848255,6.359245238233858,0.1672885355495164,4.461546938752512,32.68124608462897,57.898912058023576
240220_top_1_V1_Habituation_Urinright,3.69163644605621,3.2949909338168633,4.020285584768812,2.915344514959202,2.705689029918404,4.020285584768812,55.87478559176673,54.91029272898962,54.07766990291262,7.069880248597847,6.0006799637352675,8.75453309156845,0.11749571183533447,0.09820585457979225,0.08155339805825243,22.0,52.86363636363637,54.26153197997503,11.56859748868354,13.0,73.46153846153847,44.02767195112521,12.211079135314584,88.0,14.806818181818182,19.206594865081883,2.047429891993723,55.0,18.70909090909091,22.39847277140972,3.020209452374221,30.0,55.7,55.3995829686781,10.114533756108003,22.0,64.5,72.87415767707272,15.53682262056361,0.155610778115701,4.009742317331363,34.262178667802864,56.04034451495921
240220_top_2_V1_Habituation_Urinright,3.280825022665458,2.5385312783318223,4.694582955575703,2.830349048050771,2.807683590208522,4.694582955575703,53.68567454798331,47.4827768945416,49.15618287818349,6.507179920357185,5.346214868540344,9.233340888485946,0.0737134909596662,-0.050344462109167994,-0.016876342436330162,22.0,40.72727272727273,26.102694292939365,5.565113122066177,26.0,38.11538461538461,28.88920479774675,5.665639192149577,69.0,16.782608695652176,20.056442096374358,2.4145118916373605,84.0,11.892857142857142,18.586183401256136,2.0279188646806676,30.0,53.4,49.73002978150089,9.07941969891058,34.0,48.73529411764706,38.205432600795184,6.552177635793855,0.1431827691084075,3.8092479617662627,37.576582709326075,59.30133726201269
240220_top_95_V1_Habituation_Urinright,2.2353807796917495,1.1786038077969174,2.447869446962829,3.640639165911151,1.0596101541251133,2.447869446962829,38.04243008678881,52.65822784810127,50.936967632027255,6.365477871217237,2.238213961922031,4.989233907524932,-0.2391513982642237,0.053164556962025315,0.018739352640545145,12.0,34.666666666666664,27.13043689402377,7.83188252199839,13.0,28.76923076923077,18.83770087773384,5.224638186655566,71.0,11.112676056338028,13.682678618055382,1.6238352018869346,74.0,17.364864864864863,22.625343000093928,2.630142699529919,24.0,37.375,27.904826604479858,5.696048878484714,33.0,26.181818181818183,16.657307978509284,2.8996651274310397,0.16048911191515675,4.297710285615696,32.57584365413021,56.27833182230281
240222_top_104_V1.2_Habituation_Urinleft,5.995013599274706,1.8755666364460564,3.6208068902991837,2.646192203082502,1.3457615593834995,3.6208068902991837,69.37704918032786,58.22339489885664,63.989856297548606,9.177072363472243,3.221328195829556,10.054963735267453,0.38754098360655737,0.1644678979771328,0.2797971259509721,18.0,36.77777777777778,22.621061387579797,5.331835301598282,13.0,36.53846153846154,24.575107272113737,6.815908413048773,89.0,23.775280898876403,35.38899187118553,3.751225635901897,84.0,11.119047619047619,15.397077458490795,1.6799588793960085,50.0,45.42,36.72739621390361,5.194038183635275,25.0,51.12,32.46706023033191,6.493412046066382,0.163065121649353,4.511312817962771,33.54358449823844,61.27039891205802
240222_top_105_V1.2_Habituation_Urinleft,2.144718948322756,0.34848141432456936,5.975181323662738,4.127946509519492,2.0228921124206707,5.975181323662738,34.19150858175249,14.695340501792115,34.604651162790695,6.8066529344851965,2.3713735267452405,9.137012692656391,-0.31616982836495033,-0.7060931899641577,-0.30790697674418605,7.0,17.571428571428573,4.577377082170635,1.730085916627138,18.0,39.666666666666664,32.78450135981581,7.7273810764484505,63.0,12.015873015873016,11.42364845325761,1.4392444224927285,133.0,10.954887218045112,17.798903891027457,1.5433607010511559,27.0,41.333333333333336,26.914394204302933,5.179677579643334,48.0,43.9375,50.91729056738393,7.349277853871376,0.2099587242300766,5.240287495102441,26.120318338705538,58.50521305530372
240222_top_117_V1.2_Habituation_Urinleft,5.941183136899365,2.297710788757933,5.5417044424297375,5.377379873073436,2.3487080689029916,5.5417044424297375,52.49061326658323,49.451219512195124,54.53277545327755,12.056737588652481,4.646418857660925,12.188349954669084,0.04981226533166458,-0.01097560975609756,0.09065550906555091,28.0,28.964285714285715,21.700797293523646,4.101065206463365,28.0,29.607142857142858,16.22375780946934,3.0660020353427067,123.0,17.048780487804876,19.33605044628441,1.7434729541812304,147.0,12.91156462585034,15.734929806908232,1.297795137099762,53.0,44.264150943396224,33.75143925329831,4.636116729912976,51.0,38.35294117647059,30.981816298862636,4.338322033031173,0.1833838312850797,4.734661634346925,30.22687906408837,47.09032184950136
240222_top_1_V1.2_Habituation_Urinleft,4.300770625566637,2.161718041704442,4.275271985494107,3.598141432456935,2.198549410698096,4.275271985494107,54.44763271162123,49.577647823261856,51.7891373801917,8.455146479044096,4.360267452402539,8.867860380779693,0.08895265423242468,-0.008447043534762833,0.03578274760383387,23.0,33.17391304347826,16.507993033439735,3.442154494625959,22.0,35.27272727272727,27.61156041223075,5.88680445958381,53.0,28.641509433962263,33.08328321746535,4.54433844002524,79.0,16.075949367088608,14.18989542244648,1.5964879655200106,40.0,40.525,26.140632974503358,4.133196983896643,31.0,48.67741935483871,33.84118506275472,6.078056264140045,0.1902500892554921,4.664956321827972,28.28660258421518,60.165457842248415
