Index,Stimulus to total investigation DLC [%],Total investigation time DLC [%],Discrimination Index DLC,Stimulus to total investigation DEG [%],Total investigation time DEG [%],Discrimination Index DEG,Median speed [km/h],Distance per recording [m],Immobile time [%]
240220_top_104_V1_Experiment_Urinright,63.50884764782045,15.459033893781694,0.27017695295640914,71.03580562659847,8.86219401631913,0.42071611253196933,0.1130156755374336,0.3191142310207712,45.79892438357775
240220_top_105_V1_Experiment_Urinright,77.055346587856,7.054586808188021,0.5411069317571199,81.27421437795952,6.581482320942883,0.6254842875591907,0.1771281407430975,0.3955880107464724,30.799801291604574
240220_top_117_V1_Experiment_Urinright,59.18320258421781,15.74111066719936,0.18366405168435626,63.397336101020585,16.37862647325476,0.2679467220204117,0.1237811531792298,0.3539914331403983,42.84812978819288
240220_top_1_V1_Experiment_Urinright,63.897609273122434,14.539007092198581,0.2779521854624487,74.29123711340206,13.191296464188577,0.48582474226804123,0.1168677439698653,0.3092731393810626,44.514005231754986
240220_top_2_V1_Experiment_Urinright,56.61306202822448,10.385139740967961,0.13226124056448965,53.088279602289845,9.40333182230281,0.06176559204579693,0.1187361894004651,0.3039214215808209,43.9708635619003
240220_top_95_V1_Experiment_Urinright,45.712126936154135,9.373561386734657,-0.08575746127691726,59.797724399494314,2.241047144152312,0.1959544879898862,0.1197533562477106,0.2990736433153818,43.30611616083808
240222_top_104_V1.2_Experiment_Urinleft,80.58547362607015,15.063649222065065,0.611709472521403,87.47283145623395,14.338735267452401,0.7494566291246789,0.1363052852378661,0.3404296334086444,39.760182071401886
240222_top_105_V1.2_Experiment_Urinleft,49.95891536565325,13.124595585592063,-0.0008216926869350862,45.20783975877665,13.154465095194922,-0.09584320482446694,0.1635019504934265,0.418337144899115,34.220119912024344
240222_top_117_V1.2_Experiment_Urinleft,43.78167641325536,9.554496014303806,-0.12436647173489279,58.67602808425276,5.649365367180417,0.17352056168505517,0.1609080200722514,0.3837706418104073,34.01993355481728
240222_top_1_V1.2_Experiment_Urinleft,59.46194951170075,18.194924062091395,0.1892389902340151,62.25225225225225,15.724161378059836,0.24504504504504504,0.13375330106958372,0.3539016918877995,40.19414575866189
240222_top_2_V1.2_Experiment_Urinleft,50.54824561403509,9.839602963389197,0.010964912280701754,62.30505895777863,7.448436083408885,0.24610117915557247,0.13290598872347908,0.33337626471922405,40.01749200796188
240222_top_95_V1.2_Experiment_Urinleft,37.284097677188804,6.369740885466064,-0.25431804645622397,48.306148055207025,2.258046237533998,-0.033877038895859475,0.10135823557621575,0.2511568778019888,49.53694771367934
240307_top_104_V1.4_Experiment_Urinright,58.892328861369116,10.380289234065346,0.17784657722738217,96.23329283110571,4.663417951042611,0.9246658566221142,0.1456156371887344,0.36106422443523123,38.184245660881174
240307_top_105_V1.4_Experiment_Urinright,76.92782233189389,7.134055100783382,0.5385564466378778,100.0,0.9774478694469629,1.0,0.16526872876982018,0.31845951037268,35.28039295947605
240307_top_117_V1.4_Experiment_Urinright,55.17693315858454,6.224252559448546,0.10353866317169069,45.76271186440678,2.3402085222121487,-0.0847457627118644,0.19311199479905256,0.39989597361488705,27.918946156061043
240307_top_1_V1.4_Experiment_Urinright,46.033551322149556,11.787378087609344,-0.07932897355700881,64.39205955334988,2.2835448776065275,0.2878411910669975,0.1526653947936623,0.40778968712980057,36.523420074349445
