Index,Stimulus investigation DLC [%],Stimulus investigation DEG [%],Control investigation DLC [%],Control investigation DEG [%],Stimulus to total investigation DLC [%],Stimulus to total investigation DEG [%],Total investigation time DLC [%],Total investigation time DEG [%],Discrimination Index DLC,Discrimination Index DEG,Stimulus investigation events DEG,Stimulus investigation average bout length DEG,Stimulus investigation SD bout length DEG,Stimulus investigation SEM bout length DEG,Water investigation events DEG,Water investigation average bout length DEG,Water investigation SD bout length DEG,Water investigation SEM bout length DEG,Stimulus investigation events DLC,Stimulus investigation average bout length DLC,Stimulus investigation SD bout length DLC,Stimulus investigation SEM bout length DLC,Water investigation events DLC,Water investigation average bout length DLC,Water investigation SD bout length DLC,Water investigation SEM bout length DLC,Median speed [km/h],Distance per minute [m],Immobile time [%],Index,Stimulus investigation DLC [%],Stimulus investigation DEG [%],Control investigation DLC [%],Control investigation DEG [%],Stimulus to total investigation DLC [%],Stimulus to total investigation DEG [%],Total investigation time DLC [%],Total investigation time DEG [%],Discrimination Index DLC,Discrimination Index DEG,Stimulus investigation events DEG,Stimulus investigation average bout length DEG,Stimulus investigation SD bout length DEG,Stimulus investigation SEM bout length DEG,Water investigation events DEG,Water investigation average bout length DEG,Water investigation SD bout length DEG,Water investigation SEM bout length DEG,Stimulus investigation events DLC,Stimulus investigation average bout length DLC,Stimulus investigation SD bout length DLC,Stimulus investigation SEM bout length DLC,Water investigation events DLC,Water investigation average bout length DLC,Water investigation SD bout length DLC,Water investigation SEM bout length DLC,Median speed [km/h],Distance per minute [m],Immobile time [%]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240610_top_63_V2.3_Urinright_I_Experiment,3.416914577,0.322991925,3.68040799,2.073948151,48.14371257,13.4751773,7.624178232,2.396940076,-0.037125749,-0.730496454,2,19,14.14213562,10,5,48.8,36.38268819,16.2708328,17,23.64705882,24.00765809,5.822712361,18,24.05555556,24.54640796,5.785643841,0.180801377,4.558329783,30.34488675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240610_top_65_V2.3_Urinright_I_Experiment,8.270293243,4.657883553,1.079473013,0.246493838,88.45454545,94.97400347,10.17952989,4.904377391,0.769090909,0.899480069,11,49.81818182,30.27149875,9.127200289,2,14.5,4.949747468,3.5,42,23.16666667,30.22026187,4.663087644,10,12.7,10.87351522,3.438507428,0.186567989,4.68177563,29.33459098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240610_top_67_V2.3_Urinright_I_Experiment,4.36039099,0.390990225,2.141946451,0.280492988,67.05882353,58.2278481,7.209499576,0.671483213,0.341176471,0.164556962,3,15.33333333,1.154700538,0.666666667,2,16.5,0.707106781,0.5,46,11.15217391,14.49439339,2.137081714,16,15.75,14.46605221,3.616513054,0.161963707,4.205216649,33.30207978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240612_top_64_V2.4_Urinleft_I_Experiment,11.89120272,10.74373141,4.343391415,1.385465363,73.2460733,88.57743518,18.05805049,12.12919677,0.464921466,0.771548704,10,126.4,79.91412057,25.27106382,4,40.75,41.21791682,20.60895841,51,27.43137255,55.14571784,7.721945041,25,20.44,31.42859632,6.285719264,0.16431583,3.964883349,34.29279125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240612_top_66_V2.4_Urinleft_I_Experiment,3.382915427,1.376965576,2.158946026,0.968975776,61.04294479,58.69565217,6.307439296,2.345941351,0.220858896,0.173913043,3,54,33.64520768,19.42506971,2,57,57.98275606,41,15,26.53333333,30.59614044,7.899889491,18,14.11111111,13.8431928,3.262871834,0.361636119,8.19205764,14.53293155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240612_top_68_V2.4_Urinleft_I_Experiment,2.575435614,0.518487038,7.63280918,1.215469613,25.22897585,29.90196078,10.75875661,1.733956651,-0.495420483,-0.401960784,3,20.33333333,3.214550254,1.855921454,5,28.6,33.12551886,14.81418239,11,27.54545455,30.06447617,9.064780634,29,30.96551724,31.71241618,5.888847847,0.123889682,3.294408835,42.65980266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240624_top_69_V2.5_Urinleft_I_Experiment,1.113472163,0.569485763,0.594985125,0,65.17412935,100,2.027231467,0.569485763,0.303482587,1,3,22.33333333,8.504900548,4.910306621,0,0,0,0,7,18.71428571,15.44575762,5.83794764,13,5.384615385,5.781269491,1.60343566,0.211366202,4.892238622,23.34568555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240624_top_71_V2.5_Urinleft_I_Experiment,11.81470463,10.48873778,1.521461963,0.44198895,88.59145953,95.95645412,15.57629306,10.93072673,0.771829191,0.919129082,10,123.4,127.4137617,40.29176922,2,26,2.828427125,2,43,32.3255814,54.2918572,8.279430604,11,16.27272727,15.23214305,4.592663931,0.193967689,4.633784349,29.10660337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
