Index,Stimulus to total investigation DLC [%],Total investigation time DLC [%],Discrimination Index DLC,Stimulus to total investigation DEG [%],Total investigation time DEG [%],Discrimination Index DEG,Median speed [km/h],Distance per minute [m],Immobile time [%]
240305_top_104_V1.3_Habituation_Urinright,42.40040598832783,13.97517730496454,-0.1519918802334433,95.69536423841059,0.8556452755347783,0.9139072847682119,0.1117999341479062,3.0898081444502368,45.608819521863
240305_top_105_V1.3_Habituation_Urinright,65.54661618551822,6.81019756985851,0.3109323237103644,96.045197740113,0.5014874628134297,0.9209039548022598,0.14632324374017486,3.7481813486047293,37.445357579996504
240305_top_117_V1.3_Habituation_Urinright,64.43381180223285,6.425936048100573,0.2886762360446571,100.0,0.45048873778155546,1.0,0.1980667087533656,5.205313837489429,27.59212704641609
240305_top_1_V1.3_Habituation_Urinright,45.06578947368421,9.411764705882353,-0.09868421052631579,34.7682119205298,1.7112905510695566,-0.304635761589404,0.1623905800785671,4.293902679779876,33.85956011817721
240305_top_2_V1.3_Habituation_Urinright,63.95841355410089,8.936682725395732,0.2791682710820177,64.91228070175438,0.9689757756056098,0.2982456140350877,0.1542846258872897,4.0259266312606705,35.79339115819803
240305_top_95_V1.3_Habituation_Urinright,44.815891472868216,14.496418036241046,-0.10368217054263566,74.82517482517483,0.40515653775322286,0.4965034965034965,0.12580946053842829,3.420490846276399,40.72972972972973
240312_top_1_V1.5_Habituation_Urinleft,45.03456945317411,10.87157060371041,-0.09930861093651791,14.042553191489363,1.3316333758322707,-0.7191489361702128,0.1712363026600408,4.330401690687157,32.097338403041825
240312_top_2_V1.5_Habituation_Urinleft,56.86113393590797,13.361879666227491,0.1372226787181594,,0.0,,0.1805625581463072,4.589201328870762,29.347101932045305
240312_top_95_V1.5_Habituation_Urinleft,43.95321173671689,17.426153048885816,-0.12093576526566217,100.0,0.16716248760447655,1.0,0.1280053493675213,3.535957132326621,40.68990537231309
240313_top_104_V1.5_Habituation_Urinleft,58.78243512974052,6.462639878744881,0.17564870259481039,0.0,0.5043207253152004,-1.0,0.1502196785450991,4.088037398310955,36.17450252753996
240313_top_105_V1.5_Habituation_Urinleft,42.812791058677426,10.40677199444283,-0.1437441788264514,56.50557620817844,0.7621476129763423,0.13011152416356878,0.16173490075086344,4.223745624868136,34.789871637066994
