Index,Stimulus to total investigation DLC [%],Total investigation time DLC [%],Discrimination Index DLC,Stimulus to total investigation DEG [%],Total investigation time DEG [%],Discrimination Index DEG,Median speed [km/h],Distance per minute [m],Immobile time [%]
240305_top_104_V1.3_Experiment_Urinright,43.23420728488475,20.839750641730838,-0.1353158543023051,41.150442477876105,2.561196736174071,-0.17699115044247787,0.09753120449033781,2.8628415976904216,50.99323084709306
240305_top_105_V1.3_Experiment_Urinright,72.90094339622641,14.802918688684844,0.4580188679245283,94.77124183006535,6.502153218495013,0.8954248366013072,0.1233328737154449,3.4597341066429586,43.18363008238108
240305_top_117_V1.3_Experiment_Urinright,73.31440738112136,10.503951095869986,0.46628814762242726,95.1219512195122,1.045444242973708,0.9024390243902439,0.1758636046340842,5.0137418227178765,30.555810187307113
240305_top_1_V1.3_Experiment_Urinright,47.434181169120926,15.058965830057454,-0.051316376617581434,76.54220779220779,3.4904805077062555,0.5308441558441559,0.1312759071638256,3.762548274882049,40.62164739539874
240305_top_2_V1.3_Experiment_Urinright,61.39810947460981,15.158280573142285,0.2279621894921961,53.66492146596858,1.0822756119673618,0.07329842931937172,0.12083758274575,3.1148842078433203,43.21215855411789
240305_top_95_V1.3_Experiment_Urinright,53.502461188943585,17.896591448126312,0.07004922377887164,100.0,1.5695829555757026,1.0,0.1132840569489126,3.1799010256030713,45.00302461078035
240312_top_1_V1.5_Experiment_Urinleft,60.01150747986191,17.85983421250942,0.2002301495972382,73.07847082494969,7.040457842248414,0.46156941649899397,0.125328123545746,3.687826430640557,43.02454520933857
240312_top_2_V1.5_Experiment_Urinleft,69.03460837887067,16.96771978021978,0.3806921675774135,0.0,0.6459655485040798,-1.0,0.1295264266023586,3.4271761666371914,40.829661601174955
240312_top_95_V1.5_Experiment_Urinleft,48.92737962815827,21.493954505089146,-0.02145240743683458,0.0,0.6317996373526745,-1.0,0.1030226776418327,3.0539853939091586,48.94512213578715
240313_top_104_V1.5_Experiment_Urinleft,47.49350167099888,9.082630691399663,-0.05012996658002228,17.532467532467532,1.3089301903898458,-0.6493506493506493,0.1423825059549489,4.055599123495608,38.2622086652649
240313_top_105_V1.5_Experiment_Urinleft,70.84033613445378,11.245865490628445,0.41680672268907565,47.368421052631575,1.2919310970081597,-0.05263157894736842,0.1145491943933582,3.3630570229815877,45.5523714837125
240313_top_117_V1.5_Experiment_Urinleft,53.20104829651816,9.652356172304135,0.06402096593036316,43.225806451612904,0.439143245693563,-0.13548387096774195,0.1422269286559311,3.7719455761980965,36.87926217442244
240321_top_104_V1.7_Experiment_Urinright,67.59762089475045,12.986533230345568,0.35195241789500903,100.0,2.7141885766092475,1.0,0.1376063442681217,3.8484250953206147,39.5735813728747
240321_top_105_V1.7_Experiment_Urinright,68.9813182939725,9.272756986435692,0.37962636587945014,100.0,0.1529918404351768,1.0,0.1525581703657593,4.021498764823815,36.40741413774305
240321_top_117_V1.7_Experiment_Urinright,53.39851024208566,7.477025898078529,0.06797020484171322,0.0,0.08499546690843154,-1.0,0.1614912544799234,4.341760256248098,33.951654799376584
240321_top_1_V1.7_Experiment_Urinright,57.18096931969764,15.11577107907383,0.14361938639395286,81.46143437077131,2.093721668177697,0.6292286874154263,0.14707887836416594,3.9285706168556995,37.27485590778098
240321_top_2_V1.7_Experiment_Urinright,23.464847226342332,25.470343785417455,-0.5307030554731533,100.0,1.2777651858567542,1.0,0.1245616748079828,3.55909772909983,41.82736455463728
240321_top_95_V1.7_Experiment_Urinright,38.33309133149412,23.07279975878589,-0.2333381733701176,,0.0,,0.11114290920640575,3.232371750362433,45.91905668488608
240328_top_104_V1.9_Experiment_Urinleft,66.47593402894648,19.26343772288141,0.32951868057892963,68.18950930626058,3.348821396192203,0.3637901861252115,0.1319375603233824,3.692764670538642,41.17857249203466
240328_top_105_V1.9_Experiment_Urinleft,44.048170449282075,7.023422251138582,-0.1190365910143585,0.0,0.37681323662737987,-1.0,0.1332749898322323,3.699762928705592,40.64770604110442
240328_top_117_V1.9_Experiment_Urinleft,57.73480662983425,10.341749098310896,0.15469613259668508,100.0,0.1586582048957389,1.0,0.1646162143765743,4.316129065607959,32.67207694619778
