,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_left_snicket,distance_nose_right_snicket,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_left_snicket,is_investigating_right_snicket,object_investigation_radius[cm],deg_is_investigating_left_snicket,deg_is_investigating_right_snicket
0,0.0036215800004351,0.7822612800939994,0.0,0.1,560.3511372739921,725.397115294946,1.0,0.0,0.0,0.0,2.0,0,0
1,0.0031301657566002,0.6761158034256631,0.0,0.1,569.4855476643877,717.4943064446941,1.0,0.0,0.0,0.0,2.0,0,0
2,0.0047252465609038,1.020653257155237,0.0,0.1,578.6259480671267,709.8272367362745,1.0,0.0,0.0,0.0,2.0,0,0
3,0.0012215379101794,0.2638521885987505,0.0,0.1,588.4154624649568,702.0884423017357,1.0,0.0,0.0,0.0,2.0,0,0
4,0.0013118679475375,0.2833634766681033,0.0,0.1,595.207513687841,687.319552689411,1.0,0.0,0.0,0.0,2.0,0,0
5,0.0009521545855128,0.2056653904707835,0.0,0.1,603.4805798598564,674.0031824026223,1.0,0.0,0.0,0.0,2.0,0,0
6,0.0024790204823261,0.5354684241824533,0.0,0.1,605.5719233272201,662.6379483072186,1.0,0.0,0.0,0.0,2.0,0,0
7,0.0024595994346835,0.53127347789164,0.0,0.1,609.1334832060421,648.7838778634006,1.0,0.0,0.0,0.0,2.0,0,0
8,0.0030403440269112,0.656714309812838,0.0,0.1,614.6823718138091,635.9777823650811,1.0,0.0,0.0,0.0,2.0,0,0
9,0.0036837757718666,0.795695566723187,0.0,0.1,624.2368361830266,622.9551464577152,1.0,0.0,0.0,0.0,2.0,0,0
10,0.0029005773014072,0.6265246971039623,0.0,0.1,635.4390689696266,611.4290714306143,1.0,0.0,0.0,0.0,2.0,0,0
11,0.0039513525931783,0.8534921601265152,0.0,0.1,648.6044308232615,600.378881949857,1.0,0.0,0.0,0.0,2.0,0,0
12,0.0024615004719579,0.5316841019429139,0.0,0.1,661.0743811878552,594.0391903882332,1.0,0.0,0.0,0.0,2.0,0,0
13,0.0022405898465952,0.4839674068645676,0.0,0.1,672.8904051769186,585.0198085569309,1.0,0.0,0.0,0.0,2.0,0,0
14,0.0027949244149831,0.6037036736363534,0.0,0.1,684.5497049425077,574.6713652265724,1.0,0.0,0.0,0.0,2.0,0,0
15,0.0022099779360207,0.477355234180482,0.0,0.1,691.3577738385881,567.5578676577719,1.0,0.0,0.0,0.0,2.0,0,0
16,0.0028850507300688,0.623170957694882,0.0,0.1,700.3534679440379,556.0790558055586,1.0,0.0,0.0,0.0,2.0,0,0
17,0.002578734489045,0.557006649633738,0.0,0.1,710.2891131885611,540.3342578801833,1.0,0.0,0.0,0.0,2.0,0,0
18,0.0049120077856111,1.060993681692019,0.0,0.1,,,1.0,0.0,,,2.0,0,0
19,0.0046351797033244,1.0011988159180725,0.0,0.1,,,1.0,0.0,,,2.0,0,0
20,0.0032982117811099,0.7124137447197596,0.0,0.1,747.0707370251066,499.67337959855627,1.0,0.0,0.0,0.0,2.0,0,0
21,0.0038791785109755,0.837902558370711,0.0,0.1,759.142746440589,489.6601070343568,1.0,0.0,0.0,0.0,2.0,0,0
22,0.0039207904640827,0.8468907402418699,0.0,0.1,769.3148468769624,482.3784939748777,1.0,0.0,0.0,0.0,2.0,0,0
23,0.003684701063267,0.7958954296656818,0.0,0.1,777.2198461094146,477.2044356403605,0.0,1.0,0.0,0.0,2.0,0,0
