,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_left_snicket,distance_nose_right_snicket,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_left_snicket,is_investigating_right_snicket,object_investigation_radius[cm],deg_is_investigating_left_snicket,deg_is_investigating_right_snicket
0,0.0009430809966463,0.2037054952756202,0.0,0.1,1022.4483254113828,133.96640191486645,0.0,1.0,0.0,0.0,2.0,0,0
1,0.0004930415735277,0.1064969798820003,0.0,0.1,1018.7243183069938,142.4816116976504,0.0,1.0,0.0,0.0,2.0,0,0
2,0.0006120075701795,0.1321936351587848,0.0,0.1,1008.0689601668024,157.35763901256104,0.0,1.0,0.0,0.0,2.0,0,0
3,0.0004397482255471,0.0949856167181781,1.0,0.1,1004.4146876765268,170.46052272822573,0.0,1.0,0.0,0.0,2.0,0,0
4,0.0018177681484816,0.392637920072046,0.0,0.1,998.3163509120152,178.78080842978449,0.0,1.0,0.0,0.0,2.0,0,0
5,0.0005913566635765,0.1277330393325305,0.0,0.1,994.1642102706865,186.9820868919716,0.0,1.0,0.0,0.0,2.0,0,0
6,0.0004559766042941,0.0984909465275456,1.0,0.1,992.330449085764,194.4176322053314,0.0,1.0,0.0,0.0,2.0,0,0
7,0.0007106804678145,0.1535069810479338,0.0,0.1,987.9891948614696,198.90344460215,0.0,1.0,0.0,0.0,2.0,0,0
8,0.0003060752626815,0.0661122567392136,1.0,0.1,982.68443675273,204.6686983765881,0.0,1.0,0.0,0.0,2.0,0,0
9,0.0004466373211237,0.0964736613627345,1.0,0.1,979.3624284877274,208.88403985509547,0.0,1.0,0.0,0.0,2.0,0,0
10,0.0004053655863782,0.0875589666577074,1.0,0.1,976.4474256702337,212.14496790802653,0.0,1.0,0.0,0.0,2.0,0,0
11,0.0012114526331095,0.261673768751652,0.0,0.1,967.9059108969216,217.02224189614248,0.0,1.0,0.0,0.0,2.0,0,0
12,0.0014981593252116,0.3236024142457093,0.0,0.1,960.6075673500771,219.3409683365035,0.0,1.0,0.0,0.0,2.0,0,0
13,0.0003949718334096,0.0853139160164773,1.0,0.1,957.8272182641248,222.43448587057352,0.0,1.0,0.0,0.0,2.0,0,0
14,0.0008882331274316,0.1918583555252434,0.0,0.1,953.835958981332,226.11460062104015,0.0,1.0,0.0,0.0,2.0,0,0
15,0.0017405000855944,0.3759480184883933,0.0,0.1,950.5796402948756,230.16068691731888,0.0,1.0,0.0,0.0,2.0,0,0
16,0.0016387022355685,0.3539596828828065,0.0,0.1,945.1323487407076,241.2085746320832,0.0,1.0,0.0,0.0,2.0,0,0
17,0.0019153613469069,0.4137180509319065,0.0,0.1,947.733119371489,248.25710518915804,0.0,1.0,0.0,0.0,2.0,0,0
18,0.0010821953789355,0.2337542018500777,0.0,0.1,949.7154473134896,258.050648596288,0.0,1.0,0.0,0.0,2.0,0,0
19,0.0054211254856797,1.1709631049068263,0.0,0.1,949.887364658079,269.1950339800772,0.0,1.0,0.0,0.0,2.0,0,0
20,0.0037937049099264,0.8194402605441045,0.0,0.1,950.4853416182732,279.5449597076301,0.0,1.0,0.0,0.0,2.0,0,0
21,0.0039080037849184,0.8441288175423889,0.0,0.1,952.2542638145744,291.8337941354436,0.0,1.0,0.0,0.0,2.0,0,0
22,0.0022730951291085,0.4909885478874504,0.0,0.1,956.5448663117504,302.75707816871073,0.0,1.0,0.0,0.0,2.0,0,0
23,0.0021190082100627,0.457705773373555,0.0,0.1,960.0896995158896,311.9326826205462,0.0,1.0,0.0,0.0,2.0,0,0
24,0.0033511176660057,0.7238414158572428,0.0,0.1,966.3016210053312,320.9699477725948,0.0,1.0,0.0,0.0,2.0,0,0
