,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_left_snicket,distance_nose_right_snicket,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_left_snicket,is_investigating_right_snicket,object_investigation_radius[cm],deg_is_investigating_left_snicket,deg_is_investigating_right_snicket
0,0.0003150466647746,0.0680500795913291,1.0,0.1,331.59526151934745,1036.4952465419062,1.0,0.0,0.0,0.0,2.0,0,0
1,0.0002942040039045,0.0635480648433914,1.0,0.1,333.0966288931375,1034.86681573108,1.0,0.0,0.0,0.0,2.0,0,0
2,8.428585547691222e-05,0.018205744783013,1.0,0.1,334.3319270135615,1035.070536588414,1.0,0.0,0.0,0.0,2.0,0,0
3,0.000215556670472,0.0465602408219664,1.0,0.1,334.82469914062585,1034.6439043129146,1.0,0.0,0.0,0.0,2.0,0,0
4,0.0004564581339861,0.0985949569410085,1.0,0.1,340.97590285194343,1035.276518799328,1.0,0.0,0.0,0.0,2.0,0,0
5,0.0003208565039925,0.069305004862383,1.0,0.1,347.39964711307806,1037.8608780373822,1.0,0.0,0.0,0.0,2.0,0,0
6,0.0001833029498243,0.0395934371620563,1.0,0.1,351.13289499968823,1038.6225733752576,1.0,0.0,0.0,0.0,2.0,0,0
7,0.0001548057205323,0.0334380356349893,1.0,0.1,355.57120785309627,1037.8749883816831,1.0,0.0,0.0,0.0,2.0,0,0
8,0.0004766428718263,0.1029548603144815,0.0,0.1,356.0478141606978,1037.6866966857465,1.0,0.0,0.0,0.0,2.0,0,0
9,0.0003182907216524,0.0687507958769379,1.0,0.1,355.63943135972767,1038.6277722907755,1.0,0.0,0.0,0.0,2.0,0,0
10,0.0001736350216716,0.0375051646810696,1.0,0.1,358.07579554464354,1037.818191245311,1.0,0.0,0.0,0.0,2.0,0,0
11,0.0002794893713905,0.060369704220358,1.0,0.1,356.11429478994285,1036.6222216499812,1.0,0.0,0.0,0.0,2.0,0,0
12,0.0001819530199567,0.0393018523106576,1.0,0.1,355.4961191523202,1035.1067423426205,1.0,0.0,0.0,0.0,2.0,0,0
13,0.0002890102683343,0.0624262179602281,1.0,0.1,356.3165705135125,1034.192266662738,1.0,0.0,0.0,0.0,2.0,0,0
14,0.0002820941031247,0.0609323262749553,1.0,0.1,355.0935791157975,1031.1663173646,1.0,0.0,0.0,0.0,2.0,0,0
15,0.0003308091003242,0.0714547656700323,1.0,0.1,352.2093342343458,1028.7933183526216,1.0,0.0,0.0,0.0,2.0,0,0
16,0.0001730981231785,0.0373891946065576,1.0,0.1,349.05631038020334,1025.943592668837,1.0,0.0,0.0,0.0,2.0,0,0
17,0.000410769603362,0.088726234326213,1.0,0.1,349.572573875458,1026.6567932335263,1.0,0.0,0.0,0.0,2.0,0,0
18,1.1609823089387256e-05,0.0025077217873076,1.0,0.1,351.5110497921207,1026.3711498340997,1.0,0.0,0.0,0.0,2.0,0,0
19,0.0001445314252502,0.031218787854045,1.0,0.1,353.3441611249937,1026.7650771575136,1.0,0.0,0.0,0.0,2.0,0,0
20,0.0002074948206114,0.0448188812520702,1.0,0.1,355.2613281811132,1027.5605770739164,1.0,0.0,0.0,0.0,2.0,0,0
21,0.0002066646433517,0.0446395629639871,1.0,0.1,359.3963518770081,1028.9732211500814,1.0,0.0,0.0,0.0,2.0,0,0
22,0.0003579158760856,0.0773098292344953,1.0,0.1,361.0276975287971,1029.2689353023238,1.0,0.0,0.0,0.0,2.0,0,0
23,0.000417567962326,0.0901946798624236,1.0,0.1,362.8719569680687,1029.5302485398822,1.0,0.0,0.0,0.0,2.0,0,0
24,0.000104864697844,0.0226507747343217,1.0,0.1,362.2483187041534,1028.373341928488,1.0,0.0,0.0,0.0,2.0,0,0
25,6.543923310348584e-05,0.0141348743503529,1.0,0.1,361.9020865306141,1028.7546877213542,1.0,0.0,0.0,0.0,2.0,0,0
26,0.0003320210559087,0.0717165480762853,1.0,0.1,363.1929491003592,1029.5340063472615,1.0,0.0,0.0,0.0,2.0,0,0
27,0.0002685777921031,0.0580128030942865,1.0,0.1,363.8401819392215,1030.352942113086,1.0,0.0,0.0,0.0,2.0,0,0
28,0.0001332956204045,0.0287918540073757,1.0,0.1,364.5514623893222,1030.204229565416,1.0,0.0,0.0,0.0,2.0,0,0
29,0.0002244807508493,0.0484878421834588,1.0,0.1,365.4738963230066,1029.797831159466,1.0,0.0,0.0,0.0,2.0,0,0
30,0.0002762520755265,0.0596704483137439,1.0,0.1,364.30018157818927,1029.354359859332,1.0,0.0,0.0,0.0,2.0,0,0
31,0.0003662035914992,0.0790999757638386,1.0,0.1,364.32371171510806,1029.0072829260446,1.0,0.0,0.0,0.0,2.0,0,0
32,0.0001729866781452,0.0373651224793678,1.0,0.1,365.6280307852115,1028.2739163156969,1.0,0.0,0.0,0.0,2.0,0,0
33,5.4484061457973e-05,0.0117685572749221,1.0,0.1,364.8261304888531,1027.756878321508,1.0,0.0,0.0,0.0,2.0,0,0
34,0.0002159302068166,0.0466409246724055,1.0,0.1,364.4666071964133,1027.0939168205982,1.0,0.0,0.0,0.0,2.0,0,0
35,0.0001063586181542,0.0229734615213073,1.0,0.1,364.39101004696727,1026.2634519892745,1.0,0.0,0.0,0.0,2.0,0,0
36,0.0004125770815008,0.0891166496041749,1.0,0.1,364.0323270899294,1026.2258279417929,1.0,0.0,0.0,0.0,2.0,0,0
37,7.826489068458515e-05,0.0169052163878703,1.0,0.1,362.8059377526402,1026.3302659687329,1.0,0.0,0.0,0.0,2.0,0,0
