,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_left_dish,distance_nose_right_dish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_left_dish,is_investigating_right_dish,object_investigation_radius[cm]
0,0.0007149096193727024,0.15442047778450374,0.0,0.1,339.94874167776914,1155.3958585305775,1.0,0.0,0.0,0.0,2.0
1,0.0017066012228798082,0.36862586414203863,0.0,0.1,,,1.0,0.0,,,2.0
2,0.0011419723522689744,0.24666602809009847,0.0,0.1,360.2479835150906,1170.3120328131802,1.0,0.0,0.0,0.0,2.0
3,0.0016926841798678622,0.36561978285145824,0.0,0.1,365.73285993693077,1173.6728106414748,1.0,0.0,0.0,0.0,2.0
4,0.0014078536608562856,0.3040963907449577,0.0,0.1,369.9983959455663,1177.4216371962386,1.0,0.0,0.0,0.0,2.0
5,0.0015466557683230715,0.33407764595778344,0.0,0.1,371.61502174947935,1179.1459145149693,1.0,0.0,0.0,0.0,2.0
6,0.0008483091458305144,0.18323477549939113,0.0,0.1,,,1.0,0.0,,,2.0
7,0.0009135097841435506,0.19731811337500693,0.0,0.1,379.07678525706194,1185.8998096319092,1.0,0.0,0.0,0.0,2.0
8,0.0013024065609124605,0.2813198171570915,0.0,0.1,382.87168388779617,1191.3450047207725,1.0,0.0,0.0,0.0,2.0
9,0.0012467209081319939,0.2692917161565107,0.0,0.1,,,1.0,0.0,,,2.0
10,0.002291108806728929,0.4948795022534487,0.0,0.1,385.31473307811945,1195.083096668134,1.0,0.0,0.0,0.0,2.0
11,0.0014748827078855877,0.31857466490328695,0.0,0.1,,,1.0,0.0,,,2.0
12,0.0011775210773220734,0.25434455270156786,0.0,0.1,,,1.0,0.0,,,2.0
13,0.0019430597742544499,0.4197009112389612,0.0,0.1,,,1.0,0.0,,,2.0
14,0.0015169484963033328,0.3276608752015199,0.0,0.1,,,1.0,0.0,,,2.0
15,0.000354992668786125,0.076678416457803,1.0,0.1,,,1.0,0.0,,,2.0
16,0.00026641231015406893,0.05754505899327889,1.0,0.1,,,1.0,0.0,,,2.0
17,0.0004844922446665265,0.10465032484796974,0.0,0.1,,,1.0,0.0,,,2.0
18,0.0005684543544374806,0.12278614055849581,0.0,0.1,,,1.0,0.0,,,2.0
19,0.0008134874225772172,0.17571328327667893,0.0,0.1,,,1.0,0.0,,,2.0
20,0.0015630744708491334,0.3376240857034128,0.0,0.1,,,1.0,0.0,,,2.0
21,0.0012712825788469798,0.2745970370309476,0.0,0.1,388.3154302440792,1200.0700168577748,1.0,0.0,0.0,0.0,2.0
22,0.001583067711150342,0.3419426256084739,0.0,0.1,384.9476190116131,1190.9586526436256,1.0,0.0,0.0,0.0,2.0
23,0.003167816224947724,0.6842483045887084,0.0,0.1,381.64578767660004,1177.8811038023384,1.0,0.0,0.0,0.0,2.0
24,0.0011849752328370038,0.2559546502927928,0.0,0.1,383.27792416673844,1168.460470127057,1.0,0.0,0.0,0.0,2.0
25,0.0010739757441270744,0.2319787607314481,0.0,0.1,382.2600598815485,1156.63982379435,1.0,0.0,0.0,0.0,2.0
26,0.00037453543041179643,0.08089965296894804,1.0,0.1,380.93085627380185,1143.9238394378776,1.0,0.0,0.0,0.0,2.0
27,0.0004841245743012989,0.10457090804908056,0.0,0.1,384.43392954871746,1140.8126267851987,1.0,0.0,0.0,0.0,2.0
28,0.000775365449449368,0.16747893708106348,0.0,0.1,385.1750598026698,1136.7987544512423,1.0,0.0,0.0,0.0,2.0
29,0.0022166612151167274,0.47879882246521316,0.0,0.1,,,1.0,0.0,,,2.0
30,0.0009531240483663844,0.20587479444713902,0.0,0.1,,,1.0,0.0,,,2.0
31,0.0007463467436119831,0.16121089662018837,0.0,0.1,383.4298016071519,1111.6787639999623,1.0,0.0,0.0,0.0,2.0
32,0.0019640237096928462,0.4242291212936548,0.0,0.1,383.2711430205129,1110.9277151233875,1.0,0.0,0.0,0.0,2.0
33,0.0005761532682946934,0.12444910595165377,0.0,0.1,383.64695074729616,1108.7253111515065,1.0,0.0,0.0,0.0,2.0
