,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_left_dish,distance_nose_right_dish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_left_dish,is_investigating_right_dish,object_investigation_radius[cm]
0,0.0024656683286781124,0.5325843589944723,0.0,0.1,1028.0933539918526,223.02475915119092,0.0,1.0,0.0,0.0,2.0
1,0.0019935807813806997,0.43061344877823116,0.0,0.1,1030.4905994207227,230.0131995784831,0.0,1.0,0.0,0.0,2.0
2,0.0022938251090000657,0.4954662235440142,0.0,0.1,1031.1654796586197,235.37615015903287,0.0,1.0,0.0,0.0,2.0
3,0.002496055829306983,0.5391480591303084,0.0,0.1,1032.5714021536473,241.69181206932393,0.0,1.0,0.0,0.0,2.0
4,0.001805811803987718,0.3900553496613471,0.0,0.1,1034.8284349176056,249.6680241909173,0.0,1.0,0.0,0.0,2.0
5,0.0023215335058839664,0.5014512372709368,0.0,0.1,1038.3931184979938,257.62287005855296,0.0,1.0,0.0,0.0,2.0
6,0.002603804579824504,0.5624217892420929,0.0,0.1,1042.9011773298655,266.2113059703938,0.0,1.0,0.0,0.0,2.0
7,0.0025753459423473158,0.5562747235470202,0.0,0.1,1045.6573908906203,272.643547251534,0.0,1.0,0.0,0.0,2.0
8,0.002301677806036854,0.4971624061039605,0.0,0.1,1048.5852322026992,279.06965797710575,0.0,1.0,0.0,0.0,2.0
9,0.002407861090096803,0.5200979954609095,0.0,0.1,1049.1099889830805,284.34284185645015,0.0,1.0,0.0,0.0,2.0
10,0.0021269085180016683,0.4594122398883604,0.0,0.1,1048.6695603449562,290.08772217791727,0.0,1.0,0.0,0.0,2.0
11,0.0022339007563235216,0.4825225633658807,0.0,0.1,1050.268320159251,296.5117083008102,0.0,1.0,0.0,0.0,2.0
12,0.0028575693272095727,0.6172349746772677,0.0,0.1,,,0.0,1.0,,,2.0
13,0.0031276742636682196,0.6755776409523354,0.0,0.1,,,0.0,1.0,,,2.0
14,0.0034080809541634964,0.7361454860993152,0.0,0.1,,,0.0,1.0,,,2.0
15,0.003878298345761824,0.837712442684554,0.0,0.1,,,0.0,1.0,,,2.0
16,0.002720518155707952,0.5876319216329177,0.0,0.1,,,0.0,1.0,,,2.0
17,0.0019417149248862398,0.4194104237754278,0.0,0.1,,,0.0,1.0,,,2.0
18,0.002280106868557828,0.49250308360849093,0.0,0.1,,,0.0,1.0,,,2.0
19,0.0026112425220709327,0.5640283847673214,0.0,0.1,,,0.0,1.0,,,2.0
20,0.0024024190054700535,0.5189225051815316,0.0,0.1,,,0.0,1.0,,,2.0
21,0.0015104312305480477,0.3262531457983783,0.0,0.1,1080.7433247053586,378.1651560239464,0.0,1.0,0.0,0.0,2.0
22,0.0015713703259504976,0.33941599040530746,0.0,0.1,1085.875929179753,383.5738903368242,0.0,1.0,0.0,0.0,2.0
23,0.001764264638794831,0.3810811619796835,0.0,0.1,1091.4847164899816,390.1619564708907,0.0,1.0,0.0,0.0,2.0
24,0.0006051189992957201,0.13070570384787555,0.0,0.1,1092.3060544315472,392.12874071118483,0.0,1.0,0.0,0.0,2.0
25,0.0002950299429613418,0.06372646767964983,1.0,0.1,1091.8703511112722,391.81746935089564,0.0,1.0,0.0,0.0,2.0
26,0.0010487359080328712,0.2265269561351002,0.0,0.1,1091.3399111763506,390.8408341667113,0.0,1.0,0.0,0.0,2.0
27,0.0018806292157731315,0.40621591060699647,0.0,0.1,1088.270735889002,386.9891077374402,0.0,1.0,0.0,0.0,2.0
28,0.000784454669487418,0.1694422086092823,0.0,0.1,1085.3193759816966,382.13876221846243,0.0,1.0,0.0,0.0,2.0
29,0.0006181165935301022,0.13351318420250208,0.0,0.1,,,0.0,1.0,,,2.0
30,0.001311111545006525,0.28320009372140936,0.0,0.1,,,0.0,1.0,,,2.0
31,0.0020519836237637753,0.44322846273297545,0.0,0.1,,,0.0,1.0,,,2.0
32,0.0017863847944440453,0.3858591155999138,0.0,0.1,,,0.0,1.0,,,2.0
33,0.002554649541303544,0.5518043009215655,0.0,0.1,,,0.0,1.0,,,2.0
34,0.0008696243784156848,0.1878388657377879,0.0,0.1,,,0.0,1.0,,,2.0
35,0.0016397209659573812,0.35417972864679437,0.0,0.1,,,0.0,1.0,,,2.0
36,0.0017389265259797706,0.3756081296116304,0.0,0.1,,,0.0,1.0,,,2.0
37,0.0014868572601998823,0.3211611682031746,0.0,0.1,,,0.0,1.0,,,2.0
38,0.0017823765145379812,0.38499332714020396,0.0,0.1,,,0.0,1.0,,,2.0
39,0.0010052814369853314,0.21714079038883158,0.0,0.1,,,0.0,1.0,,,2.0
40,0.0016959488204798586,0.36632494522364945,0.0,0.1,1103.7492313194002,328.54566773066693,0.0,1.0,0.0,0.0,2.0
41,0.0014125213964502287,0.30510462163324936,0.0,0.1,1107.5793907856698,327.2623528512509,0.0,1.0,0.0,0.0,2.0
42,0.00045758327408640604,0.09883798720266371,1.0,0.1,1112.2721924826997,325.35285243945293,0.0,1.0,0.0,0.0,2.0
43,0.00030254560836156066,0.06534985140609711,1.0,0.1,1116.3266197177838,327.7711658692521,0.0,1.0,0.0,0.0,2.0
44,0.0003479249501560617,0.07515178923370933,1.0,0.1,1118.2917987287597,330.17676234645904,0.0,1.0,0.0,0.0,2.0
