,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_left_dish,distance_nose_right_dish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_left_dish,is_investigating_right_dish,object_investigation_radius[cm]
0,0.0004386615823444397,0.09475090178639899,1.0,0.1,884.9453105902309,42.36181095011177,0.0,1.0,0.0,1.0,2.0
1,0.0010028200333034205,0.21660912719353884,0.0,0.1,886.5558086478337,43.960082302457735,0.0,1.0,0.0,1.0,2.0
2,0.0010617842306824825,0.22934539382741623,0.0,0.1,887.8383249870561,45.04934951448251,0.0,1.0,0.0,1.0,2.0
3,0.00022588744390211158,0.0487916878828561,1.0,0.1,887.7174748599333,47.61835307978371,0.0,1.0,0.0,1.0,2.0
4,0.0005999820683663591,0.12959612676713358,0.0,0.1,888.9481278266794,50.00477546089598,0.0,1.0,0.0,1.0,2.0
5,0.0006014351499028799,0.12990999237902207,0.0,0.1,889.0691614935668,52.58679050244092,0.0,1.0,0.0,1.0,2.0
6,0.0025889417057033547,0.5592114084319246,0.0,0.1,892.0397911630848,56.09653452258482,0.0,1.0,0.0,1.0,2.0
7,0.0009760273230941332,0.21082190178833277,0.0,0.1,894.8261555620298,60.846521847621965,0.0,1.0,0.0,1.0,2.0
8,0.0023006764601450434,0.4969461153913294,0.0,0.1,898.7130536285026,66.9958705014545,0.0,1.0,0.0,1.0,2.0
9,0.003682928179233889,0.79551248671452,0.0,0.1,900.6496655013837,71.96338514110725,0.0,1.0,0.0,0.0,2.0
10,0.0004774203436258664,0.10312279422318714,0.0,0.1,901.6118954409671,76.12817234453034,0.0,1.0,0.0,0.0,2.0
11,0.0026166704014540486,0.5652008067140745,0.0,0.1,902.9892786659514,76.87784378010421,0.0,1.0,0.0,0.0,2.0
12,0.0005674273206585723,0.12256430126225164,0.0,0.1,905.1388865874443,77.8634141447351,0.0,1.0,0.0,0.0,2.0
13,0.0006631803813121348,0.14324696236342113,0.0,0.1,905.8030287582426,81.65030712138928,0.0,1.0,0.0,0.0,2.0
14,0.0015003642884636528,0.324078686308149,0.0,0.1,909.7314937152604,86.94795660690852,0.0,1.0,0.0,0.0,2.0
15,0.0017034861673317224,0.36795301214365206,0.0,0.1,911.9913941258164,89.80610112170291,0.0,1.0,0.0,0.0,2.0
16,0.0004898117649608025,0.10579934123153335,0.0,0.1,915.551263444912,94.40514602841552,0.0,1.0,0.0,0.0,2.0
17,0.0020523929691889475,0.4433168813448127,0.0,0.1,919.0169957861159,97.52328424604804,0.0,1.0,0.0,0.0,2.0
18,0.0003812172886597551,0.0823429343505071,1.0,0.1,921.4190495498965,98.81590897550771,0.0,1.0,0.0,0.0,2.0
19,0.00036664634586224535,0.079195610706245,1.0,0.1,930.611472371345,103.29689501266101,0.0,1.0,0.0,0.0,2.0
20,0.0007649911090116241,0.16523807954651082,0.0,0.1,939.3880031141666,109.0069818491712,0.0,1.0,0.0,0.0,2.0
21,0.0008937079014235146,0.19304090670747917,0.0,0.1,945.4555038209238,111.5316602653136,0.0,1.0,0.0,0.0,2.0
22,0.0013417867586489962,0.2898259398681832,0.0,0.1,948.262076576285,112.63660984925373,0.0,1.0,0.0,0.0,2.0
23,0.0003990112182187358,0.08618642313524692,1.0,0.1,950.2008587869477,113.92771023316153,0.0,1.0,0.0,0.0,2.0
24,,,,0.1,954.6286022290866,117.7118339246353,0.0,1.0,0.0,0.0,2.0
25,,,,0.1,959.3817201444193,121.16051168403781,,,0.0,0.0,2.0
26,,,,0.1,962.4557805223675,123.76973642337053,,,0.0,0.0,2.0
27,,,,0.1,964.4817991631681,124.88166063874961,,,0.0,0.0,2.0
28,,,,0.1,966.3571840353173,127.0163364606339,,,0.0,0.0,2.0
29,,,,0.1,971.0641810734928,131.5902396571747,,,0.0,0.0,2.0
30,,,,0.1,974.707853361459,135.440432586803,,,0.0,0.0,2.0
31,,,,0.1,979.6915079230479,141.8313138157205,,,0.0,0.0,2.0
32,0.0011862403171183985,0.25622790849757404,0.0,0.1,982.6641629038018,144.99427002416036,0.0,1.0,0.0,0.0,2.0
33,,,,0.1,984.7887904507209,149.17825644791353,0.0,1.0,0.0,0.0,2.0
34,,,,0.1,987.3492645513576,153.5835186765757,,,0.0,0.0,2.0
35,,,,0.1,992.6350928392533,158.71531990908016,,,0.0,0.0,2.0
36,,,,0.1,997.5425000111327,165.32329251416158,,,0.0,0.0,2.0
37,0.003164460283593712,0.6835234212562418,0.0,0.1,1001.4054904528135,170.9134359500858,0.0,1.0,0.0,0.0,2.0
38,0.0017150442102613441,0.3704495494164503,0.0,0.1,1004.0780044654773,174.88140716946924,0.0,1.0,0.0,0.0,2.0
39,0.0006890380963648031,0.14883222881479746,0.0,0.1,1007.0205881933797,179.2080417654207,0.0,1.0,0.0,0.0,2.0
40,0.002354209996706789,0.5085093592886665,0.0,0.1,1007.453886781371,180.96022977241242,0.0,1.0,0.0,0.0,2.0
41,0.0013399516282453852,0.2894295517010032,0.0,0.1,1011.7423161310229,187.97484880995387,0.0,1.0,0.0,0.0,2.0
42,0.0012684087098354892,0.27397628132446566,0.0,0.1,1014.8172651367476,193.62962034644377,0.0,1.0,0.0,0.0,2.0
43,0.0008907886723753031,0.1924103532330655,0.0,0.1,1020.8306817572246,200.25431196193435,0.0,1.0,0.0,0.0,2.0
44,0.003219930909512044,0.6955050764546015,0.0,0.1,1024.2820203871804,205.2496969211043,0.0,1.0,0.0,0.0,2.0
45,3.781116090743118e-05,0.008167210756005135,1.0,0.1,1032.8816757888685,214.39150327804143,0.0,1.0,0.0,0.0,2.0
46,0.001200443749383619,0.2592958498668617,0.0,0.1,1039.4095130077465,222.47610916637282,0.0,1.0,0.0,0.0,2.0
47,,,,0.1,1043.4369457654177,229.26169514391694,0.0,1.0,0.0,0.0,2.0
48,,,,0.1,1047.1908802256057,234.78785650964747,,,0.0,0.0,2.0
49,,,,0.1,1047.8681224010502,236.57748098783858,,,0.0,0.0,2.0
50,0.002000003216801051,0.43200069482902703,0.0,0.1,1053.4947010256385,240.72284342417103,0.0,1.0,0.0,0.0,2.0
51,0.001793774176353564,0.3874552220923698,0.0,0.1,1055.6028390281724,245.05212489164268,0.0,1.0,0.0,0.0,2.0
52,,,,0.1,1055.5297540158367,249.20397568730968,0.0,1.0,0.0,0.0,2.0
53,,,,0.1,1057.2513814238696,255.22462753103346,,,0.0,0.0,2.0
54,0.0016225617747551231,0.3504733433471066,0.0,0.1,1060.0414364387827,261.0159957806038,0.0,1.0,0.0,0.0,2.0
55,0.00236740768508384,0.5113600599781095,0.0,0.1,1061.3396580159165,265.16023733375766,0.0,1.0,0.0,0.0,2.0
56,0.0031516927227805856,0.6807656281206066,0.0,0.1,1064.4554150027393,270.36387366737745,0.0,1.0,0.0,0.0,2.0
57,0.0014654983004890858,0.31654763290564253,0.0,0.1,1064.6197916954045,272.200499818382,0.0,1.0,0.0,0.0,2.0
58,0.0014057320533486979,0.30363812352331876,0.0,0.1,1066.5478315894215,276.50090662687984,0.0,1.0,0.0,0.0,2.0
59,0.001504455108816927,0.32496230350445626,0.0,0.1,1068.02643822135,281.81351263007156,0.0,1.0,0.0,0.0,2.0
60,0.000802968753017295,0.17344125065173574,0.0,0.1,1071.866400415,290.0405108806027,0.0,1.0,0.0,0.0,2.0
61,0.0007187095045838745,0.1552412529901169,0.0,0.1,,,0.0,1.0,,,2.0
62,0.0016338853668423114,0.3529192392379393,0.0,0.1,,,0.0,1.0,,,2.0
63,0.0019618825353460924,0.423766627634756,0.0,0.1,,,0.0,1.0,,,2.0
64,0.0011677622580016337,0.25223664772835286,0.0,0.1,,,0.0,1.0,,,2.0
65,0.0011111467084445365,0.2400076890240199,0.0,0.1,,,0.0,1.0,,,2.0
66,0.0017541649361721423,0.37889962621318274,0.0,0.1,,,0.0,1.0,,,2.0
67,0.0010631256653955612,0.22963514372544125,0.0,0.1,,,0.0,1.0,,,2.0
68,0.0013826685648582638,0.298656410009385,0.0,0.1,,,0.0,1.0,,,2.0
69,0.0010675126067811705,0.23058272306473285,0.0,0.1,1074.7533302222212,310.67143735045306,0.0,1.0,0.0,0.0,2.0
70,0.0016336999891256722,0.35287919765114517,0.0,0.1,1066.1754888690946,311.05040597535515,0.0,1.0,0.0,0.0,2.0
71,0.0010624751441751861,0.2294946311418402,0.0,0.1,1061.8426780095524,314.104585742479,0.0,1.0,0.0,0.0,2.0
72,0.0017058664626843439,0.3684671559398183,0.0,0.1,1053.692874012622,313.3243378613578,0.0,1.0,0.0,0.0,2.0
73,0.0017212537339110568,0.3717908065247883,0.0,0.1,1039.1900676819853,309.8654804038101,0.0,1.0,0.0,0.0,2.0
74,0.0021483762841643865,0.46404927737950746,0.0,0.1,1022.6084557947808,304.7535717638039,0.0,1.0,0.0,0.0,2.0
75,0.001912601878899792,0.4131220058423551,0.0,0.1,1010.541627510772,303.95986010413634,0.0,1.0,0.0,0.0,2.0
76,0.0018069938388197665,0.39031066918506957,0.0,0.1,1003.1135821412689,305.4985487683245,0.0,1.0,0.0,0.0,2.0
77,0.0022207458192004064,0.47968109694728783,0.0,0.1,996.551698975615,309.57220668307235,0.0,1.0,0.0,0.0,2.0
78,0.002803962300248985,0.6056558568537808,0.0,0.1,992.16881897786,315.54800670766423,0.0,1.0,0.0,0.0,2.0
79,0.0015029692313478832,0.3246413539711428,0.0,0.1,992.1855206798913,320.4110838390714,0.0,1.0,0.0,0.0,2.0
80,0.0015988163139252598,0.3453443238078561,0.0,0.1,992.3399266269282,329.5105357084384,0.0,1.0,0.0,0.0,2.0
81,0.00169908428366793,0.3670022052722729,0.0,0.1,987.8399718194979,335.2488926689825,0.0,1.0,0.0,0.0,2.0
82,0.0009581310889436103,0.2069563152118198,0.0,0.1,987.1707140920524,337.3291241368103,0.0,1.0,0.0,0.0,2.0
83,0.0010058405925826939,0.2172615679978619,0.0,0.1,989.3139211797705,342.0881122013009,0.0,1.0,0.0,0.0,2.0
84,0.0010602527254338298,0.22901458869370725,0.0,0.1,990.4534467184618,347.06726826614954,0.0,1.0,0.0,0.0,2.0
85,0.0010077883543684627,0.21768228454358793,0.0,0.1,986.3003251146813,345.45984215771966,0.0,1.0,0.0,0.0,2.0
86,0.002050064485681449,0.44281392890719296,0.0,0.1,979.767323515377,344.6953811337007,0.0,1.0,0.0,0.0,2.0
87,0.0006563672444036052,0.14177532479117874,0.0,0.1,973.0729923434187,347.5179501003751,0.0,1.0,0.0,0.0,2.0
88,0.00010712650747809833,0.02313932561526924,1.0,0.1,973.5996319035603,350.69750676686715,0.0,1.0,0.0,0.0,2.0
89,0.0008337937585992808,0.18009945185744466,0.0,0.1,968.3954277584315,354.4781971013292,0.0,1.0,0.0,0.0,2.0
