;distance_travelled_center;speed_in_cm/s;distance_nose_leftdish;distance_nose_rightdish;is_left_cagehalf;is_right_cagehalf;is_investigating_leftdish;is_investigating_rightdish
22361;1.371830664;1.371830664;520.8640669;558.7962833;1;0;0;0
22362;3.796512498;3.796512498;521.1687224;559.7100784;1;0;0;0
22363;1.39681357;1.39681357;521.5232544;560.4035918;1;0;0;0
22364;7.191505482;7.191505482;522.885741;561.1687094;1;0;0;0
22365;4.615212075;4.615212075;525.4429568;561.1658727;1;0;0;0
22366;7.798750503;7.798750503;526.3672263;561.3101414;1;0;0;0
22367;1.040255047;1.040255047;525.0313169;565.1967658;1;0;0;0
22368;5.898623795;5.898623795;525.2571183;568.6442865;1;0;0;0
22369;5.287457393;5.287457393;524.5942658;567.6135237;1;0;0;0
22370;10.73175535;10.73175535;522.7100187;565.2674615;1;0;0;0
22371;6.404711447;6.404711447;518.7062432;566.0935525;1;0;0;0
22372;6.35832219;6.35832219;514.7719835;567.3431517;1;0;0;0
22373;5.607941633;5.607941633;512.6062498;571.4910478;1;0;0;0
22374;8.030875207;8.030875207;510.4657116;577.8043341;1;0;0;0
22375;9.294535711;9.294535711;510.550608;583.3455672;1;0;0;0
22376;1.227667771;1.227667771;512.5863155;587.90556;1;0;0;0
22377;4.670492845;4.670492845;511.3183595;594.5597882;1;0;0;0
22378;2.625518397;2.625518397;511.2166721;595.8453305;1;0;0;0
22379;5.014932694;5.014932694;510.328795;597.2579912;1;0;0;0
22380;;;508.8783839;599.5197578;1;0;0;0
22381;;;507.4651539;602.7160728;;;0;0
22382;;;506.9144726;601.5672927;;;0;0
22383;;;507.7534909;602.4291529;;;0;0
22384;1.232756207;1.232756207;509.5429137;603.4720807;1;0;0;0
22385;1.514519327;1.514519327;508.3305962;603.7358697;1;0;0;0
22386;3.793207891;3.793207891;506.740121;606.9445444;1;0;0;0
22387;2.062330147;2.062330147;505.5311273;609.3694045;1;0;0;0
22388;0.883370344;0.883370344;503.6836407;607.0005463;1;0;0;0
22389;0.935412681;0.935412681;502.9850833;603.4283128;1;0;0;0
22390;1.854230304;1.854230304;501.1924978;605.4734102;1;0;0;0
22391;0.732608497;0.732608497;500.0742735;608.7681156;1;0;0;0
22392;0.568899444;0.568899444;499.7565949;609.9581842;1;0;0;0
22393;1.242350132;1.242350132;499.6049664;611.0093821;1;0;0;0
22394;1.030598351;1.030598351;498.826315;611.0373998;1;0;0;0
22395;0.730945676;0.730945676;493.5909388;613.7945664;1;0;0;0
22396;1.076490467;1.076490467;488.0332444;618.8294499;1;0;0;0
22397;1.812586255;1.812586255;483.6924141;623.4151875;1;0;0;0
22398;5.502999479;5.502999479;481.5271539;624.7704095;1;0;0;0
22399;1.136012157;1.136012157;478.6160547;628.2399295;1;0;0;0
22400;2.130206754;2.130206754;477.1397507;628.0469281;1;0;0;0
22401;1.60579639;1.60579639;477.0931283;629.3800536;1;0;0;0
22402;0.124091885;0.124091885;478.3096399;631.684562;1;0;0;0
22403;0.530110428;0.530110428;478.8999158;632.7037349;1;0;0;0
22404;1.361876596;1.361876596;477.1545264;630.749053;1;0;0;0
22405;0.972334588;0.972334588;477.6497689;628.4739679;1;0;0;0
22406;4.361950498;4.361950498;478.490678;630.1400142;1;0;0;0
22407;1.721268261;1.721268261;;;1;0;0;0
22408;0.880556732;0.880556732;;;1;0;0;0
22409;0.994924664;0.994924664;;;1;0;0;0
22410;1.26235945;1.26235945;480.1080223;635.5588785;1;0;0;0
22411;3.063693594;3.063693594;479.2418907;635.1561899;1;0;0;0
22412;1.578047083;1.578047083;478.7137746;634.1866451;1;0;0;0
22413;1.545491413;1.545491413;479.1029771;632.6370418;1;0;0;0
22414;1.333920469;1.333920469;479.2994034;630.7290365;1;0;0;0
22415;2.33882173;2.33882173;482.2179406;627.6751682;1;0;0;0
22416;1.117458231;1.117458231;486.2296014;623.4453716;1;0;0;0
22417;2.536531199;2.536531199;489.9050257;622.470117;1;0;0;0
22418;1.968391723;1.968391723;490.8041301;622.6160183;1;0;0;0
22419;0.209241152;0.209241152;491.3819906;621.8364615;1;0;0;0
22420;1.378146525;1.378146525;491.4958988;620.7877655;1;0;0;0
22421;0.7372608;0.7372608;492.0644937;620.7139078;1;0;0;0
22422;0.410091309;0.410091309;491.9658801;620.6250555;1;0;0;0
22423;1.960013927;1.960013927;491.6370542;621.6100325;1;0;0;0
22424;0.807222518;0.807222518;490.9894527;622.5922562;1;0;0;0
22425;2.957299063;2.957299063;490.1306893;624.2117226;1;0;0;0
22426;2.398658653;2.398658653;488.0313199;626.6415887;1;0;0;0
22427;1.609013083;1.609013083;487.6729071;629.3074248;1;0;0;0
22428;1.24748963;1.24748963;487.1784956;631.6701098;1;0;0;0
22429;3.26874885;3.26874885;487.3775061;632.8468816;1;0;0;0
22430;2.490523633;2.490523633;486.5192801;633.2103984;1;0;0;0
22431;0.274583208;0.274583208;484.19803;637.1297504;1;0;0;0
22432;0.984442275;0.984442275;483.1680426;640.2653195;1;0;0;0
22433;1.880888628;1.880888628;484.2818378;640.1588307;1;0;0;0
22434;1.753412863;1.753412863;484.7679441;640.2069117;1;0;0;0
22435;2.496105061;2.496105061;483.2306642;638.1292777;1;0;0;0
22436;0.966584981;0.966584981;482.5215484;635.9166075;1;0;0;0
22437;3.629564264;3.629564264;482.6423472;629.5367602;1;0;0;0
22438;1.445700494;1.445700494;482.9108359;623.0505475;1;0;0;0
22439;1.120576933;1.120576933;488.1821317;625.1485276;1;0;0;0
22440;1.792945766;1.792945766;489.6430254;623.658546;1;0;0;0
22441;2.828687961;2.828687961;490.0719151;622.3995423;1;0;0;0
22442;0.435158156;0.435158156;489.4485033;623.4980579;1;0;0;0
