,distance_travelled_center,speed_in_cm/s,distance_nose_leftdish,distance_nose_rightdish,is_left_cagehalf,is_right_cagehalf,is_investigating_leftdish,is_investigating_rightdish
0,22.900422475408995,22.900422475408995,934.4697337998194,173.8230457419778,0.0,1.0,0.0,0.0
1,,,939.2490854454092,185.14586946680186,0.0,1.0,0.0,0.0
2,,,939.8602989167555,191.77696653229535,,,0.0,0.0
3,,,943.0205159908256,203.14654927825242,,,0.0,0.0
4,,,947.3263885042282,216.4532210374538,,,0.0,0.0
5,,,948.6540310520036,225.6215007424855,,,0.0,0.0
6,28.50935288966042,28.50935288966042,952.2958096096374,234.8104172470626,0.0,1.0,0.0,0.0
7,24.73457678752444,24.73457678752444,953.1268488327156,238.982388545016,0.0,1.0,0.0,0.0
8,23.38629788089886,23.38629788089886,950.8516322166388,242.41114220619318,0.0,1.0,0.0,0.0
9,19.18093674227451,19.18093674227451,944.3938037437595,245.04464090305382,0.0,1.0,0.0,0.0
10,11.19549140950688,11.19549140950688,942.884678669083,248.9196062864085,0.0,1.0,0.0,0.0
11,9.540312634090505,9.540312634090505,939.1442023927755,251.65207290101918,0.0,1.0,0.0,0.0
12,6.192959326332645,6.192959326332645,930.6428705646682,249.54930276584275,0.0,1.0,0.0,0.0
13,10.772501301952257,10.772501301952257,920.1971517481817,241.64203314150438,0.0,1.0,0.0,0.0
14,11.872892439109659,11.872892439109659,908.5224477376547,231.89613960802836,0.0,1.0,0.0,0.0
15,7.052669602600161,7.052669602600161,895.897613839421,222.63291667393548,0.0,1.0,0.0,0.0
16,9.252362921759804,9.252362921759804,887.979052610908,217.45107854193648,0.0,1.0,0.0,0.0
17,12.119443943896123,12.119443943896123,879.4529402744367,212.99864195390353,0.0,1.0,0.0,0.0
18,7.78033046556064,7.78033046556064,871.3628124930736,208.50053373822965,0.0,1.0,0.0,0.0
19,6.359686920452243,6.359686920452243,869.828965835586,208.4727609793496,0.0,1.0,0.0,0.0
20,6.298524075032234,6.298524075032234,867.9535996706315,210.89397036094653,0.0,1.0,0.0,0.0
21,3.41251448270345,3.41251448270345,864.1839079295127,212.02784182643177,0.0,1.0,0.0,0.0
22,6.840693711306418,6.840693711306418,859.6729268500142,213.2726017897059,0.0,1.0,0.0,0.0
23,5.1545821546837525,5.1545821546837525,859.85172841496,218.74224714120965,0.0,1.0,0.0,0.0
24,,,859.4957969187972,225.08650142376365,0.0,1.0,0.0,0.0
25,,,860.1489960007724,235.685362413699,,,0.0,0.0
26,,,858.0592771687836,244.53433760153928,,,0.0,0.0
27,,,856.3569083803746,253.2555427426318,,,0.0,0.0
28,,,855.8269964168685,260.38002512113263,,,0.0,0.0
29,,,853.9153236542014,265.8794488979085,,,0.0,0.0
30,,,847.0710503712054,269.9976535359606,,,0.0,0.0
31,4.908026884113814,4.908026884113814,842.972366675581,274.3708451117767,0.0,1.0,0.0,0.0
32,14.008012006447805,14.008012006447805,837.2469128558,280.00288580627114,0.0,1.0,0.0,0.0
33,,,832.6035272694404,285.56856216977206,0.0,1.0,0.0,0.0
34,,,829.8663483970973,290.3074343953942,,,0.0,0.0
35,10.68623742416825,10.68623742416825,828.6396468592524,296.29824778040233,0.0,1.0,0.0,0.0
36,10.676819981148839,10.676819981148839,825.0683057026182,299.69745832192973,0.0,1.0,0.0,0.0
37,12.039862137817957,12.039862137817957,822.7039201053975,305.7665445113551,0.0,1.0,0.0,0.0
38,11.427027708963182,11.427027708963182,822.7908913790721,312.1585141321426,0.0,1.0,0.0,0.0
39,13.761299840772995,13.761299840772995,823.0703296425476,320.0357772105621,0.0,1.0,0.0,0.0
40,11.215339150947521,11.215339150947521,821.199328188066,325.369106895352,0.0,1.0,0.0,0.0
41,3.282359966644429,3.282359966644429,821.8004030853109,328.25819552048074,0.0,1.0,0.0,0.0
42,1.3353946384688433,1.3353946384688433,827.5614888692426,331.6955212489983,0.0,1.0,0.0,0.0
43,2.3170988930598333,2.3170988930598333,831.5906394536001,334.7817893383835,0.0,1.0,0.0,0.0
44,3.697420488222087,3.697420488222087,834.0482804577119,336.35325108637943,0.0,1.0,0.0,0.0
45,11.302066334928181,11.302066334928181,837.0917749519476,336.70129997627646,0.0,1.0,0.0,0.0
46,6.464665757701126,6.464665757701126,837.7998010878229,330.8363921603991,0.0,1.0,0.0,0.0
47,6.87388540625445,6.87388540625445,837.9136968793929,322.01041207244805,0.0,1.0,0.0,0.0
48,11.268607904074672,11.268607904074672,840.960524952882,316.05552977031994,0.0,1.0,0.0,0.0
49,4.925961043711002,4.925961043711002,844.1490628366263,314.04018136961304,0.0,1.0,0.0,0.0
50,7.714269003633888,7.714269003633888,848.4504656380226,313.39555716050984,0.0,1.0,0.0,0.0
51,3.6350447669720807,3.6350447669720807,850.2132919041213,311.2619943284954,0.0,1.0,0.0,0.0
52,7.174495749132647,7.174495749132647,850.2227595936193,306.25501635744337,0.0,1.0,0.0,0.0
53,4.45373041093439,4.45373041093439,849.735415299587,300.1802484778536,0.0,1.0,0.0,0.0
