,Stimulus to total investigation [%],Total investigation time,Discrimination Index,Median speed,Distance per minute,Immobile time [%]
240220_top_104_V1_Habituation_Urinright,15.036803364879075,951.0,-0.6992639327024185,0.11837855430025385,695.3183719788722,39.925203989120575
240220_top_105_V1_Habituation_Urinright,71.53846153846153,520.0,0.4307692307692308,0.2093299488846015,988.1795535863681,23.047937443336355
240220_top_117_V1_Habituation_Urinright,34.886128364389236,966.0,-0.3022774327122153,0.16358377394098006,832.2879308876435,30.47087488667271
240220_top_1_V1_Habituation_Urinright,68.3068017366136,691.0,0.3661360347322721,0.1539194576480936,746.2270189119438,30.71736174070716
240220_top_2_V1_Habituation_Urinright,55.016181229773466,618.0,0.10032362459546926,0.1405558138831578,712.7353325301309,33.80553037171351
240220_top_95_V1_Habituation_Urinright,28.57142857142857,574.0,-0.42857142857142855,0.1508061273577953,751.8350774045543,30.309383499546687
