,distance_nose_leftdish,distance_nose_rightdish,is_investigating_leftdish,is_investigating_rightdish,petridish_investigation_radius[cm]
0,,,0.0,0.0,2.2
1,,,0.0,0.0,2.2
2,963.5737053289657,381.2501856530091,0.0,0.0,2.2
3,956.0531756971757,375.92801133290425,0.0,0.0,2.2
4,,,0.0,0.0,2.2
5,924.9701150757114,313.34974074089746,0.0,0.0,2.2
6,,,0.0,0.0,2.2
7,,,0.0,0.0,2.2
8,840.1106382678335,272.96073501092127,0.0,0.0,2.2
9,827.8461227282189,278.0517348369147,0.0,0.0,2.2
10,812.4257548923919,291.5412306548686,0.0,0.0,2.2
11,791.1260378276269,309.29254483918135,0.0,0.0,2.2
12,,,0.0,0.0,2.2
13,,,0.0,0.0,2.2
14,731.2842926930055,360.80008605221406,0.0,0.0,2.2
15,716.091739235812,377.47114894780316,0.0,0.0,2.2
16,707.6935075185205,385.0894291836878,0.0,0.0,2.2
17,708.9736174885578,384.0957698552044,0.0,0.0,2.2
18,717.3663015369918,383.86431593649195,0.0,0.0,2.2
19,724.1509111112613,386.3907580258783,0.0,0.0,2.2
20,732.6788305766814,384.8606439375129,0.0,0.0,2.2
21,738.1815237684506,385.04014634038566,0.0,0.0,2.2
22,741.2781649087481,383.8178135502847,0.0,0.0,2.2
23,741.797966635274,385.5631648198809,0.0,0.0,2.2
24,743.7726808539036,387.7506203739898,0.0,0.0,2.2
25,744.0302077399917,388.9154068583042,0.0,0.0,2.2
26,744.1258914796172,389.21415251771555,0.0,0.0,2.2
27,743.9931096909083,388.46587753511244,0.0,0.0,2.2
28,744.1131060846993,388.5497120467689,0.0,0.0,2.2
29,745.0367631411563,387.4527044774531,0.0,0.0,2.2
30,745.6211216602804,387.34543909702506,0.0,0.0,2.2
31,746.0448740473907,387.1259164211563,0.0,0.0,2.2
32,746.3298964642426,386.40785722886596,0.0,0.0,2.2
33,746.5606493635341,385.5946702686141,0.0,0.0,2.2
34,745.2173898327148,384.35932126867334,0.0,0.0,2.2
35,745.6207579242874,384.1894312680378,0.0,0.0,2.2
36,746.1237339471936,382.9535424945667,0.0,0.0,2.2
37,746.3470139953107,383.2265022793544,0.0,0.0,2.2
38,746.2308038290507,383.07765323606696,0.0,0.0,2.2
39,747.2363468764601,383.2904347009729,0.0,0.0,2.2
40,747.6077493515154,383.78010032536895,0.0,0.0,2.2
41,746.8488842294182,384.02637649562394,0.0,0.0,2.2
42,745.2913528290932,382.88458324963096,0.0,0.0,2.2
43,744.0183137997444,382.0287981242551,0.0,0.0,2.2
44,744.0542575795406,384.70136737815614,0.0,0.0,2.2
45,741.3780012620409,383.0114096364416,0.0,0.0,2.2
46,742.0123367839675,384.0755323481684,0.0,0.0,2.2
47,742.5085800574446,385.1961869309137,0.0,0.0,2.2
48,741.0241227938834,387.898701379741,0.0,0.0,2.2
49,741.1122937530018,388.2572663080584,0.0,0.0,2.2
50,741.4673349352183,388.6755218566718,0.0,0.0,2.2
51,741.3507757504817,388.3553304468011,0.0,0.0,2.2
52,741.3319564206654,388.44836273153993,0.0,0.0,2.2
53,741.174783130547,388.36365423960524,0.0,0.0,2.2
54,740.698022927606,387.7571965073959,0.0,0.0,2.2
55,740.6271941568773,387.8078129515539,0.0,0.0,2.2
56,742.821703210075,388.01924007426027,0.0,0.0,2.2
57,742.9119892503343,387.4709837616494,0.0,0.0,2.2
58,743.0397953430885,387.3207445969401,0.0,0.0,2.2
59,742.471708122872,387.9859864327549,0.0,0.0,2.2
60,742.7175973079449,386.8829422242007,0.0,0.0,2.2
61,743.4634021094324,386.91294944470695,0.0,0.0,2.2
62,742.685705869364,387.0445791455162,0.0,0.0,2.2
63,742.2498454251045,386.86632675327223,0.0,0.0,2.2
64,741.6984323282022,381.75533580589456,0.0,0.0,2.2
65,720.008645549025,353.72624352458007,0.0,0.0,2.2
66,702.0888763100613,339.46277619196405,0.0,0.0,2.2
67,691.2158209991837,334.7140175762968,0.0,0.0,2.2
68,684.2715463399333,336.0560961276219,0.0,0.0,2.2
69,676.753714160152,335.06473220134853,0.0,0.0,2.2
70,671.4849330670793,335.82790436127556,0.0,0.0,2.2
71,669.9781477371156,335.74486444530623,0.0,0.0,2.2
72,664.0750366308514,337.5298427552595,0.0,0.0,2.2
73,655.0244817286982,355.8130694059511,0.0,0.0,2.2
74,634.3810044702811,385.76172209915876,0.0,0.0,2.2
