,distance_nose_leftdish,distance_nose_rightdish,is_investigating_leftdish,is_investigating_rightdish,petridish_investigation_radius[cm]
0,283.07591393457994,862.3105886773794,0.0,0.0,2.2
1,282.2432491961632,861.7920267544209,0.0,0.0,2.2
2,281.162317882458,860.9271245924145,0.0,0.0,2.2
3,280.0911740544876,859.4266485487893,0.0,0.0,2.2
4,278.69818981720215,858.2733763699811,0.0,0.0,2.2
5,279.0926425705256,858.7090982452598,0.0,0.0,2.2
6,279.03714139214,858.5822206029525,0.0,0.0,2.2
7,277.922133274865,857.0897434353305,0.0,0.0,2.2
8,277.3555500751453,856.7370664528722,0.0,0.0,2.2
9,276.59639980469615,855.8243618426901,0.0,0.0,2.2
10,275.625624761095,855.1357691596914,0.0,0.0,2.2
11,274.9667466779563,854.6508087432454,0.0,0.0,2.2
12,273.30701133226665,851.8170476221601,0.0,0.0,2.2
13,272.519285456215,850.6868525089577,0.0,0.0,2.2
14,272.2440163438279,851.0743213117322,0.0,0.0,2.2
15,272.7200099760418,851.4409426818505,0.0,0.0,2.2
16,271.9132174894829,850.3290202872025,0.0,0.0,2.2
17,271.8830088637001,850.7468797426475,0.0,0.0,2.2
18,272.0453825628365,850.8532752400845,0.0,0.0,2.2
19,271.49025799905337,849.3735896685596,0.0,0.0,2.2
20,270.95769138629043,848.2659746637249,0.0,0.0,2.2
21,270.955451062182,848.4686764588987,0.0,0.0,2.2
22,270.533447468549,847.8827137965457,0.0,0.0,2.2
23,269.5875742472964,847.2119399562207,0.0,0.0,2.2
24,270.90133789249415,848.1887074854857,0.0,0.0,2.2
25,270.9978108058247,848.50266298074,0.0,0.0,2.2
26,270.5892782458162,848.2163270952623,0.0,0.0,2.2
27,270.242024040556,847.0464088042805,0.0,0.0,2.2
28,270.45256823358676,847.1347726881964,0.0,0.0,2.2
29,270.64365015150076,847.2943570431357,0.0,0.0,2.2
30,270.1187587292941,847.0852668110344,0.0,0.0,2.2
31,270.19497784800234,847.4318895526759,0.0,0.0,2.2
32,270.7449640193734,848.1028971867081,0.0,0.0,2.2
33,270.35437166134943,847.9601165285106,0.0,0.0,2.2
34,270.2241811371192,847.2070956323579,0.0,0.0,2.2
35,270.5200700491223,846.9324645379189,0.0,0.0,2.2
36,268.9178445500822,848.7673159264192,0.0,0.0,2.2
37,253.10138567506263,844.4998381172211,0.0,0.0,2.2
38,231.43688173925196,841.0829006107786,0.0,0.0,2.2
39,210.61881142532204,835.603948572279,0.0,0.0,2.2
40,198.2029052047691,830.1065420890944,0.0,0.0,2.2
41,192.62085800561064,824.8108001816929,0.0,0.0,2.2
42,188.38607941146321,816.5238865994882,0.0,0.0,2.2
43,185.95837490999463,811.8190716313862,0.0,0.0,2.2
44,185.8367554855931,809.1140010192429,0.0,0.0,2.2
45,185.2084878912159,807.5120633407485,0.0,0.0,2.2
46,185.00664231316605,808.1762811443376,0.0,0.0,2.2
47,185.3131006031391,809.0508840408065,0.0,0.0,2.2
48,183.87337865115046,808.2407068549933,0.0,0.0,2.2
49,184.41125049246014,809.2399572493714,0.0,0.0,2.2
50,185.79445074481387,809.7843483026229,0.0,0.0,2.2
51,186.19139607373555,808.7369589533293,0.0,0.0,2.2
52,185.86488611173993,808.1298516683826,0.0,0.0,2.2
53,185.78328631931745,808.6321209822572,0.0,0.0,2.2
54,186.22241846122066,808.9837868365204,0.0,0.0,2.2
