,distance_nose_leftdish,distance_nose_rightdish,is_investigating_leftdish,is_investigating_rightdish,petridish_investigation_radius[cm]
0,742.6691958025857,110.93140121116576,0.0,0.0,2.2
1,739.4242703974136,105.21746191278176,0.0,0.0,2.2
2,739.3813905451559,98.08218772874866,0.0,0.0,2.2
3,741.8993997983174,92.2078201093949,0.0,0.0,2.2
4,740.5664136668657,88.96293609491684,0.0,0.0,2.2
5,740.6394365932141,87.1558106946662,0.0,0.0,2.2
6,741.1577258167154,82.97998089631896,0.0,0.0,2.2
7,738.8607113113588,82.70032795601901,0.0,0.0,2.2
8,739.9963803439426,79.94896528284264,0.0,0.0,2.2
9,741.960768691857,76.3712755773453,0.0,1.0,2.2
10,746.5047087795631,67.30759331958315,0.0,1.0,2.2
11,745.5738307941858,62.24418672899704,0.0,1.0,2.2
12,745.1073363971608,58.68661834559315,0.0,1.0,2.2
13,741.4014030797056,57.512779462128776,0.0,1.0,2.2
14,741.523531232733,54.057756448751896,0.0,1.0,2.2
15,744.4495185872985,47.78923183812305,0.0,1.0,2.2
16,743.4984087037642,46.232176689159175,0.0,1.0,2.2
17,742.6658396523005,43.1717958049638,0.0,1.0,2.2
18,748.2009672689782,36.67008329129916,0.0,1.0,2.2
19,753.552686854398,31.085881551995158,0.0,1.0,2.2
20,757.2745797535363,27.413914639383226,0.0,1.0,2.2
21,760.955672132319,24.283306097675858,0.0,1.0,2.2
22,765.9259414272395,19.148025569449835,0.0,1.0,2.2
23,770.6677695305704,14.400176577268777,0.0,1.0,2.2
24,771.6477014792733,11.255639265543763,0.0,1.0,2.2
25,772.1348711368508,8.252522362030446,0.0,1.0,2.2
26,771.4833263304356,7.92950113199648,0.0,1.0,2.2
27,771.5125056880865,9.449025686341004,0.0,1.0,2.2
28,768.3612878512167,13.757593307639027,0.0,1.0,2.2
29,768.6603519862525,16.106085902738304,0.0,1.0,2.2
30,768.2335586606092,17.157784933553195,0.0,1.0,2.2
31,766.7350505383206,18.55016412951562,0.0,1.0,2.2
32,764.9680845113655,18.17128144950875,0.0,1.0,2.2
33,764.8876743166347,14.713584309293905,0.0,1.0,2.2
34,765.7599764698624,13.703301851616793,0.0,1.0,2.2
35,763.6895165535137,15.978545034768755,0.0,1.0,2.2
36,762.6623619227897,16.53168544134956,0.0,1.0,2.2
37,761.7077186172331,16.340105254045742,0.0,1.0,2.2
38,759.9050184728114,17.79139987716122,0.0,1.0,2.2
39,755.3843427278018,22.32130368808825,0.0,1.0,2.2
40,755.2213579621483,22.807733219417536,0.0,1.0,2.2
41,755.0461653314215,23.70954180039478,0.0,1.0,2.2
42,751.6778826183561,27.235264759020456,0.0,1.0,2.2
43,,,0.0,0.0,2.2
44,,,0.0,0.0,2.2
45,,,0.0,0.0,2.2
46,,,0.0,0.0,2.2
47,745.7693532550524,33.23155034436043,0.0,1.0,2.2
48,744.8237794262661,34.04785070716094,0.0,1.0,2.2
49,744.3731849921859,34.23938605641739,0.0,1.0,2.2
50,744.8793167769304,33.659117969688005,0.0,1.0,2.2
51,,,0.0,0.0,2.2
52,,,0.0,0.0,2.2
53,744.9779927802365,33.00463298522801,0.0,1.0,2.2
54,745.5592558512551,32.50034197297278,0.0,1.0,2.2
55,745.453394190946,32.4108063043086,0.0,1.0,2.2
56,,,0.0,0.0,2.2
57,,,0.0,0.0,2.2
58,743.237488828677,34.68942224169247,0.0,1.0,2.2
59,,,0.0,0.0,2.2
60,745.1246509207615,33.261123987291,0.0,1.0,2.2
61,745.65526040357,32.986169759232546,0.0,1.0,2.2
62,745.5703880813514,33.53617826697373,0.0,1.0,2.2
63,746.3119478502521,32.64517736234882,0.0,1.0,2.2
64,,,0.0,0.0,2.2
65,,,0.0,0.0,2.2
66,,,0.0,0.0,2.2
67,,,0.0,0.0,2.2
68,,,0.0,0.0,2.2
69,744.4890609416789,33.39924508997856,0.0,1.0,2.2
70,744.1711592411605,33.824695315342545,0.0,1.0,2.2
71,745.3070652769308,32.87441620494209,0.0,1.0,2.2
72,,,0.0,0.0,2.2
73,,,0.0,0.0,2.2
74,,,0.0,0.0,2.2
75,745.3773401845935,32.90908449306874,0.0,1.0,2.2
76,745.8763597522723,32.36475524308281,0.0,1.0,2.2
77,749.1614293257373,29.258745787534334,0.0,1.0,2.2
78,749.9282831100936,28.66866956438451,0.0,1.0,2.2
79,748.9694327865799,29.793526148792886,0.0,1.0,2.2
80,747.9003731470093,30.677562717028646,0.0,1.0,2.2
81,746.0749583672069,32.1216501445009,0.0,1.0,2.2
82,745.0575950652566,33.01599957574766,0.0,1.0,2.2
83,743.9963503702086,33.86428705558457,0.0,1.0,2.2
84,744.452198700927,33.58038536636341,0.0,1.0,2.2
85,743.9620594562448,34.36468702304784,0.0,1.0,2.2
86,744.6980460714922,33.694989330938576,0.0,1.0,2.2
87,744.7286728651243,33.79804265306283,0.0,1.0,2.2
88,744.2952550723082,33.98123599458071,0.0,1.0,2.2
89,745.6291712008835,32.66212242573073,0.0,1.0,2.2
90,746.5562977166836,32.145032075716074,0.0,1.0,2.2
91,747.6717714411483,31.213183003848798,0.0,1.0,2.2
92,748.1004399091784,30.458124572724333,0.0,1.0,2.2
93,,,0.0,0.0,2.2
94,,,0.0,0.0,2.2
95,,,0.0,0.0,2.2
96,745.129342494153,33.087813550506816,0.0,1.0,2.2
97,744.3323245064612,33.92758864209571,0.0,1.0,2.2
98,744.2372424253294,33.93601076278329,0.0,1.0,2.2
99,743.506143055508,34.65551469661744,0.0,1.0,2.2
100,743.5461522936403,34.694875480609156,0.0,1.0,2.2
101,744.6091933329778,33.90780138474626,0.0,1.0,2.2
102,744.2064685168488,34.47430348294361,0.0,1.0,2.2
103,745.1458228040351,33.54606783801539,0.0,1.0,2.2
104,745.0348424314969,33.58660691308045,0.0,1.0,2.2
105,,,0.0,0.0,2.2
106,,,0.0,0.0,2.2
107,,,0.0,0.0,2.2
108,,,0.0,0.0,2.2
109,,,0.0,0.0,2.2
110,,,0.0,0.0,2.2
111,,,0.0,0.0,2.2
112,,,0.0,0.0,2.2
113,,,0.0,0.0,2.2
114,,,0.0,0.0,2.2
115,,,0.0,0.0,2.2
116,747.3702982768656,30.878234417077433,0.0,1.0,2.2
117,,,0.0,0.0,2.2
118,,,0.0,0.0,2.2
119,746.7025469079952,31.830218328743108,0.0,1.0,2.2
120,,,0.0,0.0,2.2
121,745.6055624950377,32.92311807657583,0.0,1.0,2.2
122,745.7712878847418,32.93212922802052,0.0,1.0,2.2
