,distance_nose_leftdish,distance_nose_rightdish,is_investigating_leftdish,is_investigating_rightdish,petridish_investigation_radius[cm]
0,976.120994126949,182.13037855275252,0.0,0.0,2.2
1,976.8956822486778,183.26348909863364,0.0,0.0,2.2
2,976.8952755411921,183.82559093277192,0.0,0.0,2.2
3,972.4307690303119,179.43109636235948,0.0,0.0,2.2
4,969.3731416500706,176.15300584046486,0.0,0.0,2.2
5,963.2621510812896,170.43864933302612,0.0,0.0,2.2
6,956.7487843729034,164.02973104565297,0.0,0.0,2.2
7,947.0820707607465,155.29943862260018,0.0,0.0,2.2
8,934.4801979037959,142.87185924609167,0.0,0.0,2.2
9,926.9549838625173,138.50820548340533,0.0,0.0,2.2
10,915.4253346106344,130.32473865093527,0.0,0.0,2.2
11,910.2970122165873,125.10044113084929,0.0,0.0,2.2
12,899.2354914010956,115.20626842527035,0.0,0.0,2.2
13,896.1238270846696,110.66527059375665,0.0,0.0,2.2
14,897.9460820560422,108.51728885824096,0.0,0.0,2.2
15,894.417232781964,103.42447235473077,0.0,0.0,2.2
16,892.0697994865665,101.80045018098909,0.0,0.0,2.2
17,883.4364271163435,95.2173145106055,0.0,0.0,2.2
18,880.7963098743227,94.22646150308015,0.0,0.0,2.2
19,875.9609854990557,89.9868766121806,0.0,0.0,2.2
20,872.5840334014232,86.32763641098332,0.0,0.0,2.2
21,866.4851643193473,79.72131155172846,0.0,0.0,2.2
22,859.7820675564991,73.58325136878958,0.0,1.0,2.2
23,858.3905375650755,72.2346409367405,0.0,1.0,2.2
24,855.4761777509729,70.63155773005784,0.0,1.0,2.2
25,854.0482344252013,68.80853549341404,0.0,1.0,2.2
26,848.4122081906172,60.34990237477336,0.0,1.0,2.2
27,843.8344987519789,52.908625866410276,0.0,1.0,2.2
28,839.9868362671507,46.55273471561797,0.0,1.0,2.2
29,836.477949137784,40.3831004811264,0.0,1.0,2.2
30,836.9268467039667,40.27589670460561,0.0,1.0,2.2
31,837.7960012723214,40.66440821843309,0.0,1.0,2.2
32,842.0029607999229,44.4483671228295,0.0,1.0,2.2
33,858.5130731684483,61.04438094413726,0.0,1.0,2.2
34,868.0754784007264,71.09655203464021,0.0,1.0,2.2
35,880.451698193873,84.86243374224644,0.0,0.0,2.2
36,,,0.0,0.0,2.2
37,,,0.0,0.0,2.2
38,,,0.0,0.0,2.2
39,,,0.0,0.0,2.2
40,,,0.0,0.0,2.2
41,,,0.0,0.0,2.2
42,,,0.0,0.0,2.2
43,,,0.0,0.0,2.2
44,,,0.0,0.0,2.2
45,864.4167622865556,66.84804243197905,0.0,1.0,2.2
46,867.7170177331357,70.27954129690534,0.0,1.0,2.2
47,,,0.0,0.0,2.2
48,,,0.0,0.0,2.2
49,,,0.0,0.0,2.2
50,,,0.0,0.0,2.2
51,,,0.0,0.0,2.2
52,,,0.0,0.0,2.2
53,,,0.0,0.0,2.2
54,,,0.0,0.0,2.2
55,,,0.0,0.0,2.2
56,,,0.0,0.0,2.2
57,,,0.0,0.0,2.2
58,,,0.0,0.0,2.2
59,,,0.0,0.0,2.2
60,,,0.0,0.0,2.2
61,,,0.0,0.0,2.2
62,,,0.0,0.0,2.2
63,,,0.0,0.0,2.2
64,,,0.0,0.0,2.2
65,,,0.0,0.0,2.2
66,,,0.0,0.0,2.2
67,,,0.0,0.0,2.2
68,,,0.0,0.0,2.2
69,,,0.0,0.0,2.2
70,,,0.0,0.0,2.2
71,,,0.0,0.0,2.2
72,,,0.0,0.0,2.2
73,,,0.0,0.0,2.2
74,884.4731834525834,106.49337349378801,0.0,0.0,2.2
75,887.1149290875501,124.618589045115,0.0,0.0,2.2
76,886.4231293619032,138.9937472038166,0.0,0.0,2.2
77,886.0995200878259,147.66594973454767,0.0,0.0,2.2
78,878.4072313185548,148.16329642564696,0.0,0.0,2.2
