,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_left_dish,distance_nose_right_dish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_left_dish,is_investigating_right_dish,object_investigation_radius[cm],deg_is_investigating_left_dish,deg_is_investigating_right_dish
0,0.0023299236095727,0.5032634996677063,0.0,0.05,319.45644659022514,958.91121935292,1.0,0.0,0.0,0.0,2.0,0,0
1,0.0034276437397645,0.7403710477891405,0.0,0.05,322.86656184667413,968.4780322125264,1.0,0.0,0.0,0.0,2.0,0,0
2,0.0051490977230241,1.1122051081732225,0.0,0.05,325.6590402157965,976.1432432199748,1.0,0.0,0.0,0.0,2.0,0,0
3,0.0048087475715179,1.0386894754478873,0.0,0.05,329.60583783693414,983.9721865664668,1.0,0.0,0.0,0.0,2.0,0,0
4,0.003057906968053,0.6605079050994512,0.0,0.05,330.9706578790466,989.9220849180516,1.0,0.0,0.0,0.0,2.0,0,0
5,0.002921281752879,0.6309968586218648,0.0,0.05,,,1.0,0.0,,,2.0,0,0
6,0.0016046997683897,0.3466151499721902,0.0,0.05,,,1.0,0.0,,,2.0,0,0
7,0.0013644581498422,0.2947229603659358,0.0,0.05,346.8442064507228,1015.9145059083064,1.0,0.0,0.0,0.0,2.0,0,0
8,0.00182379142004,0.3939389467286432,0.0,0.05,354.0732451508828,1028.652373568153,1.0,0.0,0.0,0.0,2.0,0,0
9,0.001995037988358,0.430928205485334,0.0,0.05,359.2732883536812,1035.3432896908448,1.0,0.0,0.0,0.0,2.0,0,0
10,0.0021387025697817,0.4619597550728674,0.0,0.05,363.5545518336141,1040.2226718214888,1.0,0.0,0.0,0.0,2.0,0,0
11,0.0014446487102491,0.312044121413821,0.0,0.05,367.9093249392293,1046.3443012951143,1.0,0.0,0.0,0.0,2.0,0,0
12,0.0017277877200034,0.3732021475207471,0.0,0.05,374.8826245326878,1057.752894908493,1.0,0.0,0.0,0.0,2.0,0,0
13,0.0018060279607172,0.390102039514936,0.0,0.05,378.3252208938216,1062.903013211548,1.0,0.0,0.0,0.0,2.0,0,0
14,0.0018444442834395,0.3983999652229437,0.0,0.05,380.8183720833255,1066.4593699734992,1.0,0.0,0.0,0.0,2.0,0,0
15,0.0015571541294949,0.3363452919709148,0.0,0.05,383.99856241193135,1069.6067640746423,1.0,0.0,0.0,0.0,2.0,0,0
16,0.0020004805086005,0.4321037898577102,0.0,0.05,388.3290562875101,1074.2941691407057,1.0,0.0,0.0,0.0,2.0,0,0
17,0.0014446395818822,0.3120421496865675,0.0,0.05,393.877151173955,1079.7098305556535,1.0,0.0,0.0,0.0,2.0,0,0
18,0.0011915023167238,0.257364500412355,0.0,0.05,397.5176540764795,1083.4458007448188,1.0,0.0,0.0,0.0,2.0,0,0
19,0.0008221746701574,0.1775897287540194,0.0,0.05,399.9804795651912,1087.3529202936493,1.0,0.0,0.0,0.0,2.0,0,0
20,0.0003871817928224,0.0836312672496429,0.0,0.05,400.30461408979767,1087.31948672251,1.0,0.0,0.0,0.0,2.0,0,0
21,0.0005723653847247,0.1236309231005462,0.0,0.05,401.17789605794246,1088.5005733077155,1.0,0.0,0.0,0.0,2.0,0,0
22,0.0009809131677883,0.2118772442422892,0.0,0.05,406.299570787204,1091.296667411906,1.0,0.0,0.0,0.0,2.0,0,0
23,0.0014275808739626,0.3083574687759419,0.0,0.05,409.25608952236416,1089.3664473540991,1.0,0.0,0.0,0.0,2.0,0,0
24,4.665422168565439e-05,0.0100773118841013,1.0,0.05,410.83420963658665,1093.0589231834483,1.0,0.0,0.0,0.0,2.0,0,0
25,0.0004502337499026,0.0972504899789691,0.0,0.05,,,1.0,0.0,,,2.0,0,0
26,0.0004448704006859,0.096092006548163,0.0,0.05,404.9388668019326,1089.3566028452217,1.0,0.0,0.0,0.0,2.0,0,0
27,0.000640662268643,0.1383830500269069,0.0,0.05,398.0667870105472,1088.8580860520583,1.0,0.0,0.0,0.0,2.0,0,0
28,0.0006243583658056,0.1348614070140186,0.0,0.05,398.9545331143168,1091.9699880745038,1.0,0.0,0.0,0.0,2.0,0,0
29,0.0003335936127641,0.0720562203570621,0.0,0.05,391.597300954644,1089.5935733719014,1.0,0.0,0.0,0.0,2.0,0,0
30,0.0002944611442314,0.0636036071539867,0.0,0.05,380.0528846612708,1086.3211648755848,1.0,0.0,0.0,0.0,2.0,0,0
31,0.0010202463805744,0.2203732182040769,0.0,0.05,376.6795089807409,1090.5804922789705,1.0,0.0,0.0,0.0,2.0,0,0
32,0.0014189213506501,0.3064870117404409,0.0,0.05,375.7531578074396,1095.4601563211356,1.0,0.0,0.0,0.0,2.0,0,0
33,0.0010487645979662,0.2265331531607,0.0,0.05,374.1466172201128,1096.2066597445832,1.0,0.0,0.0,0.0,2.0,0,0
34,0.0005694764069046,0.1230069038913996,0.0,0.05,366.9794205523711,1093.259978240403,1.0,0.0,0.0,0.0,2.0,0,0
35,0.0011856211098493,0.2560941597274519,0.0,0.05,362.44809156864176,1094.1955727963386,1.0,0.0,0.0,0.0,2.0,0,0
36,0.0005727719108103,0.1237187327350435,0.0,0.05,362.0382426454609,1098.7963012923335,1.0,0.0,0.0,0.0,2.0,0,0
37,0.0009521728117379,0.2056693273353956,0.0,0.05,361.6241899363385,1099.9318306310606,1.0,0.0,0.0,0.0,2.0,0,0
38,0.0009147931061446,0.1975953109272369,0.0,0.05,361.4087462420919,1102.1147295525127,1.0,0.0,0.0,0.0,2.0,0,0
39,0.0015904477328859,0.3435367103033646,0.0,0.05,362.0453557024983,1102.8777375745242,1.0,0.0,0.0,0.0,2.0,0,0
40,0.0015582862802425,0.3365898365323835,0.0,0.05,360.54359231303766,1101.8426243347658,1.0,0.0,0.0,0.0,2.0,0,0
41,0.0013135436881536,0.2837254366411881,0.0,0.05,361.3562295649596,1104.4923926938657,1.0,0.0,0.0,0.0,2.0,0,0
42,0.0030505723374291,0.658923624884697,0.0,0.05,362.8566129466743,1108.0860557063452,1.0,0.0,0.0,0.0,2.0,0,0
43,0.0020080805308636,0.4337453946665428,0.0,0.05,364.7262605730736,1110.4298925511075,1.0,0.0,0.0,0.0,2.0,0,0
44,0.0009063556533573,0.1957728211251943,0.0,0.05,367.2789589995178,1114.1825488324737,1.0,0.0,0.0,0.0,2.0,0,0
45,0.0015110708194018,0.3263912969908096,0.0,0.05,368.6026182656199,1116.1570282413682,1.0,0.0,0.0,0.0,2.0,0,0
46,0.0002269088919681,0.0490123206651285,1.0,0.05,370.2411017990955,1118.795606000279,1.0,0.0,0.0,0.0,2.0,0,0
47,0.0024605877715396,0.5314869586525623,0.0,0.05,369.4341952706751,1118.720782782849,1.0,0.0,0.0,0.0,2.0,0,0
48,0.0011672436989828,0.2521246389802968,0.0,0.05,369.6737201622021,1119.287760098458,1.0,0.0,0.0,0.0,2.0,0,0
49,0.0007197572140267,0.1554675582297881,0.0,0.05,369.17725853580185,1119.8479138759403,1.0,0.0,0.0,0.0,2.0,0,0
50,0.0004718771771259,0.1019254702592083,0.0,0.05,369.7323830578052,1121.596485594827,1.0,0.0,0.0,0.0,2.0,0,0
51,0.0009004605805706,0.1944994854032556,0.0,0.05,369.65997838891616,1123.1743361119886,1.0,0.0,0.0,0.0,2.0,0,0
52,0.0015632310050715,0.3376578970954614,0.0,0.05,374.1855434438024,1127.9752531477968,1.0,0.0,0.0,0.0,2.0,0,0
53,0.0003206378906828,0.0692577843875036,0.0,0.05,374.72546401202976,1126.6135067882794,1.0,0.0,0.0,0.0,2.0,0,0
54,0.0004542002088846,0.0981072451190863,0.0,0.05,373.2355187940535,1124.065472401939,1.0,0.0,0.0,0.0,2.0,0,0
55,0.0012840153603213,0.2773473178294008,0.0,0.05,370.09605819717086,1119.1130947828617,1.0,0.0,0.0,0.0,2.0,0,0
56,0.0012779747765175,0.2760425517277862,0.0,0.05,364.2750224653914,1112.6007340419162,1.0,0.0,0.0,0.0,2.0,0,0
57,0.0005258622775478,0.1135862519503394,0.0,0.05,357.63322060883377,1104.7567419770148,1.0,0.0,0.0,0.0,2.0,0,0
58,0.0014911178703784,0.3220814600017506,0.0,0.05,355.8100259060682,1100.1878942673895,1.0,0.0,0.0,0.0,2.0,0,0
59,0.0012967969876166,0.2801081493252005,0.0,0.05,,,1.0,0.0,,,2.0,0,0
60,0.0013115860888422,0.2833025951899329,0.0,0.05,,,1.0,0.0,,,2.0,0,0
61,0.0011194289031315,0.2417966430764214,0.0,0.05,,,1.0,0.0,,,2.0,0,0
62,0.0005354740677201,0.1156623986275444,0.0,0.05,,,1.0,0.0,,,2.0,0,0
63,0.0006931582740487,0.1497221871945284,0.0,0.05,,,1.0,0.0,,,2.0,0,0
64,0.0004541927061497,0.0981056245283377,0.0,0.05,,,1.0,0.0,,,2.0,0,0
65,0.0002749828485503,0.0593962952868782,0.0,0.05,,,1.0,0.0,,,2.0,0,0
66,0.0009839695474654,0.2125374222525407,0.0,0.05,,,1.0,0.0,,,2.0,0,0
67,0.0006131103192301,0.1324318289537207,0.0,0.05,,,1.0,0.0,,,2.0,0,0
68,0.0006476084504831,0.1398834253043682,0.0,0.05,343.94561696782085,1083.9636087649592,1.0,0.0,0.0,0.0,2.0,0,0
69,0.0001983615180836,0.0428460879060631,1.0,0.05,341.7521909079824,1084.762926499972,1.0,0.0,0.0,0.0,2.0,0,0
70,0.0010527151582461,0.227386474181158,0.0,0.05,334.0005956312899,1080.5183293370676,1.0,0.0,0.0,0.0,2.0,0,0
71,0.001118982688899,0.2417002608022049,0.0,0.05,318.5838955783349,1067.9352528936413,1.0,0.0,0.0,0.0,2.0,0,0
72,0.0005490066462689,0.1185854355940916,0.0,0.05,308.95288950361515,1061.9062995015138,1.0,0.0,0.0,0.0,2.0,0,0
73,0.0007504378940914,0.1620945851237603,0.0,0.05,302.3079452617181,1057.880138630691,1.0,0.0,0.0,0.0,2.0,0,0
74,0.0009584998321113,0.2070359637360585,0.0,0.05,288.4311840050181,1046.1896762529643,1.0,0.0,0.0,0.0,2.0,0,0
75,0.0020148914197381,0.4352165466634316,0.0,0.05,276.27669595765167,1036.623085133191,1.0,0.0,0.0,0.0,2.0,0,0
76,0.0004493051881861,0.0970499206482126,0.0,0.05,263.52705751905285,1026.7884859247706,1.0,0.0,0.0,0.0,2.0,0,0
77,0.0018736739569987,0.4047135747117394,0.0,0.05,253.25819252488975,1018.845931712318,1.0,0.0,0.0,0.0,2.0,0,0
