,distance_travelled_center,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_leftdish,distance_nose_rightdish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_leftdish,is_investigating_rightdish,petridish_investigation_radius[cm],deg_is_investigating_leftdish,deg_is_investigating_rightdish
0,0.0028438019608734,0.6142612235486653,0.0,0.1,90.70596560616583,894.0072177733916,1.0,0.0,0.0,0.0,2.0,0,0
1,0.0021622947150793,0.4670556584571297,0.0,0.1,98.32759895336297,902.6893425768964,1.0,0.0,0.0,0.0,2.0,0,0
2,0.0035151368295295,0.7592695551783927,0.0,0.1,106.8764854836996,911.9208098903592,1.0,0.0,0.0,0.0,2.0,0,0
3,0.002680566020825,0.579002260498211,0.0,0.1,115.91543156664817,921.3541707486532,1.0,0.0,0.0,0.0,2.0,0,0
4,0.0032568976824148,0.7034898994016139,0.0,0.1,121.23750616397002,926.9475043635638,1.0,0.0,0.0,0.0,2.0,0,0
5,0.003163465220921,0.6833084877189534,0.0,0.1,125.39179171726484,931.3919614534864,1.0,0.0,0.0,0.0,2.0,0,0
6,0.0034557746664692,0.7464473279573483,0.0,0.1,130.08633768189816,936.2052774016214,1.0,0.0,0.0,0.0,2.0,0,0
7,0.0024750335784543,0.5346072529461432,0.0,0.1,136.8083069248987,943.1301227838128,1.0,0.0,0.0,0.0,2.0,0,0
8,0.0034664300502564,0.748748890855393,0.0,0.1,146.2948946770025,953.088144021408,1.0,0.0,0.0,0.0,2.0,0,0
9,0.004278477596778,0.9241511609040636,0.0,0.1,157.66800956696542,964.7445459893048,1.0,0.0,0.0,0.0,2.0,0,0
10,0.0013274546653956,0.2867302077254698,0.0,0.1,168.3170264358904,975.6196339856194,1.0,0.0,0.0,0.0,2.0,0,0
11,0.00145610314599,0.3145182795338607,0.0,0.1,174.92307404787442,982.3761627057984,1.0,0.0,0.0,0.0,2.0,0,0
12,0.0037952556319318,0.8197752164972899,0.0,0.1,182.56589684519489,989.92526178309,1.0,0.0,0.0,0.0,2.0,0,0
13,0.0029069528293822,0.6279018111465645,0.0,0.1,189.78650163114955,996.4997379659562,1.0,0.0,0.0,0.0,2.0,0,0
14,0.0021514485744228,0.4647128920753329,0.0,0.1,196.42810662095704,1002.2784323228688,1.0,0.0,0.0,0.0,2.0,0,0
15,0.0031269551377036,0.6754223097439793,0.0,0.1,203.79040632711772,1008.6306341394114,1.0,0.0,0.0,0.0,2.0,0,0
16,0.0036534757139927,0.7891507542224295,0.0,0.1,205.359624151883,1008.9824864851222,1.0,0.0,0.0,0.0,2.0,0,0
17,0.0004907386559139,0.1059995496774045,0.0,0.1,211.4177792982912,1013.817736745374,1.0,0.0,0.0,0.0,2.0,0,0
18,0.0044153939068455,0.9537250838786387,0.0,0.1,214.8768682834598,1015.6171153948976,1.0,0.0,0.0,0.0,2.0,0,0
19,0.002633110758478,0.5687519238312584,0.0,0.1,220.29865703599964,1018.0918170230676,1.0,0.0,0.0,0.0,2.0,0,0
20,0.0051021452994032,1.102063384671106,0.0,0.1,224.2363912043496,1019.1713476701232,1.0,0.0,0.0,0.0,2.0,0,0
21,0.0034489970078646,0.7449833536987585,0.0,0.1,230.1220016589875,1022.5926973270416,1.0,0.0,0.0,0.0,2.0,0,0
22,0.0021923515434914,0.4735479333941566,0.0,0.1,237.05725786131845,1027.6414922368317,1.0,0.0,0.0,0.0,2.0,0,0
23,,,,0.1,241.39990834908733,1029.3746220394885,1.0,0.0,0.0,0.0,2.0,0,0
24,,,,0.1,,,,,,,2.0,0,0
25,,,,0.1,252.061823871834,1032.939308193725,,,0.0,0.0,2.0,0,0
26,,,,0.1,258.858189110375,1036.3183765080844,,,0.0,0.0,2.0,0,0
27,,,,0.1,265.1230777352353,1038.0030974000776,,,0.0,0.0,2.0,0,0
28,,,,0.1,271.00903785744,1037.626747358392,1.0,0.0,0.0,0.0,2.0,0,0
29,,,,0.1,270.2581210353425,1030.0174092655136,,,0.0,0.0,2.0,0,0
30,,,,0.1,274.0968799778112,1026.8953400658686,,,0.0,0.0,2.0,0,0
