,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],is close to edge,distance_nose_left_dish,distance_nose_right_dish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_left_dish,is_investigating_right_dish,object_investigation_radius[cm],deg_is_investigating_left_dish,deg_is_investigating_right_dish,asoid_is_investigating_left_dish,asoid_is_investigating_right_dish
0,0.0028312832486932,0.6115571817177429,0.0,0.1,0.0,744.195952784919,94.21696835544606,0.0,1.0,0.0,0.0,2.0,0,0,0,0
1,0.0009164455495345,0.1979522386994728,0.0,0.1,0.0,745.164147520379,100.87971985096502,0.0,1.0,0.0,0.0,2.0,0,0,0,0
2,0.0015891915980906,0.3432653851875768,0.0,0.1,0.0,748.6134748275933,107.84618866936889,0.0,1.0,0.0,0.0,2.0,0,0,0,0
3,0.0015668913435745,0.3384485302120957,0.0,0.1,0.0,753.888295997303,112.71911171803087,0.0,1.0,0.0,0.0,2.0,0,0,0,0
4,0.0013065083658206,0.282205807017254,0.0,0.1,0.0,757.2829114971585,117.541344706346,0.0,1.0,0.0,0.0,2.0,0,0,0,0
5,0.0002923607352355,0.0631499188108879,1.0,0.1,0.0,754.4793591060892,122.58279531938346,0.0,1.0,0.0,0.0,2.0,0,0,0,0
6,0.0021074517558843,0.4552095792710163,0.0,0.1,0.0,752.3504779625388,128.99115855277222,0.0,1.0,0.0,0.0,2.0,0,0,0,0
7,0.0023744279930997,0.5128764465095412,0.0,0.1,0.0,753.7649042718012,131.4406773387339,0.0,1.0,0.0,0.0,2.0,0,0,0,0
8,0.0003808863032077,0.0822714414928757,1.0,0.1,0.0,757.1918488162028,135.3034616286833,0.0,1.0,0.0,0.0,2.0,0,0,0,0
9,0.0004346261916887,0.0938792574047606,1.0,0.1,0.0,760.5348918683213,137.16827420694344,0.0,1.0,0.0,0.0,2.0,0,0,0,0
10,0.0008955625616275,0.1934415133115421,0.0,0.1,0.0,761.7838174952669,139.27111272684598,0.0,1.0,0.0,0.0,2.0,0,0,0,0
11,0.0021857075299227,0.4721128264633233,0.0,0.1,0.0,766.6097058302989,139.491810460654,0.0,1.0,0.0,0.0,2.0,0,0,0,0
12,0.0007887936711001,0.1703794329576279,0.0,0.1,0.0,769.0305652532386,140.85264583354703,0.0,1.0,0.0,0.0,2.0,0,0,0,0
13,0.0002793637913608,0.0603425789339509,1.0,0.1,0.0,773.1161168299184,141.54407975416618,0.0,1.0,0.0,0.0,2.0,0,0,0,0
14,0.0005028637689419,0.1086185740914519,0.0,0.1,0.0,774.8054040316059,142.06986662177465,0.0,1.0,0.0,0.0,2.0,0,0,0,0
15,0.001344033178497,0.2903111665553681,0.0,0.1,0.0,774.2581156995511,143.46908955128072,0.0,1.0,0.0,0.0,2.0,0,0,0,0
16,0.0003617110780931,0.0781295928681152,1.0,0.1,0.0,771.4640022013069,147.80845098686248,0.0,1.0,0.0,0.0,2.0,0,0,0,0
17,0.0011325531155211,0.2446314729525687,0.0,0.1,0.0,771.4519688872787,147.9262874974861,0.0,1.0,0.0,0.0,2.0,0,0,0,0
18,0.000879095434362,0.1898846138221923,0.0,0.1,0.0,770.3044980044093,149.1225600471179,0.0,1.0,0.0,0.0,2.0,0,0,0,0
19,0.0003632061863503,0.078452536251665,1.0,0.1,0.0,770.0932347746956,150.7174375308078,0.0,1.0,0.0,0.0,2.0,0,0,0,0
