,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_left_dish,distance_nose_right_dish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_left_dish,is_investigating_right_dish,object_investigation_radius[cm],deg_is_investigating_left_dish,deg_is_investigating_right_dish
0,0.0060019655432421,1.296424557340312,0.0,0.05,869.5352379902628,254.16350458716096,0.0,1.0,0.0,0.0,2.0,0,0
1,0.0037808351772305,0.816660398281797,0.0,0.05,876.5888806088892,250.1731835079359,0.0,1.0,0.0,0.0,2.0,0,0
2,0.0039565499287948,0.8546147846196809,0.0,0.05,886.5226719756854,248.8607787086507,0.0,1.0,0.0,0.0,2.0,0,0
3,0.0026585326747489,0.5742430577457661,0.0,0.05,904.1076320306776,249.64825952515653,0.0,1.0,0.0,0.0,2.0,0,0
4,0.0040053154451343,0.8651481361490254,0.0,0.05,915.3551164542664,249.4184503211323,0.0,1.0,0.0,0.0,2.0,0,0
5,0.0034839581106967,0.7525349519105068,0.0,0.05,923.3575073573836,249.93386296769663,0.0,1.0,0.0,0.0,2.0,0,0
6,0.0047466462879215,1.025275598191058,0.0,0.05,930.4847499322598,249.22451239855528,0.0,1.0,0.0,0.0,2.0,0,0
7,0.0041368629360399,0.8935623941846216,0.0,0.05,941.9734629938216,253.6168532444084,0.0,1.0,0.0,0.0,2.0,0,0
8,0.0035604147420794,0.7690495842891708,0.0,0.05,954.3856459354616,258.93724222090407,0.0,1.0,0.0,0.0,2.0,0,0
9,0.0030461556802733,0.6579696269390383,0.0,0.05,967.2131763627596,265.35540542368074,0.0,1.0,0.0,0.0,2.0,0,0
10,0.0024911268712681,0.5380834041939293,0.0,0.05,974.9362865114724,270.4441100363878,0.0,1.0,0.0,0.0,2.0,0,0
11,0.0042494236370925,0.917875505611981,0.0,0.05,980.4250267283268,276.6413941405325,0.0,1.0,0.0,0.0,2.0,0,0
12,0.0012943227226146,0.2795737080847592,0.0,0.05,988.916646360538,282.8048803426604,0.0,1.0,0.0,0.0,2.0,0,0
13,0.0016443838657055,0.3551869149924036,0.0,0.05,1002.8717403550644,291.18704757378595,0.0,1.0,0.0,0.0,2.0,0,0
14,0.0024026826899496,0.5189794610291228,0.0,0.05,1014.2472079171984,298.81934183166106,0.0,1.0,0.0,0.0,2.0,0,0
15,0.0018552960130239,0.4007439388131725,0.0,0.05,1020.2452056983652,301.076000427019,0.0,1.0,0.0,0.0,2.0,0,0
16,0.0006893697013046,0.1489038554818117,0.0,0.05,1023.6913066933472,304.03474888012096,0.0,1.0,0.0,0.0,2.0,0,0
17,0.0006234424370365,0.1346635663998878,0.0,0.05,1027.1668360021251,309.29459115115253,0.0,1.0,0.0,0.0,2.0,0,0
