,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_left_dish,distance_nose_right_dish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_left_dish,is_investigating_right_dish,object_investigation_radius[cm],deg_is_investigating_left_dish,deg_is_investigating_right_dish
0,0.0002403832036036,0.0519227719783947,0.0,0.05,829.5277416725755,77.61954841306033,0.0,1.0,0.0,0.0,2.0,0,0
1,0.0002918383275135,0.06303707874292,0.0,0.05,830.3255808690733,76.23797754284983,0.0,1.0,0.0,0.0,2.0,0,0
2,0.0006228897924452,0.1345441951681636,0.0,0.05,828.9893150823953,72.66704931101961,0.0,1.0,0.0,0.0,2.0,0,0
3,0.0003566132253295,0.077028456671175,0.0,0.05,832.8556418621215,74.61940733441706,0.0,1.0,0.0,0.0,2.0,0,0
4,9.23043706772108e-05,0.0199377440662775,1.0,0.05,834.4606540474199,76.20295028420107,0.0,1.0,0.0,0.0,2.0,0,0
5,0.0002451289029969,0.0529478430473494,0.0,0.05,835.8603277967567,76.74260771515095,0.0,1.0,0.0,0.0,2.0,0,0
6,2.736191402961259e-05,0.0059101734303963,1.0,0.05,836.6140645669914,77.21752223712237,0.0,1.0,0.0,0.0,2.0,0,0
7,0.0002317736065265,0.0500630990097372,0.0,0.05,839.889758326395,79.55347222521276,0.0,1.0,0.0,0.0,2.0,0,0
8,0.0002291493019171,0.0494962492140967,1.0,0.05,837.9319120064324,76.49516091359675,0.0,1.0,0.0,0.0,2.0,0,0
9,0.000409322449863,0.088413649170414,0.0,0.05,837.6744382372063,73.36260254882494,0.0,1.0,0.0,0.0,2.0,0,0
10,0.0001476920000245,0.0319014720053041,1.0,0.05,836.1555481427857,74.18835668191738,0.0,1.0,0.0,0.0,2.0,0,0
11,0.0007591266649743,0.1639713596344514,0.0,0.05,836.6600154605808,75.23348760559342,0.0,1.0,0.0,0.0,2.0,0,0
12,0.0001429954452939,0.0308870161834874,1.0,0.05,836.8394460333735,75.46170477534315,0.0,1.0,0.0,0.0,2.0,0,0
13,0.000213089733651,0.0460273824686265,1.0,0.05,837.8334989349684,77.69157879528446,0.0,1.0,0.0,0.0,2.0,0,0
