,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],is close to edge,distance_nose_left_dish,distance_nose_right_dish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_left_dish,is_investigating_right_dish,object_investigation_radius[cm],deg_is_investigating_left_dish,deg_is_investigating_right_dish,asoid_is_investigating_left_dish,asoid_is_investigating_right_dish
0,0.0022748653332851,0.4913709119895937,0.0,0.1,0.0,141.2653564112867,719.7450702197394,1.0,0.0,0.0,0.0,2.0,0,0,0,0
1,0.0021239924206853,0.4587823628680437,0.0,0.1,0.0,133.06180236246556,728.4413038729008,1.0,0.0,0.0,0.0,2.0,0,0,0,0
2,0.0017983620171028,0.3884461956942178,0.0,0.1,0.0,124.88011850864476,734.7038252549854,1.0,0.0,0.0,0.0,2.0,0,0,0,0
3,0.002702809342002,0.5838068178724373,0.0,0.1,0.0,112.01371957237448,741.0655379891609,1.0,0.0,0.0,0.0,2.0,0,0,0,0
4,0.0030179451249261,0.6518761469840508,0.0,0.1,0.0,101.41201307293171,743.9215880327007,1.0,0.0,0.0,0.0,2.0,0,0,0,0
5,0.0031674065751467,0.6841598202317056,0.0,0.1,0.0,93.7708383566412,746.422228452927,1.0,0.0,0.0,0.0,2.0,0,0,0,0
6,0.0024522230548869,0.5296801798555834,0.0,0.1,0.0,86.57120389912328,750.0506501914671,1.0,0.0,0.0,0.0,2.0,0,0,0,0
7,0.00193876800922,0.4187738899915336,0.0,0.1,0.0,80.24025520768461,751.5229558545311,1.0,0.0,0.0,0.0,2.0,0,0,0,0
8,0.0007008169176566,0.1513764542138358,0.0,0.1,0.0,73.79664782576575,754.4879134677005,1.0,0.0,0.0,0.0,2.0,0,0,0,0
9,0.0015488943149796,0.3345611720356103,0.0,0.1,0.0,68.92868415319431,758.0548314080681,1.0,0.0,1.0,0.0,2.0,0,0,1,0
10,0.0009956804947284,0.2150669868613532,0.0,0.1,0.0,66.85396599385946,762.3347194904798,1.0,0.0,1.0,0.0,2.0,0,0,1,0
11,0.0032469987264693,0.7013517249173835,0.0,0.1,0.0,65.84167752333333,763.6987172893757,1.0,0.0,1.0,0.0,2.0,0,0,1,0
12,0.0010439979737417,0.225503562328213,0.0,0.1,0.0,60.55163414263226,766.9958166961568,1.0,0.0,1.0,0.0,2.0,0,0,1,0
13,0.0014323816480708,0.3093944359833074,0.0,0.1,0.0,60.873654735718745,765.9298268174773,1.0,0.0,1.0,0.0,2.0,0,0,1,0
14,0.0014221172038217,0.3071773160254991,0.0,0.1,0.0,58.55291621412401,765.246406140012,1.0,0.0,1.0,0.0,2.0,0,0,1,0
15,0.0015869677111362,0.3427850256054378,0.0,0.1,0.0,53.086378452471045,768.0694508644383,1.0,0.0,1.0,0.0,2.0,0,0,1,0
16,0.0015804443561896,0.3413759809369583,0.0,0.1,0.0,45.19572945606871,770.565456747753,1.0,0.0,1.0,0.0,2.0,0,0,1,0
17,0.0017780575587167,0.3840604326828183,0.0,0.1,0.0,36.978836410826354,774.044197974998,1.0,0.0,1.0,0.0,2.0,1,0,1,0
18,0.0033947689878865,0.7332701013835056,0.0,0.1,0.0,31.634980183741835,776.1315181924801,1.0,0.0,1.0,0.0,2.0,1,0,1,0
19,0.0025733215127628,0.5558374467567774,0.0,0.1,1.0,,,1.0,0.0,,,2.0,1,0,1,0
