,distance_travelled_center,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_leftdish,distance_nose_rightdish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_leftdish,is_investigating_rightdish,petridish_investigation_radius[cm]
0,0.1540130487390672,0.1540130487390672,0.0,0.1,234.6763422866814,1013.2315366602298,1.0,0.0,0.0,0.0,1.5
1,0.12692931991965845,0.12692931991965845,0.0,0.1,234.0337834963257,1013.106113553361,1.0,0.0,0.0,0.0,1.5
2,0.13184440935686423,0.13184440935686423,0.0,0.1,229.6409658484702,1008.7677235040516,1.0,0.0,0.0,0.0,1.5
3,0.1337168363039894,0.1337168363039894,0.0,0.1,212.0799716791304,993.7483068704244,1.0,0.0,0.0,0.0,1.5
4,0.09724308507743923,0.09724308507743923,1.0,0.1,193.3409331327731,977.9437819472408,1.0,0.0,0.0,0.0,1.5
5,0.19799929443994596,0.19799929443994596,0.0,0.1,171.5298101441778,958.3246720116483,1.0,0.0,0.0,0.0,1.5
6,0.31694529205440425,0.31694529205440425,0.0,0.1,150.6242051574626,937.8228409632801,1.0,0.0,0.0,0.0,1.5
7,0.2464741807337977,0.2464741807337977,0.0,0.1,137.34717430370475,924.0643698355748,1.0,0.0,0.0,0.0,1.5
8,0.36926230720887804,0.36926230720887804,0.0,0.1,128.13453685322003,914.8534737584696,1.0,0.0,0.0,0.0,1.5
9,0.1717271952927413,0.1717271952927413,0.0,0.1,121.52130801742427,908.7265518583574,1.0,0.0,0.0,0.0,1.5
10,0.08190807196262238,0.08190807196262238,1.0,0.1,112.68759550387358,901.6460467517014,1.0,0.0,0.0,0.0,1.5
11,0.3224401395905091,0.3224401395905091,0.0,0.1,107.15600486816957,896.8423920282482,1.0,0.0,0.0,0.0,1.5
12,0.08227090568979271,0.08227090568979271,1.0,0.1,100.44651109295627,890.0595468971788,1.0,0.0,0.0,0.0,1.5
13,0.23846263148324504,0.23846263148324504,0.0,0.1,93.30709743415882,882.9980123074289,1.0,0.0,0.0,0.0,1.5
14,0.10178593507751524,0.10178593507751524,0.0,0.1,91.2741980306099,880.6629628172709,1.0,0.0,0.0,0.0,1.5
15,0.10910431019612289,0.10910431019612289,0.0,0.1,89.34255585009197,878.3079245636279,1.0,0.0,0.0,0.0,1.5
16,0.03674310572246882,0.03674310572246882,1.0,0.1,82.02427105246636,870.5134691649907,1.0,0.0,0.0,0.0,1.5
17,0.07945612319401066,0.07945612319401066,1.0,0.1,78.0677904786759,866.4844146785365,1.0,0.0,0.0,0.0,1.5
18,,,0.0,0.1,78.32620998305829,867.9653644349555,1.0,0.0,0.0,0.0,1.5
19,,,0.0,0.1,75.54928670542668,865.908796022204,,,0.0,0.0,1.5
20,0.23910217930382652,0.23910217930382652,0.0,0.1,72.39954860036768,862.7414254214025,1.0,0.0,0.0,0.0,1.5
21,0.33805030926449225,0.33805030926449225,0.0,0.1,72.1688635851935,862.726364516925,1.0,0.0,0.0,0.0,1.5
22,0.0698339418594541,0.0698339418594541,1.0,0.1,71.73274644946568,862.7668376290122,1.0,0.0,0.0,0.0,1.5
23,0.21772402622596887,0.21772402622596887,0.0,0.1,74.23459779181638,866.1325810598361,1.0,0.0,0.0,0.0,1.5
24,0.23558668588195616,0.23558668588195616,0.0,0.1,75.35097586812279,869.0235975899924,1.0,0.0,0.0,0.0,1.5
25,0.22149649387286569,0.22149649387286569,0.0,0.1,74.82913866330296,869.7199734070317,1.0,0.0,0.0,0.0,1.5
26,0.22550832758464168,0.22550832758464168,0.0,0.1,75.36310381834596,871.0208147982586,1.0,0.0,0.0,0.0,1.5
27,0.07954321770702653,0.07954321770702653,1.0,0.1,76.54468263859452,873.1744727206976,1.0,0.0,0.0,0.0,1.5
28,0.21919041992763827,0.21919041992763827,0.0,0.1,76.31328810118715,873.3539831791725,1.0,0.0,0.0,0.0,1.5
29,0.3665390655732127,0.3665390655732127,0.0,0.1,77.64374852576404,874.5639202063937,1.0,0.0,0.0,0.0,1.5
30,0.32731580281898526,0.32731580281898526,0.0,0.1,76.79899653381388,873.0925975491715,1.0,0.0,0.0,0.0,1.5
31,0.32048824692055433,0.32048824692055433,0.0,0.1,75.70451137202836,871.1937589821157,1.0,0.0,0.0,0.0,1.5
32,,,0.0,0.1,78.47663059509365,872.6119379843515,1.0,0.0,0.0,0.0,1.5
33,,,0.0,0.1,84.38077502019863,877.3184225303615,,,0.0,0.0,1.5
34,,,0.0,0.1,92.49258927936192,882.7399412748949,,,0.0,0.0,1.5
35,0.23304141983471788,0.23304141983471788,0.0,0.1,99.31051645219009,887.9629323481502,1.0,0.0,0.0,0.0,1.5
36,0.7500041290567738,0.7500041290567738,0.0,0.1,104.01987721527715,889.5142954560348,1.0,0.0,0.0,0.0,1.5
37,,,0.0,0.1,111.23875021210243,892.4535293707836,1.0,0.0,0.0,0.0,1.5
38,,,0.0,0.1,118.30914749698637,895.2422783885113,,,0.0,0.0,1.5
39,,,0.0,0.1,126.07113944352326,898.0806608077537,,,0.0,0.0,1.5
40,,,0.0,0.1,132.93038732450685,898.5742145634367,,,0.0,0.0,1.5
41,,,0.0,0.1,140.49027530646342,898.7407958531996,,,0.0,0.0,1.5
42,,,0.0,0.1,143.2443828072548,895.0618126363796,,,0.0,0.0,1.5
43,,,0.0,0.1,158.22213955439204,895.1851994542807,,,0.0,0.0,1.5
44,,,0.0,0.1,170.84875767942802,899.3182449622924,,,0.0,0.0,1.5
45,,,0.0,0.1,182.0560708880448,902.0123513216653,,,0.0,0.0,1.5
