,distance_travelled_center,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_leftdish,distance_nose_rightdish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_leftdish,is_investigating_rightdish,petridish_investigation_radius[cm]
0,0.2638404798393487,0.2638404798393487,0.0,0.1,1051.8747837314656,319.3436552884329,0.0,1.0,0.0,0.0,1.5
1,0.26970495383678833,0.26970495383678833,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
2,0.13361931306689803,0.13361931306689803,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
3,0.15016791551364325,0.15016791551364325,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
4,0.11706525136779986,0.11706525136779986,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
5,0.12356525572114087,0.12356525572114087,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
6,0.12116842232121995,0.12116842232121995,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
7,0.13966132487695607,0.13966132487695607,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
8,0.033891697810864575,0.033891697810864575,1.0,0.1,,,0.0,1.0,0.0,0.0,1.5
9,0.06371551293716238,0.06371551293716238,1.0,0.1,,,0.0,1.0,0.0,0.0,1.5
10,0.17555306577805457,0.17555306577805457,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
11,0.26239625290456203,0.26239625290456203,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
12,0.11977308973509272,0.11977308973509272,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
13,0.10189815644725138,0.10189815644725138,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
14,0.15533765581772493,0.15533765581772493,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
15,0.12022681013953639,0.12022681013953639,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
16,0.18736723148129505,0.18736723148129505,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
17,0.11828278138169117,0.11828278138169117,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
18,0.11644146568708905,0.11644146568708905,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
19,0.08026730658397331,0.08026730658397331,1.0,0.1,,,0.0,1.0,0.0,0.0,1.5
20,0.10520935160821526,0.10520935160821526,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
21,0.053121498203319614,0.053121498203319614,1.0,0.1,,,0.0,1.0,0.0,0.0,1.5
22,0.11627194668531601,0.11627194668531601,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
23,0.17938541402587832,0.17938541402587832,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
24,0.17636664470291474,0.17636664470291474,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
25,0.038050435509455006,0.038050435509455006,1.0,0.1,,,0.0,1.0,0.0,0.0,1.5
26,0.12035225716660142,0.12035225716660142,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
27,0.2066997444827431,0.2066997444827431,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
28,0.1917944129507513,0.1917944129507513,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
29,0.2268427968676485,0.2268427968676485,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
30,0.10684498725092915,0.10684498725092915,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
31,0.18117366002994015,0.18117366002994015,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
32,0.03655892267126224,0.03655892267126224,1.0,0.1,,,0.0,1.0,0.0,0.0,1.5
33,0.0625245539221619,0.0625245539221619,1.0,0.1,,,0.0,1.0,0.0,0.0,1.5
34,0.08669030827536492,0.08669030827536492,1.0,0.1,,,0.0,1.0,0.0,0.0,1.5
35,0.05339791726873191,0.05339791726873191,1.0,0.1,,,0.0,1.0,0.0,0.0,1.5
36,0.03597106504741,0.03597106504741,1.0,0.1,,,0.0,1.0,0.0,0.0,1.5
37,0.06544230703635814,0.06544230703635814,1.0,0.1,,,0.0,1.0,0.0,0.0,1.5
38,0.14123134301809007,0.14123134301809007,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
39,0.20704770713528997,0.20704770713528997,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
40,0.006987055969896898,0.006987055969896898,1.0,0.1,,,0.0,1.0,0.0,0.0,1.5
41,0.18794330844016577,0.18794330844016577,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
42,0.1268856376947479,0.1268856376947479,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
43,0.29561377891833907,0.29561377891833907,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
44,0.08740852134990379,0.08740852134990379,1.0,0.1,,,0.0,1.0,0.0,0.0,1.5
45,0.1562232167189677,0.1562232167189677,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
46,0.12105411060991692,0.12105411060991692,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
47,0.1412970663997936,0.1412970663997936,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
48,0.3449561291800034,0.3449561291800034,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
49,0.4924529658682022,0.4924529658682022,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
50,0.4078162835764752,0.4078162835764752,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
51,0.2909629203788357,0.2909629203788357,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
52,,,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
53,,,0.0,0.1,,,,,0.0,0.0,1.5
54,0.3205951873369704,0.3205951873369704,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
55,0.4372047270791223,0.4372047270791223,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
56,0.27863853645077835,0.27863853645077835,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
57,0.3589499806878603,0.3589499806878603,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
58,0.35635970582559967,0.35635970582559967,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
59,0.30622259123359363,0.30622259123359363,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
60,,,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
61,,,0.0,0.1,1073.3688171593672,368.8582955830929,,,0.0,0.0,1.5
62,,,0.0,0.1,1075.1276322626893,370.15377114073004,,,0.0,0.0,1.5
63,,,0.0,0.1,1075.5809270359505,369.58290952848176,,,0.0,0.0,1.5
64,0.2590076043378726,0.2590076043378726,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
65,0.30138305001605703,0.30138305001605703,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
66,0.12008069113720073,0.12008069113720073,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
67,0.12587673381075934,0.12587673381075934,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
68,0.22447296561927202,0.22447296561927202,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
69,0.27845833400454056,0.27845833400454056,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
70,0.058068507249204794,0.058068507249204794,1.0,0.1,,,0.0,1.0,0.0,0.0,1.5
71,,,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
72,,,0.0,0.1,,,,,0.0,0.0,1.5
73,,,0.0,0.1,,,,,0.0,0.0,1.5
74,,,0.0,0.1,,,,,0.0,0.0,1.5
75,,,0.0,0.1,,,,,0.0,0.0,1.5
76,,,0.0,0.1,,,,,0.0,0.0,1.5
77,,,0.0,0.1,,,,,0.0,0.0,1.5
78,,,0.0,0.1,,,,,0.0,0.0,1.5
79,,,0.0,0.1,,,,,0.0,0.0,1.5
80,,,0.0,0.1,,,,,0.0,0.0,1.5
81,,,0.0,0.1,,,,,0.0,0.0,1.5
82,,,0.0,0.1,,,,,0.0,0.0,1.5
83,,,0.0,0.1,,,,,0.0,0.0,1.5
84,,,0.0,0.1,,,,,0.0,0.0,1.5
85,,,0.0,0.1,,,,,0.0,0.0,1.5
86,,,0.0,0.1,,,,,0.0,0.0,1.5
87,,,0.0,0.1,,,,,0.0,0.0,1.5
88,,,0.0,0.1,,,,,0.0,0.0,1.5
89,,,0.0,0.1,,,,,0.0,0.0,1.5
90,,,0.0,0.1,,,,,0.0,0.0,1.5
91,,,0.0,0.1,,,,,0.0,0.0,1.5
92,0.1121347286307855,0.1121347286307855,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
93,0.09592392456531461,0.09592392456531461,1.0,0.1,,,0.0,1.0,0.0,0.0,1.5
94,0.18433407964651127,0.18433407964651127,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
95,0.42926211760840416,0.42926211760840416,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
96,0.2688308492930085,0.2688308492930085,0.0,0.1,1089.6872794107205,451.7129181364007,0.0,1.0,0.0,0.0,1.5
97,0.4142008979246765,0.4142008979246765,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
98,0.4580681587057191,0.4580681587057191,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
99,0.22873726909044473,0.22873726909044473,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
100,,,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
101,,,0.0,0.1,,,,,0.0,0.0,1.5
102,,,0.0,0.1,,,,,0.0,0.0,1.5
103,,,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
104,,,0.0,0.1,,,,,0.0,0.0,1.5
105,,,0.0,0.1,,,,,0.0,0.0,1.5
106,,,0.0,0.1,1070.4874650192319,360.4022856284902,,,0.0,0.0,1.5
107,,,0.0,0.1,1070.404580974113,360.9388515085985,,,0.0,0.0,1.5
108,,,0.0,0.1,1072.720545146969,364.9398204840278,,,0.0,0.0,1.5
109,,,0.0,0.1,1070.1841707753947,363.8155836948659,,,0.0,0.0,1.5
110,,,0.0,0.1,,,,,0.0,0.0,1.5
111,,,0.0,0.1,,,,,0.0,0.0,1.5
112,,,0.0,0.1,,,,,0.0,0.0,1.5
113,,,0.0,0.1,1002.4348764583459,446.6314143784012,,,0.0,0.0,1.5
114,,,0.0,0.1,991.914944787491,440.28553701214776,,,0.0,0.0,1.5
115,,,0.0,0.1,984.0583994959139,437.16370699885334,,,0.0,0.0,1.5
116,,,0.0,0.1,982.0629541581792,441.2996718369554,,,0.0,0.0,1.5
117,,,0.0,0.1,975.771714954786,439.9829275973205,,,0.0,0.0,1.5
118,,,0.0,0.1,973.3223559176325,440.2517232428099,,,0.0,0.0,1.5
119,,,0.0,0.1,971.0087234403318,441.6529813922581,,,0.0,0.0,1.5
120,,,0.0,0.1,969.7857980413763,441.70283882770593,,,0.0,0.0,1.5
121,,,0.0,0.1,968.7576365946098,440.74353499348126,,,0.0,0.0,1.5
122,,,0.0,0.1,968.6548832830397,440.6478443331396,,,0.0,0.0,1.5
123,,,0.0,0.1,969.3580909296147,441.60785620917426,,,0.0,0.0,1.5
124,,,0.0,0.1,968.8593058546323,441.99819835974506,,,0.0,0.0,1.5
125,,,0.0,0.1,968.3979547668641,441.27558814506733,,,0.0,0.0,1.5
126,,,0.0,0.1,968.3483337114176,440.69959844761695,,,0.0,0.0,1.5
127,,,0.0,0.1,968.9980795104134,441.28238468946466,,,0.0,0.0,1.5
128,,,0.0,0.1,969.7908897690015,441.64646538756534,,,0.0,0.0,1.5
129,,,0.0,0.1,968.898966768258,437.9140888632847,,,0.0,0.0,1.5
130,,,0.0,0.1,966.0948134466834,430.31362028241136,0.0,1.0,0.0,0.0,1.5
131,,,0.0,0.1,967.4021914508539,427.75977061075747,,,0.0,0.0,1.5
132,,,0.0,0.1,971.9832249709666,425.90502741229744,,,0.0,0.0,1.5
133,0.48123557861606797,0.48123557861606797,0.0,0.1,975.0426163519231,422.09771424467715,0.0,1.0,0.0,0.0,1.5
134,,,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
135,,,0.0,0.1,,,,,0.0,0.0,1.5
136,,,0.0,0.1,,,,,0.0,0.0,1.5
137,,,0.0,0.1,,,,,0.0,0.0,1.5
138,,,0.0,0.1,,,,,0.0,0.0,1.5
139,,,0.0,0.1,,,,,0.0,0.0,1.5
140,,,0.0,0.1,952.2619905566789,381.78683884578516,,,0.0,0.0,1.5
141,0.08306920929928066,0.08306920929928066,1.0,0.1,943.5208512768387,378.6854440421313,0.0,1.0,0.0,0.0,1.5
142,0.11499366814680693,0.11499366814680693,0.0,0.1,931.4910508711117,369.54132057105886,0.0,1.0,0.0,0.0,1.5
143,0.17519615905795158,0.17519615905795158,0.0,0.1,916.0797596224313,360.26619275696436,0.0,1.0,0.0,0.0,1.5
144,0.14604794023974857,0.14604794023974857,0.0,0.1,908.8876238424998,356.2948117536977,0.0,1.0,0.0,0.0,1.5
145,0.09510682401118244,0.09510682401118244,1.0,0.1,905.6504452951766,354.0712829147162,0.0,1.0,0.0,0.0,1.5
146,0.08049975966133716,0.08049975966133716,1.0,0.1,901.2418736713817,350.52856510983327,0.0,1.0,0.0,0.0,1.5
147,0.19906363249777798,0.19906363249777798,0.0,0.1,896.378097978072,348.288213449081,0.0,1.0,0.0,0.0,1.5
148,0.11779195736434057,0.11779195736434057,0.0,0.1,895.1274659689506,345.94377332380947,0.0,1.0,0.0,0.0,1.5
149,0.21796741741312234,0.21796741741312234,0.0,0.1,895.7102271414017,344.561241952113,0.0,1.0,0.0,0.0,1.5
150,0.15237152274303883,0.15237152274303883,0.0,0.1,897.4046484363779,341.96743265208664,0.0,1.0,0.0,0.0,1.5
151,0.06254248047604229,0.06254248047604229,1.0,0.1,897.624937750674,338.1585763881084,0.0,1.0,0.0,0.0,1.5
152,0.07704905504165625,0.07704905504165625,1.0,0.1,894.7093171434083,335.1943264483197,0.0,1.0,0.0,0.0,1.5
153,0.06306042438037204,0.06306042438037204,1.0,0.1,892.5091612009318,331.14906860170925,0.0,1.0,0.0,0.0,1.5
154,0.1792291046741918,0.1792291046741918,0.0,0.1,889.3616926632823,323.4598836621252,0.0,1.0,0.0,0.0,1.5
155,0.04864534013026839,0.04864534013026839,1.0,0.1,,,0.0,1.0,0.0,0.0,1.5
156,0.2315711763011873,0.2315711763011873,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
157,0.09910195059506335,0.09910195059506335,1.0,0.1,,,0.0,1.0,0.0,0.0,1.5
158,0.07178950292546155,0.07178950292546155,1.0,0.1,,,0.0,1.0,0.0,0.0,1.5
159,0.11656072449311707,0.11656072449311707,0.0,0.1,,,0.0,1.0,0.0,0.0,1.5
160,,,0.0,0.1,883.9117906246053,309.7694165923537,0.0,1.0,0.0,0.0,1.5
161,,,0.0,0.1,881.6350887215842,308.7640203183725,,,0.0,0.0,1.5
162,,,0.0,0.1,878.8969816421461,307.9523428613297,,,0.0,0.0,1.5
163,,,0.0,0.1,876.0191230757692,306.52294238958416,,,0.0,0.0,1.5
164,,,0.0,0.1,872.2369151513284,308.0623372437864,,,0.0,0.0,1.5
165,,,0.0,0.1,870.0030214395148,308.45854742220655,,,0.0,0.0,1.5
166,,,0.0,0.1,867.2515524772579,308.572775081143,,,0.0,0.0,1.5
167,,,0.0,0.1,864.9766395212524,309.3508293518609,,,0.0,0.0,1.5
168,0.32182135005607065,0.32182135005607065,0.0,0.1,863.4243207351433,308.754428,0.0,1.0,0.0,0.0,1.5
169,0.19008587144021846,0.19008587144021846,0.0,0.1,862.489736958403,307.193426545322,0.0,1.0,0.0,0.0,1.5
170,0.10347868508447176,0.10347868508447176,0.0,0.1,861.9506496948533,306.08547174282035,0.0,1.0,0.0,0.0,1.5
171,0.1568401010340062,0.1568401010340062,0.0,0.1,863.604393777572,308.32329774893526,0.0,1.0,0.0,0.0,1.5
172,0.2628490787569774,0.2628490787569774,0.0,0.1,858.3739075453319,302.2993627690016,0.0,1.0,0.0,0.0,1.5
173,,,0.0,0.1,850.5267836322565,291.9113749978322,0.0,1.0,0.0,0.0,1.5
174,,,0.0,0.1,841.5182608751797,282.7239913828676,,,0.0,0.0,1.5
175,,,0.0,0.1,831.5394318868875,276.4268747405941,,,0.0,0.0,1.5
176,,,0.0,0.1,818.3118674673735,272.2116669355916,,,0.0,0.0,1.5
177,0.26502997905730974,0.26502997905730974,0.0,0.1,806.7179246741636,273.3185616215951,0.0,1.0,0.0,0.0,1.5
178,0.23142198940543338,0.23142198940543338,0.0,0.1,798.8115180605911,269.7669091881258,0.0,1.0,0.0,0.0,1.5
179,,,0.0,0.1,791.0758216481591,266.3112285815078,0.0,1.0,0.0,0.0,1.5
180,,,0.0,0.1,784.48168511431,261.76001645078344,,,0.0,0.0,1.5
181,,,0.0,0.1,775.1226040069197,259.96683908577876,,,0.0,0.0,1.5
182,0.4643154343037712,0.4643154343037712,0.0,0.1,767.63083484618,259.06623516758026,0.0,1.0,0.0,0.0,1.5
183,0.49858479248422477,0.49858479248422477,0.0,0.1,758.6450786371983,260.50386943498734,0.0,1.0,0.0,0.0,1.5
184,0.5158286808760767,0.5158286808760767,0.0,0.1,750.1041916035896,262.654997808428,0.0,1.0,0.0,0.0,1.5
185,0.4827316747177536,0.4827316747177536,0.0,0.1,741.5233744816778,264.9339320549874,0.0,1.0,0.0,0.0,1.5
186,0.6070645090862757,0.6070645090862757,0.0,0.1,733.3239134547123,265.5422552485526,0.0,1.0,0.0,0.0,1.5
187,0.5694133291954334,0.5694133291954334,0.0,0.1,722.8592234383556,266.0226948403604,0.0,1.0,0.0,0.0,1.5
188,0.6147351529720111,0.6147351529720111,0.0,0.1,714.001318518728,269.01516250173546,0.0,1.0,0.0,0.0,1.5
189,0.9273275675957716,0.9273275675957716,0.0,0.1,707.3663904906219,272.7750473743029,0.0,1.0,0.0,0.0,1.5
190,0.015405034837877578,0.015405034837877578,1.0,0.1,685.6180808368298,288.6919797524006,0.0,1.0,0.0,0.0,1.5
191,0.8839439620794393,0.8839439620794393,0.0,0.1,685.673724475037,288.7371612123134,0.0,1.0,0.0,0.0,1.5
192,0.5633739268676792,0.5633739268676792,0.0,0.1,671.4145347778211,302.6440024430995,0.0,1.0,0.0,0.0,1.5
193,0.6563269480077468,0.6563269480077468,0.0,0.1,662.9994553830148,310.0022200954653,0.0,1.0,0.0,0.0,1.5
194,0.6343961868116959,0.6343961868116959,0.0,0.1,655.3511128926309,316.14191531744575,0.0,1.0,0.0,0.0,1.5
195,0.4982165831201179,0.4982165831201179,0.0,0.1,648.372756697857,323.94485860188126,0.0,1.0,0.0,0.0,1.5
196,0.5711346573341467,0.5711346573341467,0.0,0.1,640.449735475987,333.0392602140668,0.0,1.0,0.0,0.0,1.5
197,0.5405000232273356,0.5405000232273356,0.0,0.1,633.392451564516,339.15781869070264,0.0,1.0,0.0,0.0,1.5
198,0.5798620177902076,0.5798620177902076,0.0,0.1,624.7960011078161,344.92747857809394,0.0,1.0,0.0,0.0,1.5
199,0.5994243668574407,0.5994243668574407,0.0,0.1,615.2764167115857,350.18126520193323,0.0,1.0,0.0,0.0,1.5
200,0.6441504500722397,0.6441504500722397,0.0,0.1,608.5566818702466,355.19574243825264,0.0,1.0,0.0,0.0,1.5
201,0.6253113933325768,0.6253113933325768,0.0,0.1,599.880792336069,362.64677704829717,0.0,1.0,0.0,0.0,1.5
202,0.7295361307713052,0.7295361307713052,0.0,0.1,591.5317027516639,369.437117748913,0.0,1.0,0.0,0.0,1.5
203,0.6882870409150933,0.6882870409150933,0.0,0.1,583.1838068748937,377.48761343655514,0.0,1.0,0.0,0.0,1.5
204,0.3529451520270866,0.3529451520270866,0.0,0.1,577.5145572335956,383.3646173692366,0.0,1.0,0.0,0.0,1.5
205,0.5585487453881706,0.5585487453881706,0.0,0.1,570.8946729182283,389.02489899881743,0.0,1.0,0.0,0.0,1.5
206,0.3271547948029229,0.3271547948029229,0.0,0.1,565.468834828755,392.59417131420327,0.0,1.0,0.0,0.0,1.5
207,0.2343945637686888,0.2343945637686888,0.0,0.1,556.4271509381816,397.45142002804334,0.0,1.0,0.0,0.0,1.5
208,0.7427753027041485,0.7427753027041485,0.0,0.1,552.0894464428312,401.7249992299285,0.0,1.0,0.0,0.0,1.5
209,0.24844192963387016,0.24844192963387016,0.0,0.1,545.7751036212196,409.0374736446881,0.0,1.0,0.0,0.0,1.5
210,0.3596061197391577,0.3596061197391577,0.0,0.1,539.2498496226035,415.3199563416831,0.0,1.0,0.0,0.0,1.5
211,0.5693882271752728,0.5693882271752728,0.0,0.1,531.4911590932049,423.4950073601621,0.0,1.0,0.0,0.0,1.5
212,0.4453670203626298,0.4453670203626298,0.0,0.1,526.4072960741878,429.03968556551007,0.0,1.0,0.0,0.0,1.5
213,0.37643670429664355,0.37643670429664355,0.0,0.1,521.9982338124576,434.62857228614683,0.0,1.0,0.0,0.0,1.5
214,0.4800375068321738,0.4800375068321738,0.0,0.1,517.2852534434621,440.3395992996371,0.0,1.0,0.0,0.0,1.5
215,0.568758294104486,0.568758294104486,0.0,0.1,512.912663898296,445.0943863840555,0.0,1.0,0.0,0.0,1.5
216,0.3913374418231697,0.3913374418231697,0.0,0.1,507.33870046087173,453.2588380557434,0.0,1.0,0.0,0.0,1.5
217,0.39809328895022583,0.39809328895022583,0.0,0.1,502.0053081225254,460.05931744606335,0.0,1.0,0.0,0.0,1.5
218,0.5649612983322102,0.5649612983322102,0.0,0.1,497.01033083634263,466.3279013570601,0.0,1.0,0.0,0.0,1.5
