,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],is close to edge,distance_nose_left_dish,distance_nose_right_dish,center_is_left_cagehalf,center_is_right_cagehalf,dlc_is_investigating_left_dish,dlc_is_investigating_right_dish,object_investigation_radius[cm]
0,0.010731709738934569,2.3180493036098673,0.0,0.1,0.0,235.4391971858708,15.823111430394999,0.0,1.0,0.0,1.0,3.0
1,0.008876850989745621,1.9173998137850543,0.0,0.1,0.0,223.7303305658636,24.231206591415205,0.0,1.0,0.0,1.0,3.0
2,0.017936204591277937,3.874220191716035,0.0,0.1,0.0,170.19184536512782,92.16307348299921,0.0,1.0,0.0,0.0,3.0
3,0.01684322937765207,3.638137545572847,0.0,0.1,0.0,160.07772519234362,101.98911283853272,0.0,1.0,0.0,0.0,3.0
4,0.015278330228960465,3.3001193294554603,0.0,0.1,0.0,143.64693011492292,114.66040808561942,0.0,1.0,0.0,0.0,3.0
5,0.012959092044829468,2.799163881683165,0.0,0.1,0.0,139.4640992088857,116.17174177657922,0.0,1.0,0.0,0.0,3.0
6,0.002944833053971958,0.636083939657943,0.0,0.1,1.0,,,0.0,1.0,,,3.0
7,0.01985364395698966,4.288387094709766,0.0,0.1,1.0,,,0.0,1.0,,,3.0
8,0.0035676762332900462,0.77061806639065,0.0,0.1,0.0,137.45942034753332,113.77347218128271,1.0,0.0,0.0,0.0,3.0
9,0.014550061433763509,3.142813269692918,0.0,0.1,0.0,136.65547890126626,114.96721587649562,1.0,0.0,0.0,0.0,3.0
10,0.005289637677718046,1.142561738387098,0.0,0.1,1.0,,,1.0,0.0,,,3.0
11,0.002801956913709605,0.6052226933612748,0.0,0.1,0.0,151.97245103627873,105.52527487047493,0.0,1.0,0.0,0.0,3.0
12,0.009677149578782714,2.0902643090170665,0.0,0.1,1.0,,,0.0,1.0,,,3.0
13,0.0012741271904437145,0.2752114731358423,0.0,0.1,0.0,112.16432357771073,138.76219076200871,0.0,1.0,0.0,0.0,3.0
14,0.001068345553983529,0.2307626396604423,0.0,0.1,0.0,117.85651519589781,134.5633703473836,0.0,1.0,0.0,0.0,3.0
15,0.0017268508561334454,0.3729997849248242,0.0,0.1,0.0,118.376156766015,137.35263446954784,0.0,1.0,0.0,0.0,3.0
16,0.038761354729886795,8.372452621655547,0.0,0.1,0.0,116.43048568870333,142.29083133641868,0.0,1.0,0.0,0.0,3.0
17,0.0028855936300654144,0.6232882240941295,0.0,0.1,0.0,114.81427336902588,149.0610674631509,1.0,0.0,0.0,0.0,3.0
18,0.0032872451028665255,0.7100449422191695,0.0,0.1,0.0,117.31847072013512,148.9983144300657,1.0,0.0,0.0,0.0,3.0
19,0.0007832035769767005,0.16917197262696732,0.0,0.1,0.0,118.44380837120484,151.26390973417284,1.0,0.0,0.0,0.0,3.0
20,0.009893972786385518,2.137098121859272,0.0,0.1,0.0,121.36554672258555,152.98397134237854,1.0,0.0,0.0,0.0,3.0
21,0.012124276248619108,2.6188436697017274,0.0,0.1,0.0,124.78999151890662,156.15690491339194,1.0,0.0,0.0,0.0,3.0
22,0.010829289186332598,2.339126464247841,0.0,0.1,0.0,125.98113199420234,163.59520260134497,1.0,0.0,0.0,0.0,3.0
23,0.012988690612430867,2.8055571722850674,0.0,0.1,0.0,127.02184354533188,173.31758348141855,1.0,0.0,0.0,0.0,3.0
24,0.012546630258303408,2.7100721357935362,0.0,0.1,0.0,128.36352325334093,180.7702420780275,1.0,0.0,0.0,0.0,3.0
25,0.011071921446084371,2.391535032354224,0.0,0.1,0.0,135.86018718636515,187.1638448395973,1.0,0.0,0.0,0.0,3.0
26,0.007484615568326382,1.6166769627584985,0.0,0.1,0.0,137.33107011295021,193.54071983178818,1.0,0.0,0.0,0.0,3.0
27,0.011673223054366313,2.521416179743124,0.0,0.1,0.0,142.55478784941897,201.13431170083723,1.0,0.0,0.0,0.0,3.0
28,0.006844787849396662,1.478474175469679,0.0,0.1,0.0,144.09618778146196,208.9575828042812,1.0,0.0,0.0,0.0,3.0
29,0.005562816058763514,1.201568268692919,0.0,0.1,1.0,147.95673686588864,215.9897915997526,1.0,0.0,0.0,0.0,3.0
30,0.003738603296704545,0.8075383120881818,0.0,0.1,1.0,147.0024614190677,218.75524387436005,1.0,0.0,0.0,0.0,3.0
31,0.0016356239889456067,0.3532947816122511,0.0,0.1,1.0,147.03162847464628,220.65480340855356,1.0,0.0,0.0,0.0,3.0
32,0.0005297670828796362,0.11442968990200143,0.0,0.1,1.0,146.75007518566593,222.9561012604365,1.0,0.0,0.0,0.0,3.0
33,0.0011327100729573093,0.24466537575877884,0.0,0.1,1.0,144.01453478208794,224.38904253884766,1.0,0.0,0.0,0.0,3.0
34,0.0014348489176932149,0.3099273662217344,0.0,0.1,1.0,139.62656117228184,228.92340721354032,1.0,0.0,0.0,0.0,3.0
35,0.001933373606171687,0.4176086989330844,0.0,0.1,1.0,135.86633672844727,231.29739666306648,1.0,0.0,0.0,0.0,3.0
36,0.0048023359316341115,1.037304561232968,0.0,0.1,1.0,134.4219558112491,234.97029778366775,1.0,0.0,0.0,0.0,3.0
37,0.009537306387718986,2.0600581797473008,0.0,0.1,1.0,133.77911020085176,240.50657303919215,1.0,0.0,0.0,0.0,3.0
38,0.008440076692650806,1.823056565612574,0.0,0.1,1.0,135.17748611391798,248.05087169011065,1.0,0.0,0.0,0.0,3.0
39,0.015883669564543214,3.4308726259413342,0.0,0.1,1.0,134.70654464967475,256.08443586936596,1.0,0.0,0.0,0.0,3.0
40,0.011468520151141366,2.4772003526465354,0.0,0.1,1.0,137.2661895624478,265.27661927986304,1.0,0.0,0.0,0.0,3.0
41,0.01200062527523908,2.5921350594516417,0.0,0.1,1.0,140.02214498966842,276.3340058404656,1.0,0.0,0.0,0.0,3.0
42,0.008963068584631976,1.936022814280507,0.0,0.1,1.0,142.5871821224039,285.16178324463885,1.0,0.0,0.0,0.0,3.0
43,0.013445968492444262,2.9043291943679606,0.0,0.1,1.0,145.77441673506695,293.87515766709754,1.0,0.0,0.0,0.0,3.0
44,0.007417266431240986,1.602129549148053,0.0,0.1,1.0,148.9942969118133,303.75599354941795,1.0,0.0,0.0,0.0,3.0
45,0.006809328183341446,1.4708148876017524,0.0,0.1,1.0,151.90946153277883,310.5721556439125,1.0,0.0,0.0,0.0,3.0
46,0.0025511641678963547,0.5510514602656126,0.0,0.1,1.0,153.9573446573584,312.6418343766292,1.0,0.0,0.0,0.0,3.0
47,0.0029521253322000673,0.6376590717552145,0.0,0.1,1.0,155.6247599294213,314.6681446100177,1.0,0.0,0.0,0.0,3.0
48,0.0040729174250223425,0.879750163804826,0.0,0.1,1.0,159.4454459942738,311.13542614567814,1.0,0.0,0.0,0.0,3.0
49,0.004576621590086666,0.9885502634587199,0.0,0.1,1.0,163.53696342646808,302.7804292528762,1.0,0.0,0.0,0.0,3.0
