,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_leftpetridish,distance_nose_rightpetridish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_leftpetridish,is_investigating_rightpetridish,object_investigation_radius[cm],deg_is_investigating_left_dish,deg_is_investigating_right_dish,deg_is_investigating_leftpetridish,deg_is_investigating_rightpetridish
0,0.0004309834012089,0.0930924146611232,1.0,0.1,311.25327278652554,872.6195372969113,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1,2.166212156386943e-05,0.0046790182577957,1.0,0.1,311.05590986126987,872.5716156777642,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2,1.880140961595843e-05,0.004061104477047,1.0,0.1,311.48321814398764,872.6286071367293,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
3,2.3534929025076817e-05,0.0050835446694165,1.0,0.1,311.7718435711249,872.7273250690396,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4,9.435688399255432e-05,0.0203810869423917,1.0,0.1,311.85718342215966,872.6320930542885,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5,0.0002720089932447,0.058753942540858,1.0,0.1,311.8340316717866,872.2545166423088,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6,0.000189398361189,0.0409100460168305,1.0,0.1,311.4775475287698,872.5008682886787,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7,0.0001033759575804,0.0223292068373711,1.0,0.1,311.4076780403766,872.5425525686616,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8,0.0002573730255497,0.0555925735187394,1.0,0.1,311.5922005607995,872.5796366708039,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
9,7.6873005408546e-05,0.0166045691682459,1.0,0.1,311.5807737851754,872.37780260344,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10,0.0005719418059596,0.1235394300872893,0.0,0.1,311.57039829624193,872.1549859192612,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11,0.0002396504690978,0.0517645013251371,1.0,0.1,312.0191104035153,872.7850342908015,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12,0.0004692758686225,0.1013635876224788,0.0,0.1,311.9259437098339,873.0323711795438,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13,0.0008598916391394,0.1857365940541176,0.0,0.1,311.61678168805025,869.8089426893708,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
14,0.0009372688673799,0.2024500753540692,0.0,0.1,307.9055488603524,867.147242149828,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15,0.0001787177302854,0.0386030297416662,1.0,0.1,305.1614045951084,869.0880092474769,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
16,0.0006261877585455,0.1352565558458487,0.0,0.1,302.9388992384254,871.2045937642062,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17,0.0002287225973509,0.0494040810278073,1.0,0.1,299.85923174555194,868.1517133017452,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
18,0.0001749158927761,0.0377818328396535,1.0,0.1,298.95444637545603,868.9695589344957,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19,0.000731560739137,0.1580171196535965,0.0,0.1,298.8308622116749,868.7767778114086,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
20,0.0005089558892938,0.1099344720874725,0.0,0.1,299.1878960750553,868.194914742007,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21,0.0003872395742326,0.0836437480342519,1.0,0.1,299.1275673980562,867.4382021208596,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
22,0.0002902616206866,0.0626965100683194,1.0,0.1,298.3972710624341,865.4730767103945,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23,0.0003558662853631,0.0768671176384473,1.0,0.1,296.57691609252583,865.5583208404796,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
24,0.000275475229517,0.0595026495756766,1.0,0.1,296.8551983835972,864.8996993920349,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
25,0.0002419053430264,0.052251554093722,1.0,0.1,297.21358636488605,864.6303576165832,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
26,0.0001251795126426,0.027038774730809,1.0,0.1,297.6470682579558,865.7244862364153,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
27,9.475986276015628e-05,0.0204681303561937,1.0,0.1,297.76519590725115,865.9985875870407,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
28,0.0004922213725979,0.1063198164811603,0.0,0.1,297.9683135381834,866.0607814131395,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
29,0.0004503772325994,0.0972814822414862,1.0,0.1,298.47834831006725,866.5826991468095,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
30,0.0002421144496768,0.0522967211301914,1.0,0.1,299.3367695996839,866.3551961175191,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
31,0.0003238528485309,0.0699522152826763,1.0,0.1,300.30676813821367,865.640952714004,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
32,0.0002482167987033,0.0536148285199229,1.0,0.1,300.8310901396969,865.8051610354962,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
33,0.000140434031077,0.0303337507126406,1.0,0.1,300.30541177925426,866.7152619233105,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
34,1.8227509650927567e-05,0.0039371420846003,1.0,0.1,300.2259348731273,866.2196307489136,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
35,0.00038450068964,0.0830521489622416,1.0,0.1,300.3225857837883,866.7873620298684,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
36,0.0002941270271363,0.0635314378614454,1.0,0.1,299.8057655712837,866.8693328053697,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
37,7.522837805881492e-05,0.016249329660704,1.0,0.1,298.6618612694278,865.775441638101,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
38,7.698797927340786e-05,0.016629403523056,1.0,0.1,294.5851505653123,865.2164802827649,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
39,0.0004554349749389,0.0983739545868208,1.0,0.1,288.1818929368169,861.6578995039712,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
40,0.0004788764552592,0.1034373143359963,0.0,0.1,281.9263766287307,861.775181454155,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
41,0.0006132871578684,0.1324700260995822,0.0,0.1,274.3106673421351,858.6793031161949,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
42,0.0003974166197774,0.0858419898719276,1.0,0.1,271.94701053915475,856.0385287762348,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
43,0.001140851987205,0.2464240292363011,0.0,0.1,267.0343914400904,853.983514184791,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
44,0.0003214569042067,0.0694346913086481,1.0,0.1,260.53481638632263,850.8736141229506,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
45,0.0001012360115427,0.0218669784932267,1.0,0.1,257.28904185276053,848.8193045135175,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
46,0.0003133820281926,0.0676905180896217,1.0,0.1,256.605362879252,851.3574268303346,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
47,0.0008279548843867,0.1788382550275304,0.0,0.1,255.9645972657851,850.9910486622376,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
48,0.0001908597409274,0.0412257040403344,1.0,0.1,256.4196941031829,850.3570091794085,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
49,0.0004348167197684,0.0939204114699794,1.0,0.1,257.7949128568597,850.9873423321499,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
