,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_leftpetridish,distance_nose_rightpetridish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_leftpetridish,is_investigating_rightpetridish,object_investigation_radius[cm],deg_is_investigating_left_dish,deg_is_investigating_right_dish,deg_is_investigating_leftpetridish,deg_is_investigating_rightpetridish
0,0.0019490847205277,0.4210022996340003,0.0,0.1,986.6140220010392,254.2435203784921,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1,0.0025987206288993,0.5613236558422598,0.0,0.1,960.6510301257796,229.13071957214743,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2,0.0041287953224634,0.8918197896520969,0.0,0.1,947.0290628862152,212.01741685545167,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
3,0.0027649060994439,0.597219717479887,0.0,0.1,943.649892556018,203.8388954714704,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4,0.0035957684323768,0.7766859813934064,0.0,0.1,944.2331180544752,201.8669586553948,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5,0.0028497032280966,0.6155358972688866,0.0,0.1,948.0369110756365,203.3501853316244,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6,0.0045475993940415,0.9822814691129672,0.0,0.1,951.7493996071008,205.7740326428932,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7,0.0059271558811287,1.2802656703238076,0.0,0.1,957.7164039321164,210.61318948362097,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8,0.006010303902018,1.2982256428358965,0.0,0.1,966.4690106566676,220.23559239661,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
9,0.0069448864865854,1.5000954811024567,0.0,0.1,972.8761472800966,229.74850545349625,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10,0.0108851179616792,2.3511854797227136,0.0,0.1,981.8767604038492,244.4243640332758,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11,0.0093006086503808,2.008931468482272,0.0,0.1,975.1921290039586,247.8679098440004,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12,0.0101365631853914,2.189497648044554,0.0,0.1,967.1843704047532,257.46246190312894,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13,0.0074638394297453,1.6121893168249852,0.0,0.1,953.9430987317417,255.5708373024483,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
14,0.0068816256550964,1.486431141500833,0.0,0.1,949.8288657191642,262.1471610857176,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15,0.007056133953791,1.524124934018858,0.0,0.1,956.8633624989436,278.71591694123066,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
16,0.0072067814937972,1.556664802660204,0.0,0.1,956.1423231327124,295.69821682030226,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17,0.0074607822985267,1.611528976481769,0.0,0.1,954.257258748258,313.6062440654668,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
18,0.0083248992911566,1.798178246889842,0.0,0.1,946.119952258366,328.4928711829571,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19,0.0093978797534958,2.029942026755106,0.0,0.1,940.6780364094492,346.3222909492616,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
20,0.0082874323461521,1.7900853867688744,0.0,0.1,923.2020658486204,352.59292898314663,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21,0.0094776936751669,2.0471818338360643,0.0,0.1,897.0106160460172,353.7757008252102,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
22,0.0041003304573881,0.8856713787958386,0.0,0.1,874.4602206232568,350.6089749353936,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23,0.0066590109170359,1.438346358079755,0.0,0.1,853.515111149511,349.6515309393585,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
