,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_leftpetridish,distance_nose_rightpetridish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_leftpetridish,is_investigating_rightpetridish,object_investigation_radius[cm],deg_is_investigating_left_dish,deg_is_investigating_right_dish,deg_is_investigating_leftpetridish,deg_is_investigating_rightpetridish
0,0.0010557737224306,0.2280471240450109,0.0,0.1,144.46159437923862,871.5439767278508,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
1,0.0009299070395996,0.2008599205535346,0.0,0.1,138.2427138819486,866.7160549503357,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
2,0.001333640045063,0.2880662497336285,0.0,0.1,133.78649641277013,865.7606920427594,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
3,0.0009568878649795,0.2066877788355789,0.0,0.1,127.5733513696022,865.5214323392357,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
4,0.0005869685163697,0.1267851995358554,0.0,0.1,126.9260799159342,866.3095601749114,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
5,0.0006390537164248,0.1380356027477647,0.0,0.1,125.9857323333737,866.7883903686945,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
6,0.0015169371219861,0.3276584183490137,0.0,0.1,124.37130049673914,866.6623994369578,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
7,0.0003944315261492,0.085197209648234,1.0,0.1,120.52415201569164,863.5183313976374,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
8,0.0002781872216045,0.060088439866573,1.0,0.1,117.7195159009754,860.3028687667071,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
9,0.0001909322230069,0.0412413601694961,1.0,0.1,116.99173658658222,861.5124843485103,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
10,0.0003065125377198,0.0662067081474879,1.0,0.1,116.8722090340079,861.9039071432791,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
11,0.0002725880078314,0.0588790096915962,1.0,0.1,116.43934737076135,862.5783673785652,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
12,0.0001408539766174,0.0304244589493729,1.0,0.1,117.09587299004755,862.9319888316498,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
13,0.0002386476353156,0.0515478892281852,1.0,0.1,117.47962271004418,863.9370156823705,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
14,5.205576502562064e-05,0.011244045245534,1.0,0.1,117.48104016116694,863.7617361649469,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
15,2.434078928622484e-05,0.0052576104858245,1.0,0.1,117.20635800456714,863.6874306254377,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
16,3.4574274389540214e-05,0.0074680432681406,1.0,0.1,117.1668805840158,863.4552286062791,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
17,9.571657826304552e-05,0.0206747809048178,1.0,0.1,117.42260472165468,863.8287185960438,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
18,0.0002354007089724,0.0508465531380569,1.0,0.1,117.46592737300745,863.5732304083243,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
19,5.155711277581508e-05,0.011136336359576,1.0,0.1,115.76836176800371,861.1784416768286,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
20,0.0002554091895516,0.0551683849431592,1.0,0.1,114.62083271986413,859.4171419954054,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
21,0.0004139579074107,0.0894149080007297,1.0,0.1,112.8782660462562,858.363228777832,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
22,0.0005448884550356,0.1176959062876955,0.0,0.1,106.82959311658156,854.4109240541818,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
23,4.548382618298153e-05,0.009824506455524,1.0,0.1,104.34778636912765,855.9727865108065,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
24,0.0005549043957968,0.1198593494921128,0.0,0.1,101.17182532220896,857.5941876502885,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
25,0.001248765187077,0.2697332804086533,0.0,0.1,98.44101597735948,855.0573812550537,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
26,0.0011756813371973,0.2539471688346335,0.0,0.1,91.65141080645203,847.9911689832006,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
27,0.000644418824197,0.1391944660265544,0.0,0.1,88.09134214487838,841.9526790568448,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
28,0.0009859696905301,0.2129694531545031,0.0,0.1,84.53684602312187,839.2842285344208,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
29,0.0016740387025422,0.36159235974912,0.0,0.1,87.63796863266104,836.0603099890818,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
30,0.0005143654407171,0.1111029351949049,0.0,0.1,83.72036087213577,833.6843424070752,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
31,0.0004543132514988,0.0981316623237484,1.0,0.1,80.72869891281387,830.4914666723726,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
32,0.0007430791561166,0.1605050977211972,0.0,0.1,78.28589524213011,831.0077005411906,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
33,0.0018289344859357,0.3950498489621281,0.0,0.1,74.35763513494352,828.3517438116149,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
34,0.0012865186335826,0.2778880248538428,0.0,0.1,65.05714832327578,824.323318502142,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0
35,0.0030902502402092,0.6674940518851954,0.0,0.1,,,1.0,0.0,,,2.0,1.0,0.0,1.0,0.0
36,,,,0.1,53.32713722302795,814.1083402471533,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0
37,,,,0.1,46.361063514435166,808.0631468945061,,,1.0,0.0,2.0,1.0,0.0,1.0,0.0
38,,,,0.1,43.55789079407657,805.3591993138223,,,1.0,0.0,2.0,1.0,0.0,1.0,0.0
