,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_leftpetridish,distance_nose_rightpetridish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_leftpetridish,is_investigating_rightpetridish,object_investigation_radius[cm],deg_is_investigating_left_dish,deg_is_investigating_right_dish
0,0.0010705387940908,0.231236379523622,0.0,0.05,36.65422049382471,645.1239984495598,1.0,0.0,1.0,0.0,2.0,1.0,0.0
1,0.0013143369632444,0.2838967840608089,0.0,0.05,31.42388683302701,649.3182164870926,1.0,0.0,1.0,0.0,2.0,1.0,0.0
2,0.0005718548902178,0.1235206562870462,0.0,0.05,28.807712226247176,651.3931504045114,1.0,0.0,1.0,0.0,2.0,1.0,0.0
3,0.001452569105553,0.3137549267994606,0.0,0.05,32.96857704940964,648.0357804806674,1.0,0.0,1.0,0.0,2.0,1.0,0.0
4,0.0010806599981257,0.2334225595951692,0.0,0.05,32.81633753769924,649.1781687481862,1.0,0.0,1.0,0.0,2.0,1.0,0.0
5,0.0005651315425727,0.1220684131957191,0.0,0.05,30.41715302493561,654.2587851390092,1.0,0.0,1.0,0.0,2.0,1.0,0.0
6,0.0007697134656537,0.1662581085812159,0.0,0.05,25.099166338202096,660.1532565608381,1.0,0.0,1.0,0.0,2.0,1.0,0.0
7,0.0013230262817829,0.2857736768651189,0.0,0.05,21.597062099537364,666.0446230785356,1.0,0.0,1.0,0.0,2.0,1.0,0.0
8,0.0023874997301624,0.5156999417150822,0.0,0.05,20.536791606717536,670.2165626012841,1.0,0.0,1.0,0.0,2.0,1.0,0.0
9,0.0004720995528908,0.1019735034244326,0.0,0.05,19.61189184764369,674.6238641593295,1.0,0.0,1.0,0.0,2.0,1.0,0.0
10,0.0005704612438918,0.1232196286806339,0.0,0.05,18.820613049505976,679.0215773956819,1.0,0.0,1.0,0.0,2.0,1.0,0.0
11,0.0009324479676489,0.2014087610121732,0.0,0.05,18.54525348292525,680.9046066356284,1.0,0.0,1.0,0.0,2.0,1.0,0.0
12,0.0009404057052738,0.2031276323391585,0.0,0.05,17.35380686578348,682.2023750270397,1.0,0.0,1.0,0.0,2.0,1.0,0.0
13,0.0005749378431106,0.1241865741118947,0.0,0.05,14.159703949774997,683.4753396715053,1.0,0.0,1.0,0.0,2.0,1.0,0.0
14,0.0004699944912449,0.1015188101089193,0.0,0.05,10.609912292684674,683.9037472203535,1.0,0.0,1.0,0.0,2.0,1.0,0.0
15,0.0004947871406876,0.1068740223885236,0.0,0.05,6.959015658284464,683.4433368262925,1.0,0.0,1.0,0.0,2.0,1.0,0.0
16,0.0002423825953556,0.0523546405968304,0.0,0.05,7.467470228011644,685.2855627708694,1.0,0.0,1.0,0.0,2.0,1.0,0.0
17,0.0005036494208577,0.1087882749052732,0.0,0.05,9.710176875623276,689.0516841087928,1.0,0.0,1.0,0.0,2.0,1.0,0.0
18,0.002308087964533,0.4985470003391332,0.0,0.05,11.653153154642728,691.3353784494822,1.0,0.0,1.0,0.0,2.0,1.0,0.0
19,0.000825060988102,0.1782131734300437,0.0,0.05,12.425976306645882,692.4569119815626,1.0,0.0,1.0,0.0,2.0,1.0,0.0
20,0.0003768895117202,0.0814081345315829,0.0,0.05,16.363859696863067,695.3389873727327,1.0,0.0,1.0,0.0,2.0,1.0,0.0
21,0.0012433775406897,0.2685695487889949,0.0,0.05,14.281481604424942,694.4120118693041,1.0,0.0,1.0,0.0,2.0,1.0,0.0
22,0.00069447472998,0.1500065416756893,0.0,0.05,15.308558962262405,694.9041859473208,1.0,0.0,1.0,0.0,2.0,1.0,0.0
23,0.0024033893537054,0.5191321004003671,0.0,0.05,17.57743798428652,696.2960013121718,1.0,0.0,1.0,0.0,2.0,1.0,0.0
24,0.0018095559069037,0.3908640758912032,0.0,0.05,23.87744280478767,702.550613288771,1.0,0.0,1.0,0.0,2.0,1.0,0.0
25,0.000888552700874,0.1919273833888006,0.0,0.05,26.325055114962023,704.6011793651305,1.0,0.0,1.0,0.0,2.0,1.0,0.0
26,0.0003807947891589,0.0822516744583429,0.0,0.05,26.127154670460392,704.047370559578,1.0,0.0,1.0,0.0,2.0,1.0,0.0
27,0.001185252285481,0.2560144936639033,0.0,0.05,26.31455985094137,703.3013640069881,1.0,0.0,1.0,0.0,2.0,1.0,0.0
28,0.0022254478970121,0.4806967457546327,0.0,0.05,24.96749247631124,702.0457023024192,1.0,0.0,1.0,0.0,2.0,1.0,0.0
29,0.0004946931483735,0.1068537200486888,0.0,0.05,24.06975260595349,701.8954555081986,1.0,0.0,1.0,0.0,2.0,1.0,0.0
