,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_leftpetridish,distance_nose_rightpetridish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_leftpetridish,is_investigating_rightpetridish,object_investigation_radius[cm],deg_is_investigating_left_dish,deg_is_investigating_right_dish
0,0.0004797491151256,0.103625808867145,0.0,0.05,303.20177255386363,809.0630165148775,1.0,0.0,0.0,0.0,2.0,0.0,0.0
1,0.0002901235058477,0.0626666772631241,0.0,0.05,300.1408206013362,808.6030440202355,1.0,0.0,0.0,0.0,2.0,0.0,0.0
2,0.0002420976519501,0.0522930928212277,0.0,0.05,292.9743425089796,806.515384463729,1.0,0.0,0.0,0.0,2.0,0.0,0.0
3,0.0001074695781808,0.0232134288870572,1.0,0.05,286.5424377125311,804.1270181912103,1.0,0.0,0.0,0.0,2.0,0.0,0.0
4,0.0003384376314728,0.0731025283981263,0.0,0.05,279.34308112970484,800.7077349651179,1.0,0.0,0.0,0.0,2.0,0.0,0.0
5,0.000402613060093,0.0869644209800896,0.0,0.05,274.1630155971627,801.9332499680411,1.0,0.0,0.0,0.0,2.0,0.0,0.0
6,0.0002103908393409,0.0454444212976516,1.0,0.05,267.0510826955121,801.2842195311533,1.0,0.0,0.0,0.0,2.0,0.0,0.0
7,3.5999795962255015e-05,0.007775955927847,1.0,0.05,266.5748984957313,800.5359992804571,1.0,0.0,0.0,0.0,2.0,0.0,0.0
8,0.0004072249255187,0.0879605839120566,0.0,0.05,265.6357777263396,800.6674165952882,1.0,0.0,0.0,0.0,2.0,0.0,0.0
9,0.0003109150941042,0.0671576603265259,0.0,0.05,263.3224216515639,801.0079472981918,1.0,0.0,0.0,0.0,2.0,0.0,0.0
10,0.0005691525442371,0.1229369495552225,0.0,0.05,264.32573926146614,800.9822941280661,1.0,0.0,0.0,0.0,2.0,0.0,0.0
11,0.0008657313883883,0.186997979891879,0.0,0.05,261.1732368901938,797.7459652830947,1.0,0.0,0.0,0.0,2.0,0.0,0.0
12,0.0002122079178766,0.0458369102613625,1.0,0.05,258.62955702361296,797.1830406851299,1.0,0.0,0.0,0.0,2.0,0.0,0.0
13,0.0002870194240507,0.0619961955949571,0.0,0.05,257.32539776315895,799.6354742186188,1.0,0.0,0.0,0.0,2.0,0.0,0.0
14,0.0003252076716965,0.0702448570864548,0.0,0.05,255.23108418068085,801.9931376119745,1.0,0.0,0.0,0.0,2.0,0.0,0.0
15,7.347314738556124e-05,0.0158701998352812,1.0,0.05,255.04430823725792,804.7050940499691,1.0,0.0,0.0,0.0,2.0,0.0,0.0
16,0.000326832231073,0.0705957619117725,0.0,0.05,253.81827118587955,803.7667916256669,1.0,0.0,0.0,0.0,2.0,0.0,0.0
17,0.0002963376194709,0.0640089258057323,0.0,0.05,249.25114687757065,801.7884222325056,1.0,0.0,0.0,0.0,2.0,0.0,0.0
18,0.0007584337378482,0.1638216873752256,0.0,0.05,246.84297904403115,799.6985319396289,1.0,0.0,0.0,0.0,2.0,0.0,0.0
19,0.0007213049680052,0.1558018730891422,0.0,0.05,245.86047618805424,796.1506512098802,1.0,0.0,0.0,0.0,2.0,0.0,0.0
20,0.0002778633171674,0.0600184765081662,0.0,0.05,245.52156172656504,794.194891907394,1.0,0.0,0.0,0.0,2.0,0.0,0.0
21,0.0001686863869497,0.0364362595811468,1.0,0.05,244.67272715278853,792.4790890629029,1.0,0.0,0.0,0.0,2.0,0.0,0.0
22,0.0002881370184613,0.0622375959876576,0.0,0.05,245.9576734676684,791.0289374737147,1.0,0.0,0.0,0.0,2.0,0.0,0.0
23,0.0006088667040926,0.1315152080840084,0.0,0.05,249.59224044897016,790.298075466074,1.0,0.0,0.0,0.0,2.0,0.0,0.0
24,0.0004639785714684,0.1002193714371831,0.0,0.05,248.96966870293463,792.4536768765566,1.0,0.0,0.0,0.0,2.0,0.0,0.0
25,8.27681076102717e-05,0.0178779112438186,1.0,0.05,246.2992401969176,793.5641037200505,1.0,0.0,0.0,0.0,2.0,0.0,0.0
26,0.000391426398486,0.0845481020729847,0.0,0.05,243.03617769353144,796.0611041865361,1.0,0.0,0.0,0.0,2.0,0.0,0.0
27,0.0003411874716074,0.073696493867209,0.0,0.05,238.68471543069563,797.866115356551,1.0,0.0,0.0,0.0,2.0,0.0,0.0
28,0.000820127917379,0.1771476301538803,0.0,0.05,235.11146437028617,799.1945167913622,1.0,0.0,0.0,0.0,2.0,0.0,0.0
29,0.0009434488433598,0.2037849501657247,0.0,0.05,237.28993805832675,805.9299185175627,1.0,0.0,0.0,0.0,2.0,0.0,0.0
30,0.0003788618276191,0.0818341547657353,0.0,0.05,236.11440630023188,812.1590802235461,1.0,0.0,0.0,0.0,2.0,0.0,0.0
31,0.0007190233051834,0.1553090339196144,0.0,0.05,235.2754920500281,811.9426855560639,1.0,0.0,0.0,0.0,2.0,0.0,0.0
32,6.321549101000034e-05,0.01365454605816,1.0,0.05,234.93271458679976,814.6787160183969,1.0,0.0,0.0,0.0,2.0,0.0,0.0
33,0.0002536348602544,0.0547851298149642,0.0,0.05,232.77370288782217,816.4068122171356,1.0,0.0,0.0,0.0,2.0,0.0,0.0
34,0.0004705816122659,0.1016456282494399,0.0,0.05,231.2388828637944,816.4370496620675,1.0,0.0,0.0,0.0,2.0,0.0,0.0
35,0.0004863250361135,0.1050462078005273,0.0,0.05,233.83972587355143,820.7980403579004,1.0,0.0,0.0,0.0,2.0,0.0,0.0
36,0.0005255250866395,0.1135134187141467,0.0,0.05,234.78227354151784,828.2038073800823,1.0,0.0,0.0,0.0,2.0,0.0,0.0
37,0.0001939817668503,0.0419000616396763,1.0,0.05,236.48527495985172,830.7659398161791,1.0,0.0,0.0,0.0,2.0,0.0,0.0
38,0.0003326000921568,0.071841619905887,0.0,0.05,239.32836779968724,840.950234569499,1.0,0.0,0.0,0.0,2.0,0.0,0.0
39,0.0003879937147045,0.0838066423761904,0.0,0.05,237.04595064735503,845.3330952910417,1.0,0.0,0.0,0.0,2.0,0.0,0.0
40,9.920145158238709e-05,0.0214275135417956,1.0,0.05,236.6383049288933,846.1597625925576,1.0,0.0,0.0,0.0,2.0,0.0,0.0
41,0.0004325611056148,0.0934331988128113,0.0,0.05,239.3652696241946,849.2611994295323,1.0,0.0,0.0,0.0,2.0,0.0,0.0
42,0.0002703101199775,0.058386985915143,0.0,0.05,236.85439199827448,848.0293332423155,1.0,0.0,0.0,0.0,2.0,0.0,0.0
43,0.0002418674776837,0.0522433751796813,0.0,0.05,234.92645276890488,845.0311571220959,1.0,0.0,0.0,0.0,2.0,0.0,0.0
44,0.0001803948444996,0.0389652864119147,1.0,0.05,237.199590380569,843.7453720796345,1.0,0.0,0.0,0.0,2.0,0.0,0.0
45,0.0006251974915772,0.1350426581806785,0.0,0.05,238.9269618169924,840.5545818756855,1.0,0.0,0.0,0.0,2.0,0.0,0.0
46,0.0002740639774419,0.0591978191274628,0.0,0.05,237.25789856892655,839.5163384863779,1.0,0.0,0.0,0.0,2.0,0.0,0.0
47,0.0002800714226774,0.0604954272983281,0.0,0.05,237.27951174850347,838.368001375412,1.0,0.0,0.0,0.0,2.0,0.0,0.0
