,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_leftpetridish,distance_nose_rightpetridish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_leftpetridish,is_investigating_rightpetridish,object_investigation_radius[cm]
0,0.0001577278792914462,0.03406922192695237,1.0,0.05,872.1758554242883,103.06557193475888,0.0,1.0,0.0,0.0,2.0
1,0.00016260341311412363,0.03512233723265071,1.0,0.05,870.5611586033831,101.59833593970583,0.0,1.0,0.0,0.0,2.0
2,0.0004689972689586929,0.10130341009507768,0.0,0.05,869.1385782038494,98.9110475243103,0.0,1.0,0.0,0.0,2.0
3,0.0005576755420005142,0.12045791707211108,0.0,0.05,865.1278482762519,96.50074938723792,0.0,1.0,0.0,0.0,2.0
4,0.0007027423787897141,0.15179235381857825,0.0,0.05,860.8592342649242,97.08275247155227,0.0,1.0,0.0,0.0,2.0
5,0.00042862833139910484,0.09258371958220665,0.0,0.05,854.9806776019004,94.81957528315765,0.0,1.0,0.0,0.0,2.0
6,0.00044298664776758456,0.09568511591779827,0.0,0.05,849.3702076503333,94.39614536478832,0.0,1.0,0.0,0.0,2.0
7,,,,0.05,843.3649533158973,94.51616089559444,0.0,1.0,0.0,0.0,2.0
8,,,,0.05,841.0975998885424,94.95089914612197,,,0.0,0.0,2.0
9,,,,0.05,840.3173875499361,95.005002955689,,,0.0,0.0,2.0
10,0.0012746845352802068,0.27533185962052464,0.0,0.05,838.079170567042,94.72137964571712,0.0,1.0,0.0,0.0,2.0
11,0.0014502421558175162,0.3132523056565835,0.0,0.05,835.3737250524027,93.48877508483561,0.0,1.0,0.0,0.0,2.0
12,,,,0.05,830.5871614481156,93.314726878331,0.0,1.0,0.0,0.0,2.0
13,,,,0.05,823.4249918919102,93.56369414710996,,,0.0,0.0,2.0
14,,,,0.05,819.7972962054938,94.46269840767907,,,0.0,0.0,2.0
15,,,,0.05,818.4415041138631,96.77964923041044,,,0.0,0.0,2.0
16,,,,0.05,815.878614035056,98.45415466433862,,,0.0,0.0,2.0
17,,,,0.05,811.9967604996434,99.50869159021629,,,0.0,0.0,2.0
18,,,,0.05,807.7520428884789,102.48645287675382,,,0.0,0.0,2.0
19,,,,0.05,801.4168809114049,95.84443315704677,,,0.0,0.0,2.0
20,,,,0.05,795.9607251235916,93.06779962111044,,,0.0,0.0,2.0
21,,,,0.05,790.7670451303018,90.7386515737619,,,0.0,0.0,2.0
22,0.0013423532638882527,0.2899483049998626,0.0,0.05,786.6640558279925,89.40888399307848,0.0,1.0,0.0,0.0,2.0
23,0.0014585898291012622,0.31505540308587265,0.0,0.05,783.0831167380248,87.16673292651144,0.0,1.0,0.0,0.0,2.0
24,0.0014300421366424208,0.3088891015147629,0.0,0.05,779.6292818174703,82.49214816264113,0.0,1.0,0.0,0.0,2.0
25,0.0013237507740086634,0.2859301671858713,0.0,0.05,776.594657602588,77.73611085237941,0.0,1.0,0.0,0.0,2.0
26,0.0015539600234068449,0.3356553650558785,0.0,0.05,775.7741521628276,76.13067412066997,0.0,1.0,0.0,0.0,2.0
27,0.0010687010840154199,0.23083943414733069,0.0,0.05,774.8615697112564,75.8868525028891,0.0,1.0,0.0,0.0,2.0
28,0.0007449929139182266,0.16091846940633694,0.0,0.05,773.3170431790013,72.51545931633912,0.0,1.0,0.0,0.0,2.0
29,0.0014211607650968887,0.30697072526092795,0.0,0.05,771.9395436101277,66.65959224043188,0.0,1.0,0.0,1.0,2.0
30,0.00016013265234256132,0.03458865290599324,1.0,0.05,770.0880378645145,65.91106875476994,0.0,1.0,0.0,1.0,2.0
31,0.0005767101662625157,0.1245693959127034,0.0,0.05,766.6711082248638,67.42825901156785,0.0,1.0,0.0,1.0,2.0
32,0.0008194569784239653,0.17700270733957651,0.0,0.05,,,0.0,1.0,,,2.0
33,0.0007622863406728662,0.1646538495853391,0.0,0.05,,,0.0,1.0,,,2.0
34,0.00047601657620035425,0.10281958045927653,0.0,0.05,755.1642504007714,71.35539695432078,0.0,1.0,0.0,0.0,2.0
35,0.0010397058863403084,0.2245764714495066,0.0,0.05,757.3628974895281,70.0463689506694,0.0,1.0,0.0,0.0,2.0
36,0.0008705296986274458,0.1880344149035283,0.0,0.05,758.8421189987702,69.50270705581313,0.0,1.0,0.0,1.0,2.0
37,0.001448231107719983,0.31281791926751634,0.0,0.05,758.0835987018745,68.10271838484414,0.0,1.0,0.0,1.0,2.0
38,,,,0.05,755.7215683261476,67.24302416223658,0.0,1.0,0.0,1.0,2.0
39,,,,0.05,754.5575660932841,65.60046486573995,,,0.0,1.0,2.0
40,,,,0.05,753.05948934539,65.57694647202989,,,0.0,1.0,2.0
41,0.0008137077958457128,0.17576088390267397,0.0,0.05,751.9645656647169,65.074116422337,0.0,1.0,0.0,1.0,2.0
42,0.000639086584879392,0.13804270233394866,0.0,0.05,750.7234400742261,65.8460473664413,0.0,1.0,0.0,1.0,2.0
43,0.0009569169860304575,0.20669406898257883,0.0,0.05,,,0.0,1.0,,,2.0
44,0.0005411143741498628,0.11688070481637036,0.0,0.05,748.9275470977476,65.77225505807793,0.0,1.0,0.0,1.0,2.0
