,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_leftpetridish,distance_nose_rightpetridish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_leftpetridish,is_investigating_rightpetridish,object_investigation_radius[cm]
0,0.0021764871823557108,0.47012123138883355,0.0,0.05,107.30590174100463,678.5967907786423,1.0,0.0,0.0,0.0,2.0
1,0.0024289078543977727,0.5246440965499188,0.0,0.05,100.82265285833553,676.9085312504187,1.0,0.0,0.0,0.0,2.0
2,0.0017894724951364289,0.3865260589494687,0.0,0.05,96.5013143559439,676.4242830382242,1.0,0.0,0.0,0.0,2.0
3,0.002134621930754757,0.46107833704302753,0.0,0.05,92.24650217063186,671.4283529294174,1.0,0.0,0.0,0.0,2.0
4,0.000899624960503688,0.1943189914687966,0.0,0.05,92.42884111198263,667.1932798366706,1.0,0.0,0.0,0.0,2.0
5,0.0008813341319472131,0.19036817250059804,0.0,0.05,92.5001836429566,666.6071576438451,1.0,0.0,0.0,0.0,2.0
6,0.0007455492481023683,0.16103863759011156,0.0,0.05,93.26823990742248,672.4404119384036,1.0,0.0,0.0,0.0,2.0
7,0.0005901772761373802,0.12747829164567412,0.0,0.05,96.61989273383585,678.1714198245081,1.0,0.0,0.0,0.0,2.0
8,0.000593222922367763,0.12813615123143682,0.0,0.05,98.06056191278286,685.9286563127363,1.0,0.0,0.0,0.0,2.0
9,0.0006904600742785689,0.14913937604417088,0.0,0.05,95.03115131994146,691.0017056048712,1.0,0.0,0.0,0.0,2.0
10,0.0006471495534327875,0.1397843035414821,0.0,0.05,90.24558298607244,691.3612467883632,1.0,0.0,0.0,0.0,2.0
11,0.0014392253345154283,0.31087267225533255,0.0,0.05,88.09175316028218,696.4061354548521,1.0,0.0,0.0,0.0,2.0
12,0.0016354887713343723,0.35326557460822444,0.0,0.05,83.40860399275613,695.7044809646126,1.0,0.0,0.0,0.0,2.0
13,0.0015313279257140407,0.3307668319542328,0.0,0.05,73.91867991859641,697.1491207132333,1.0,0.0,0.0,0.0,2.0
14,0.0013244707270707102,0.2860856770472734,0.0,0.05,69.01344283724346,694.7980870276276,1.0,0.0,1.0,0.0,2.0
15,0.0010074702193364352,0.21761356737667,0.0,0.05,61.119523578452565,693.4862418244295,1.0,0.0,1.0,0.0,2.0
16,0.0006051797906706247,0.13071883478485494,0.0,0.05,56.864986141762955,692.9619262605825,1.0,0.0,1.0,0.0,2.0
17,0.0012154851209622158,0.26254478612783866,0.0,0.05,53.89169678496022,691.1402973252169,1.0,0.0,1.0,0.0,2.0
18,0.0013990746476584834,0.30220012389423245,0.0,0.05,50.43040760052118,686.8009955336333,1.0,0.0,1.0,0.0,2.0
19,0.0006844813860415338,0.1478479793849713,0.0,0.05,49.109486625282365,685.1055401609901,1.0,0.0,1.0,0.0,2.0
20,0.0013047461099222615,0.2818251597432085,0.0,0.05,51.609309629597554,679.1451542012574,1.0,0.0,1.0,0.0,2.0
21,0.0009167594277869985,0.19802003640199167,0.0,0.05,54.97970620532778,674.6890323237798,1.0,0.0,1.0,0.0,2.0
22,0.0006022369102289403,0.13008317260945113,0.0,0.05,63.79609888283452,665.3313328778873,1.0,0.0,1.0,0.0,2.0
23,0.0006090034789596844,0.13154475145529182,0.0,0.05,69.43683408776039,659.5224818596442,1.0,0.0,1.0,0.0,2.0
24,0.0019420492607956862,0.4194826403318683,0.0,0.05,81.07476445050936,650.0398772381949,1.0,0.0,0.0,0.0,2.0
25,0.0022934686387612035,0.49538922597241997,0.0,0.05,103.68284846458614,632.1547306045561,1.0,0.0,0.0,0.0,2.0
26,0.0036226591580030562,0.7824943781286602,0.0,0.05,134.88540782649372,609.7105461892647,1.0,0.0,0.0,0.0,2.0
27,0.0031440504257891,0.6791148919704456,0.0,0.05,171.81396779920667,585.1327544249818,1.0,0.0,0.0,0.0,2.0
28,0.003544128296902785,0.7655317121310016,0.0,0.05,208.8873776435269,560.4414439458384,1.0,0.0,0.0,0.0,2.0
29,0.0037860747412266586,0.8177921441049583,0.0,0.05,238.7949141527051,537.1749610655917,1.0,0.0,0.0,0.0,2.0
30,0.002114843415835836,0.4568061778205406,0.0,0.05,260.1470820140729,516.6947850351117,1.0,0.0,0.0,0.0,2.0
31,0.0026758694389013805,0.5779877988026982,0.0,0.05,265.6613358686315,506.1249843711474,1.0,0.0,0.0,0.0,2.0
32,0.004718638025681134,1.019225813547125,0.0,0.05,278.5444522220041,489.5826429623765,1.0,0.0,0.0,0.0,2.0
33,0.004927897140016481,1.0644257822435599,0.0,0.05,297.8425300845025,469.20862299706147,1.0,0.0,0.0,0.0,2.0
34,0.004337615877712575,0.9369250295859163,0.0,0.05,317.09102049475587,448.65056858244213,1.0,0.0,0.0,0.0,2.0
35,0.00628334398718423,1.3572023012317935,0.0,0.05,340.04352808700907,422.09823516425814,1.0,0.0,0.0,0.0,2.0
36,0.007798322645722543,1.6844376914760693,0.0,0.05,352.23830352073713,403.743932422979,1.0,0.0,0.0,0.0,2.0
37,0.006466849045563994,1.3968393938418227,0.0,0.05,378.58512139363285,372.0132930968094,1.0,0.0,0.0,0.0,2.0
38,0.00584139798023408,1.2617419637305611,0.0,0.05,398.85843884463793,348.09747122367054,1.0,0.0,0.0,0.0,2.0
39,0.007198561834392014,1.554889356228675,0.0,0.05,420.8900861439359,323.966522474534,1.0,0.0,0.0,0.0,2.0
40,0.007531909809946628,1.6268925189484718,0.0,0.05,435.47152134222983,307.7715138054912,1.0,0.0,0.0,0.0,2.0
