,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_leftpetridish,distance_nose_rightpetridish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_leftpetridish,is_investigating_rightpetridish,object_investigation_radius[cm]
0,0.0007401184673616282,0.15986558895011171,0.0,0.05,127.76953295519323,902.65279500257,1.0,0.0,0.0,0.0,2.0
1,0.0005309217140996456,0.11467909024552345,0.0,0.05,128.0691052998457,902.817509428835,1.0,0.0,0.0,0.0,2.0
2,0.0004539488014563902,0.0980529411145803,0.0,0.05,127.86923505312903,902.4166364483839,1.0,0.0,0.0,0.0,2.0
3,0.0007434315516007094,0.16058121514575324,0.0,0.05,126.24424415149295,900.6980858435616,1.0,0.0,0.0,0.0,2.0
4,0.002261705426778631,0.48852837218418427,0.0,0.05,124.67691228740014,898.8464956623533,1.0,0.0,0.0,0.0,2.0
5,0.0016598751942075414,0.35853304194882896,0.0,0.05,119.68865512585862,893.5060378812256,1.0,0.0,0.0,0.0,2.0
6,0.0010048812399681714,0.21705434783312502,0.0,0.05,121.6908553376905,894.7830843258731,1.0,0.0,0.0,0.0,2.0
7,0.000809517589602338,0.174855799354105,0.0,0.05,125.03647581052361,897.3810479835515,1.0,0.0,0.0,0.0,2.0
8,0.0012077919975715032,0.2608830714754447,0.0,0.05,125.76796340837456,897.6648982028764,1.0,0.0,0.0,0.0,2.0
9,0.0013212083968482972,0.2853810137192322,0.0,0.05,124.9465318741031,895.9307479757402,1.0,0.0,0.0,0.0,2.0
10,0.00039152762025799803,0.08456996597572758,0.0,0.05,123.85496838156331,893.7197536150757,1.0,0.0,0.0,0.0,2.0
11,0.0007002920064108048,0.15126307338473385,0.0,0.05,124.42702709818039,893.9051511905134,1.0,0.0,0.0,0.0,2.0
12,0.00031544721992452673,0.06813659950369778,0.0,0.05,123.22471303798358,892.3299071895024,1.0,0.0,0.0,0.0,2.0
13,0.00015971259439921694,0.034497920390230856,1.0,0.05,120.9773272221962,890.6266580136179,1.0,0.0,0.0,0.0,2.0
14,6.055419061835792e-05,0.013079705173565312,1.0,0.05,120.2540839772927,890.0968366974313,1.0,0.0,0.0,0.0,2.0
15,0.000397822940404358,0.08592975512734133,0.0,0.05,119.15604786278274,889.3052442608291,1.0,0.0,0.0,0.0,2.0
16,0.0002741107559889833,0.059207923293620394,0.0,0.05,119.42904466915925,889.5531062615862,1.0,0.0,0.0,0.0,2.0
17,0.00038096525827594206,0.08228849578760349,0.0,0.05,118.34327740169756,888.664282599263,1.0,0.0,0.0,0.0,2.0
18,0.0004470864884520484,0.09657068150564246,0.0,0.05,118.98217446203127,889.3652437090851,1.0,0.0,0.0,0.0,2.0
19,0.00022918580789540012,0.04950413450540643,1.0,0.05,120.30048419668172,891.038372518355,1.0,0.0,0.0,0.0,2.0
20,0.0006143938978227323,0.13270908192971018,0.0,0.05,122.94249075519213,893.6406661148043,1.0,0.0,0.0,0.0,2.0
21,0.0008562476373495132,0.18494948966749486,0.0,0.05,124.42451096443092,895.9332024869587,1.0,0.0,0.0,0.0,2.0
22,0.0009661608835632213,0.2086907508496558,0.0,0.05,122.55662657995671,897.1263276387137,1.0,0.0,0.0,0.0,2.0
23,0.001201753041514059,0.25957865696703675,0.0,0.05,117.8777764061568,893.4354134236596,1.0,0.0,0.0,0.0,2.0
24,0.0005059080388939367,0.10927613640109032,0.0,0.05,115.0610062598478,890.3201471064257,1.0,0.0,0.0,0.0,2.0
25,0.0009497281241717012,0.20514127482108746,0.0,0.05,113.34650008287701,887.75784141745,1.0,0.0,0.0,0.0,2.0
26,0.0012872323383880907,0.2780421850918276,0.0,0.05,110.95972122400899,884.4516351065088,1.0,0.0,0.0,0.0,2.0
27,0.000926781409117172,0.20018478436930914,0.0,0.05,112.80294889395495,885.8223181322426,1.0,0.0,0.0,0.0,2.0
28,0.0010356340770460654,0.22369696064195013,0.0,0.05,112.25053369453897,879.8663065256728,1.0,0.0,0.0,0.0,2.0
29,0.0013157091609953331,0.28419317877499195,0.0,0.05,109.21829169128442,874.1370680643323,1.0,0.0,0.0,0.0,2.0
30,0.00041673370345073383,0.09001447994535851,0.0,0.05,102.57298821856247,865.7826292065467,1.0,0.0,0.0,0.0,2.0
31,0.0010094821467625163,0.21804814370070352,0.0,0.05,97.64762054319908,857.0457430647791,1.0,0.0,0.0,0.0,2.0
32,0.0024126888593092085,0.521140793610789,0.0,0.05,95.87146259078838,850.1303559514108,1.0,0.0,0.0,0.0,2.0
33,0.002643932776963993,0.5710894798242225,0.0,0.05,85.55770761094284,835.2957239855151,1.0,0.0,0.0,0.0,2.0
34,0.0032742045900473814,0.7072281914502344,0.0,0.05,77.47150501976813,827.423519044936,1.0,0.0,0.0,0.0,2.0
35,0.004218308720362177,0.9111546835982302,0.0,0.05,64.66167516410204,814.5487007002059,1.0,0.0,1.0,0.0,2.0
36,0.0033828441064873973,0.7306943270012778,0.0,0.05,56.032348421690536,807.7449882773876,1.0,0.0,1.0,0.0,2.0
37,0.0027365811373841684,0.5911015256749804,0.0,0.05,46.21990524979946,799.448545598093,1.0,0.0,1.0,0.0,2.0
38,0.0016911427839239445,0.365286841327572,0.0,0.05,44.183155857150915,796.0830236915318,1.0,0.0,1.0,0.0,2.0
39,0.001020149282321664,0.22035224498147943,0.0,0.05,37.44901227456437,789.3228138719513,1.0,0.0,1.0,0.0,2.0
40,0.0024194577054856047,0.5226028643848906,0.0,0.05,35.1518463475682,786.5744087416949,1.0,0.0,1.0,0.0,2.0
