Index,Stimulus to total investigation DLC [%],Total investigation time DLC [%],Discrimination Index DLC,Stimulus to total investigation DEG [%],Total investigation time DEG [%],Discrimination Index DEG,Median speed [km/h],Distance per minute [m],Immobile time [%]
010822_topview_39623_femaleurineright_experiment,34.98513379583746,19.65456788520226,-0.3002973240832507,34.74617244157937,34.74827798622389,-0.3050765511684126,0.2738151176104589,7.31619021745968,20.268826275237615
010822_topview_39624_femaleurineright_experiment,72.58127692910301,16.64059444661713,0.45162553858206034,72.65592730276745,27.261978492202015,0.453118546055349,0.2613086670231732,7.486772675898502,22.262996941896024
010822_topview_39625_femaleurineright_experiment,63.30275229357798,15.364343935772506,0.26605504587155965,65.41666666666667,23.80821162854781,0.30833333333333335,0.2656119757135946,6.994856542261668,21.489778773452812
010822_topview_39630_femaleurineright_experiment,83.89830508474576,11.540342298288508,0.6779661016949152,69.87991994663109,16.665740174551114,0.3975983989326217,0.2775717281816784,7.395939047858545,20.680628272251308
010822_topview_39631_femaleurineright_experiment,94.42644199611148,32.753130970070046,0.8885288399222294,87.91967367430185,17.64575604894524,0.758393473486037,0.1736085212308018,5.637311205266667,36.70514576403835
010822_topview_39632_femaleurineright_experiment,85.19533927347499,17.859110104657567,0.7039067854694997,83.2471328985833,24.836637810667412,0.6649426579716663,0.1642646084945584,5.140241109589779,35.42046490428441
040722_topview_39630_femaleurineleft_experiment,24.6208988144472,22.616449460622313,-0.507582023711056,21.714470912331873,34.07697829808383,-0.5657105817533625,0.1603187786246881,5.72681809292056,35.25310356555751
040722_topview_39631_femaleurineleft_experiment,71.69672432830328,17.199468253465845,0.43393448656606554,65.73102269953624,22.445625376650412,0.3146204539907249,0.1694810450146296,4.889841688864704,34.29935411401292
040722_topview_39632_femaleurineleft_experiment,68.35394126738794,16.516689003765396,0.3670788253477589,68.0546792849632,26.415199155602465,0.3610935856992639,0.2014220311170897,5.97646861535546,28.84000224479488
050822_topview_39623_femaleurineleft_experiment,48.19755889866591,21.890145395799678,-0.036048822026681804,49.123720284574006,31.635285722127684,-0.017525594308519868,0.2281404654471431,6.594894460669047,25.937662038370686
050822_topview_39624_femaleurineleft_experiment,55.06268081002893,26.398523515560363,0.10125361620057859,65.25983778912587,36.693303940479474,0.30519675578251726,0.2111603345625809,6.504336798220675,25.952560459316825
050822_topview_39625_femaleurineleft_experiment,76.16438356164383,15.732758620689655,0.5232876712328767,72.7764705882353,23.42243042160375,0.4555294117647059,0.21612805450601513,6.786681915516656,28.438175406665913
050822_topview_39630_femaleurineleft_experiment,45.243128964059196,11.705747695353585,-0.09513742071881606,51.3553329404832,18.95559899469422,0.027106658809664112,0.2687914895251894,7.754309421448854,22.697117360418012
050822_topview_39631_femaleurineleft_experiment,71.67497125335377,16.663473206872325,0.4334994250670755,84.87394957983193,17.6722952532864,0.6974789915966386,0.1934362866468829,5.9445028601237695,30.886581000997477
050822_topview_39632_femaleurineleft_experiment,67.55745590593266,11.536564311259095,0.3511491181186531,67.4051593323217,18.402680815414687,0.34810318664643397,0.1584936796547897,5.210920321856263,37.22990126939351
100822_topview_39623_femaleurineright_experiment,61.894810170672244,18.028257456828886,0.23789620341344478,58.18003913894325,28.597011584308017,0.16360078277886497,0.22578086800501054,6.952477353372752,26.968392432309958
100822_topview_39624_femaleurineright_experiment,66.70353982300885,24.335419611010163,0.334070796460177,65.63573883161511,38.08692806893167,0.3127147766323024,0.161225009871681,5.204322764258239,32.968972388272135
100822_topview_39625_femaleurineright_experiment,63.76877560309513,13.958068614993646,0.2753755120619026,64.57385501971488,18.13431604422199,0.29147710039429786,0.2759637823235898,7.636798383754711,20.844446966687475
100822_topview_39630_femaleurineright_experiment,46.47812166488794,11.988229273285569,-0.07043756670224119,47.69726247987118,17.112152108018737,-0.04605475040257649,0.2253990306416156,6.631616840432228,25.662394390482213
100822_topview_39631_femaleurineright_experiment,79.976717112922,11.438082556591212,0.59953434225844,82.76103714085494,15.728850923119317,0.6552207428170989,0.24289397006779695,6.944164251064255,25.18796992481203
100822_topview_39632_femaleurineright_experiment,57.59706511770101,19.90264679038637,0.15194130235402017,67.64395139989435,20.86525213557454,0.35287902799788695,0.197370678911633,5.871865107469194,29.852636426433342
110722_topview_39630_femaleurineright_experiment,47.99432019879305,18.005752636625118,-0.04011359602413916,45.732452922474934,22.68515950069348,-0.08535094155050134,0.2062580330876348,6.359700157335283,27.843713278495883
110722_topview_39631_femaleurineright_experiment,75.86359610274579,13.925377736663583,0.5172719220549159,59.240924092409244,16.80998613037448,0.1848184818481848,0.20152768570432125,5.738363467474224,30.017647058823528
110722_topview_39632_femaleurineright_experiment,70.25450689289502,12.829931972789115,0.4050901378579003,62.86266924564797,17.82656169185679,0.2572533849129594,0.1860331314027823,5.553273350714356,31.369723173001862
150822_topview_39623_femaleurineleft_experiment,48.16608996539792,18.750405501849087,-0.03667820069204152,39.365625768379644,22.593189267262932,-0.2126874846324072,0.29950805330004204,8.652099257443734,20.634271697231632
150822_topview_39624_femaleurineleft_experiment,62.46387283236994,18.512573568753343,0.24927745664739884,63.439233484619265,33.00416088765603,0.2687846696923853,0.16963957550649839,5.508586787659571,32.05580865603645
