Index,Stimulus to total investigation DLC [%],Total investigation time DLC [%],Discrimination Index DLC,Stimulus to total investigation DEG [%],Total investigation time DEG [%],Discrimination Index DEG,Median speed [km/h],Distance per minute [m],Immobile time [%]
010822_topview_39623_femaleurineright_habituation,55.62700964630225,3.9399505922594535,0.11254019292604502,58.620689655172406,6.2544931703810205,0.1724137931034483,0.47153876322512916,11.202237063071298,10.069485337416086
010822_topview_39624_femaleurineright_habituation,56.166982922201136,3.5180240320427236,0.12333965844402277,30.729166666666668,3.3802816901408446,-0.3854166666666667,0.3697170638817111,9.97166001947835,13.596518495492695
010822_topview_39625_femaleurineright_habituation,52.980132450331126,5.7958034800409415,0.059602649006622516,49.79054458408139,10.2014652014652,-0.004189108318372232,0.3683821810861611,9.102542981361104,13.401015228426397
010822_topview_39630_femaleurineright_habituation,60.30701754385965,5.904059040590406,0.20614035087719298,65.4368932038835,9.229390681003585,0.3087378640776699,0.3088929435906093,8.347563501872111,18.077369675487382
010822_topview_39631_femaleurineright_habituation,62.99212598425197,4.8631054949262875,0.25984251968503935,62.32782369146006,8.698777857656362,0.2465564738292011,0.2980521173393646,8.21051217862282,19.96025338467271
010822_topview_39632_femaleurineright_habituation,59.32601880877743,8.066759388038943,0.1865203761755486,55.36193029490617,8.957732949087415,0.10723860589812333,0.2468430566443795,7.1139586287551175,24.96564908297987
040722_topview_39630_femaleurineleft_habituation,35.254988913525494,21.575997813012577,-0.29490022172949004,47.474972191323694,26.98727185398655,-0.05050055617352614,0.2482287206738119,7.150659768291759,22.654520149300943
040722_topview_39631_femaleurineleft_habituation,15.929583512237011,15.962988348183687,-0.6814083297552598,30.01788908765653,16.74454828660436,-0.3996422182468694,0.1666538231709809,5.217538801234095,34.61703300067348
040722_topview_39632_femaleurineleft_habituation,64.32384341637011,7.536542845648383,0.28647686832740216,38.4687646782527,13.05494235957812,-0.23062470643494598,0.2163262605818908,6.590201403384241,27.238278741168916
050822_topview_39623_femaleurineleft_habituation,38.349691021446745,18.886447892352052,-0.23300617957106506,37.25220804710501,30.45791487326638,-0.2549558390578999,0.21868293911648876,6.536147570360469,26.073170731707318
050822_topview_39624_femaleurineleft_habituation,59.14260717410323,7.497540177107248,0.18285214348206474,59.60482985729967,10.860753457319982,0.19209659714599342,0.2926461321421432,8.11152943391514,19.319606087735007
050822_topview_39625_femaleurineleft_habituation,62.478184991274,3.740208877284595,0.24956369982547993,80.6146572104019,5.090252707581228,0.6122931442080378,0.24802849691536566,7.726397175879502,24.170360608601893
050822_topview_39630_femaleurineleft_habituation,24.81203007518797,5.918250588010934,-0.5037593984962406,24.579124579124578,10.599571734475374,-0.5084175084175084,0.3531568785194946,9.734241717055935,16.573580169438344
050822_topview_39631_femaleurineleft_habituation,42.04892966360856,4.263363754889179,-0.15902140672782875,44.613710554951034,5.489844683393071,-0.10772578890097932,0.2831420218708812,8.018066634066768,19.39732716525315
050822_topview_39632_femaleurineleft_habituation,37.372708757637476,6.5615394895095545,-0.2525458248472505,44.580924855491325,8.291397076443806,-0.10838150289017341,0.277192820219067,7.761633597604651,23.101639344262296
100822_topview_39623_femaleurineright_habituation,55.91531755915318,5.079706477732794,0.11830635118306351,58.16808309726157,6.3201241346383386,0.16336166194523136,0.3425483039656055,9.175202952594518,17.215859030837006
100822_topview_39624_femaleurineright_habituation,84.88621726062688,34.78715459297984,0.6977243452125376,67.92313377679231,8.140794223826715,0.35846267553584626,0.1364282782483569,4.124929568522607,38.523885545867614
